id,system_id,dependent_variable,independent_variable_1,independent_variable_2
1,1,0,10,10
2,1,0,10,20
3,1,0,10,30
4,1,0,10,40
5,1,1,10,50
6,1,0,10,60
7,1,0,10,70
8,1,0,10,80
9,1,0,10,90
10,1,0,10,100
11,1,0,20,10
12,1,0,20,20
13,1,1,20,30
14,1,0,20,40
15,1,1,20,50
16,1,1,20,60
17,1,1,20,70
18,1,0,20,80
19,1,0,20,90
20,1,0,20,100
21,1,0,30,10
22,1,0,30,20
23,1,1,30,30
24,1,1,30,40
25,1,1,30,50
26,1,1,30,60
27,1,1,30,70
28,1,1,30,80
29,1,0,30,90
30,1,0,30,100
31,1,0,40,10
32,1,0,40,20
33,1,1,40,30
34,1,1,40,40
35,1,1,40,50
36,1,1,40,60
37,1,1,40,70
38,1,1,40,80
39,1,0,40,90
40,1,0,40,100
41,1,1,50,10
42,1,1,50,20
43,1,1,50,30
44,1,1,50,40
45,1,1,50,50
46,1,1,50,60
47,1,1,50,70
48,1,1,50,80
49,1,1,50,90
50,1,0,50,100
51,1,0,60,10
52,1,1,60,20
53,1,1,60,30
54,1,1,60,40
55,1,1,60,50
56,1,1,60,60
57,1,1,60,70
58,1,1,60,80
59,1,0,60,90
60,1,0,60,100
61,1,1,70,10
62,1,1,70,20
63,1,1,70,30
64,1,1,70,40
65,1,1,70,50
66,1,1,70,60
67,1,1,70,70
68,1,0,70,80
69,1,0,70,90
70,1,0,70,100
71,1,0,80,10
72,1,0,80,20
73,1,0,80,30
74,1,1,80,40
75,1,1,80,50
76,1,1,80,60
77,1,1,80,70
78,1,0,80,80
79,1,0,80,90
80,1,0,80,100
81,1,0,90,10
82,1,0,90,20
83,1,0,90,30
84,1,1,90,40
85,1,0,90,50
86,1,0,90,60
87,1,0,90,70
88,1,0,90,80
89,1,0,90,90
90,1,0,90,100
91,1,0,100,10
92,1,0,100,20
93,1,0,100,30
94,1,0,100,40
95,1,0,100,50
96,1,0,100,60
97,1,0,100,70
98,1,0,100,80
99,1,0,100,90
100,1,0,100,100
