id,system_id,dependent_variable,independent_variable_1,independent_variable_2
1,1,0,10,10
2,1,0,10,20
3,1,0,10,30
4,1,0,10,40
5,1,0,10,50
6,1,0,10,60
7,1,0,10,70
8,1,0,10,80
9,1,0,10,90
10,1,1,10,100
11,1,0,20,10
12,1,0,20,20
13,1,0,20,30
14,1,0,20,40
15,1,0,20,50
16,1,0,20,60
17,1,0,20,70
18,1,0,20,80
19,1,1,20,90
20,1,1,20,100
21,1,0,30,10
22,1,0,30,20
23,1,0,30,30
24,1,0,30,40
25,1,0,30,50
26,1,0,30,60
27,1,0,30,70
28,1,1,30,80
29,1,1,30,90
30,1,1,30,100
31,1,0,40,10
32,1,0,40,20
33,1,0,40,30
34,1,0,40,40
35,1,0,40,50
36,1,0,40,60
37,1,1,40,70
38,1,1,40,80
39,1,1,40,90
40,1,1,40,100
41,1,0,50,10
42,1,0,50,20
43,1,0,50,30
44,1,0,50,40
45,1,0,50,50
46,1,1,50,60
47,1,1,50,70
48,1,1,50,80
49,1,1,50,90
50,1,1,50,100
51,1,0,60,10
52,1,0,60,20
53,1,0,60,30
54,1,0,60,40
55,1,1,60,50
56,1,1,60,60
57,1,1,60,70
58,1,1,60,80
59,1,1,60,90
60,1,1,60,100
61,1,0,70,10
62,1,0,70,20
63,1,0,70,30
64,1,1,70,40
65,1,1,70,50
66,1,1,70,60
67,1,1,70,70
68,1,1,70,80
69,1,1,70,90
70,1,1,70,100
71,1,0,80,10
72,1,0,80,20
73,1,1,80,30
74,1,1,80,40
75,1,1,80,50
76,1,1,80,60
77,1,1,80,70
78,1,1,80,80
79,1,1,80,90
80,1,1,80,100
81,1,0,90,10
82,1,1,90,20
83,1,1,90,30
84,1,1,90,40
85,1,1,90,50
86,1,1,90,60
87,1,1,90,70
88,1,1,90,80
89,1,1,90,90
90,1,1,90,100
91,1,1,100,10
92,1,1,100,20
93,1,1,100,30
94,1,1,100,40
95,1,1,100,50
96,1,1,100,60
97,1,1,100,70
98,1,1,100,80
99,1,1,100,90
100,1,1,100,100
101,2,0,10,10
102,2,0,10,20
103,2,0,10,30
104,2,0,10,40
105,2,0,10,50
106,2,0,10,60
107,2,0,10,70
108,2,0,10,80
109,2,0,10,90
110,2,1,10,100
111,2,0,20,10
112,2,0,20,20
113,2,0,20,30
114,2,0,20,40
115,2,0,20,50
116,2,0,20,60
117,2,0,20,70
118,2,0,20,80
119,2,1,20,90
120,2,1,20,100
121,2,0,30,10
122,2,0,30,20
123,2,0,30,30
124,2,0,30,40
125,2,0,30,50
126,2,0,30,60
127,2,0,30,70
128,2,1,30,80
129,2,1,30,90
130,2,1,30,100
131,2,0,40,10
132,2,0,40,20
133,2,0,40,30
134,2,0,40,40
135,2,0,40,50
136,2,0,40,60
137,2,1,40,70
138,2,1,40,80
139,2,1,40,90
140,2,1,40,100
141,2,0,50,10
142,2,0,50,20
143,2,0,50,30
144,2,0,50,40
145,2,0,50,50
146,2,1,50,60
147,2,1,50,70
148,2,1,50,80
149,2,1,50,90
150,2,1,50,100
151,2,0,60,10
152,2,0,60,20
153,2,0,60,30
154,2,0,60,40
155,2,1,60,50
156,2,1,60,60
157,2,1,60,70
158,2,1,60,80
159,2,1,60,90
160,2,1,60,100
161,2,0,70,10
162,2,0,70,20
163,2,0,70,30
164,2,1,70,40
165,2,1,70,50
166,2,1,70,60
167,2,1,70,70
168,2,1,70,80
169,2,1,70,90
170,2,1,70,100
171,2,0,80,10
172,2,0,80,20
173,2,1,80,30
174,2,1,80,40
175,2,1,80,50
176,2,1,80,60
177,2,1,80,70
178,2,1,80,80
179,2,1,80,90
180,2,1,80,100
181,2,0,90,10
182,2,1,90,20
183,2,1,90,30
184,2,1,90,40
185,2,1,90,50
186,2,1,90,60
187,2,1,90,70
188,2,1,90,80
189,2,1,90,90
190,2,1,90,100
191,2,1,100,10
192,2,1,100,20
193,2,1,100,30
194,2,1,100,40
195,2,1,100,50
196,2,1,100,60
197,2,1,100,70
198,2,1,100,80
199,2,1,100,90
200,2,1,100,100
201,3,0,10,10
202,3,0,10,20
203,3,0,10,30
204,3,0,10,40
205,3,0,10,50
206,3,0,10,60
207,3,0,10,70
208,3,0,10,80
209,3,0,10,90
210,3,1,10,100
211,3,0,20,10
212,3,0,20,20
213,3,0,20,30
214,3,0,20,40
215,3,0,20,50
216,3,0,20,60
217,3,0,20,70
218,3,0,20,80
219,3,1,20,90
220,3,1,20,100
221,3,0,30,10
222,3,0,30,20
223,3,0,30,30
224,3,0,30,40
225,3,0,30,50
226,3,0,30,60
227,3,0,30,70
228,3,1,30,80
229,3,1,30,90
230,3,1,30,100
231,3,0,40,10
232,3,0,40,20
233,3,0,40,30
234,3,0,40,40
235,3,0,40,50
236,3,0,40,60
237,3,1,40,70
238,3,1,40,80
239,3,1,40,90
240,3,1,40,100
241,3,0,50,10
242,3,0,50,20
243,3,0,50,30
244,3,0,50,40
245,3,0,50,50
246,3,1,50,60
247,3,1,50,70
248,3,1,50,80
249,3,1,50,90
250,3,1,50,100
251,3,0,60,10
252,3,0,60,20
253,3,0,60,30
254,3,0,60,40
255,3,1,60,50
256,3,1,60,60
257,3,1,60,70
258,3,1,60,80
259,3,1,60,90
260,3,1,60,100
261,3,0,70,10
262,3,0,70,20
263,3,0,70,30
264,3,1,70,40
265,3,1,70,50
266,3,1,70,60
267,3,1,70,70
268,3,1,70,80
269,3,1,70,90
270,3,1,70,100
271,3,0,80,10
272,3,0,80,20
273,3,1,80,30
274,3,1,80,40
275,3,1,80,50
276,3,1,80,60
277,3,1,80,70
278,3,1,80,80
279,3,1,80,90
280,3,1,80,100
281,3,0,90,10
282,3,1,90,20
283,3,1,90,30
284,3,1,90,40
285,3,1,90,50
286,3,1,90,60
287,3,1,90,70
288,3,1,90,80
289,3,1,90,90
290,3,1,90,100
291,3,1,100,10
292,3,1,100,20
293,3,1,100,30
294,3,1,100,40
295,3,1,100,50
296,3,1,100,60
297,3,1,100,70
298,3,1,100,80
299,3,1,100,90
300,3,1,100,100
301,4,0,10,10
302,4,0,10,20
303,4,0,10,30
304,4,0,10,40
305,4,0,10,50
306,4,0,10,60
307,4,0,10,70
308,4,0,10,80
309,4,0,10,90
310,4,1,10,100
311,4,0,20,10
312,4,0,20,20
313,4,0,20,30
314,4,0,20,40
315,4,0,20,50
316,4,0,20,60
317,4,0,20,70
318,4,0,20,80
319,4,1,20,90
320,4,1,20,100
321,4,0,30,10
322,4,0,30,20
323,4,0,30,30
324,4,0,30,40
325,4,0,30,50
326,4,0,30,60
327,4,0,30,70
328,4,1,30,80
329,4,1,30,90
330,4,1,30,100
331,4,0,40,10
332,4,0,40,20
333,4,0,40,30
334,4,0,40,40
335,4,0,40,50
336,4,0,40,60
337,4,1,40,70
338,4,1,40,80
339,4,1,40,90
340,4,1,40,100
341,4,0,50,10
342,4,0,50,20
343,4,0,50,30
344,4,0,50,40
345,4,0,50,50
346,4,1,50,60
347,4,1,50,70
348,4,1,50,80
349,4,1,50,90
350,4,1,50,100
351,4,0,60,10
352,4,0,60,20
353,4,0,60,30
354,4,0,60,40
355,4,1,60,50
356,4,1,60,60
357,4,1,60,70
358,4,1,60,80
359,4,1,60,90
360,4,1,60,100
361,4,0,70,10
362,4,0,70,20
363,4,0,70,30
364,4,1,70,40
365,4,1,70,50
366,4,1,70,60
