id,system_id,dependent_variable,independent_variable_1,independent_variable_2
1,1,0.08191562,10,10
2,1,0.503362908,10,20
3,1,0.411847121,10,30
4,1,0.243020027,10,40
5,1,0.078439427,10,50
6,1,0.041825024,10,60
7,1,0.028364699,10,70
8,1,0.019779382,10,80
9,1,0.013795877,10,90
10,1,0.009599145,10,100
11,1,0.504803346,20,10
12,1,0.157994418,20,20
13,1,0.473814495,20,30
14,1,0.206328954,20,40
15,1,0.082931001,20,50
16,1,0.051864943,20,60
17,1,0.035673679,20,70
18,1,0.024927434,20,80
19,1,0.017523992,20,90
20,1,0.012378884,20,100
21,1,0.594794197,30,10
22,1,0.62789006,30,20
23,1,0.074818637,30,30
24,1,0.177189792,30,40
25,1,0.088207055,30,50
26,1,0.056730181,30,60
27,1,0.038399965,30,70
28,1,0.026398735,30,80
29,1,0.018339515,30,90
30,1,0.012860492,30,100
31,1,0.647559869,40,10
32,1,0.615052928,40,20
33,1,0.585467245,40,30
34,1,0.050238347,40,40
35,1,0.091068254,40,50
36,1,0.059029259,40,60
37,1,0.039506492,40,70
38,1,0.026855257,40,80
39,1,0.018481096,40,90
40,1,0.012859986,40,100
41,1,0.621063023,50,10
42,1,0.582413984,50,20
43,1,0.509011984,50,30
44,1,0.724251203,50,40
45,1,0.037672092,50,50
46,1,0.049724117,50,60
47,1,0.033837908,50,70
48,1,0.02335658,50,80
49,1,0.016317057,50,90
50,1,0.011517355,50,100
51,1,0.414446415,60,10
52,1,0.507556652,60,20
53,1,0.46136851,60,30
54,1,0.555929667,60,40
55,1,0.796723373,60,50
56,1,0.016018159,60,60
57,1,0.016256907,60,70
58,1,0.011995196,60,80
59,1,0.00892901,60,90
60,1,0.006692547,60,100
61,1,0.06434905,70,10
62,1,0.128311864,70,20
63,1,0.254185464,70,30
64,1,0.445428395,70,40
65,1,0.554737964,70,50
66,1,0.840740611,70,60
67,1,0.002400437,70,70
68,1,0.001949204,70,80
69,1,0.00165719,70,90
70,1,0.001417761,70,100
71,1,0.001083517,80,10
72,1,0.003441951,80,20
73,1,0.012397868,80,30
74,1,0.052423958,80,40
75,1,0.282010168,80,50
76,1,0.853385684,80,60
77,1,0.985988851,80,70
78,1,0.000227537,80,80
79,1,0.0001162,80,90
80,1,5.61E-05,80,100
81,1,0.000216928,90,10
82,1,0.000724454,90,20
83,1,0.003486531,90,30
84,1,0.025346612,90,40
85,1,0.225656583,90,50
86,1,0.797197845,90,60
87,1,0.997781876,90,70
88,1,0.999993179,90,80
89,1,1.38E-06,90,90
90,1,6.45E-07,90,100
91,1,1,100,10
92,1,1,100,20
93,1,1,100,30
94,1,1,100,40
95,1,1,100,50
96,1,1,100,60
97,1,1,100,70
98,1,1,100,80
99,1,1,100,90
100,1,9.43E-09,100,100
101,2,0.08191562,10,10
102,2,0.503362908,10,20
103,2,0.411847121,10,30
104,2,0.243020027,10,40
105,2,0.078439427,10,50
106,2,0.041825024,10,60
107,2,0.028364699,10,70
108,2,0.019779382,10,80
109,2,0.013795877,10,90
110,2,0.009599145,10,100
111,2,0.504803346,20,10
112,2,0.157994418,20,20
113,2,0.473814495,20,30
114,2,0.206328954,20,40
115,2,0.082931001,20,50
116,2,0.051864943,20,60
117,2,0.035673679,20,70
118,2,0.024927434,20,80
119,2,0.017523992,20,90
120,2,0.012378884,20,100
121,2,0.594794197,30,10
122,2,0.62789006,30,20
123,2,0.074818637,30,30
124,2,0.177189792,30,40
125,2,0.088207055,30,50
126,2,0.056730181,30,60
127,2,0.038399965,30,70
128,2,0.026398735,30,80
129,2,0.018339515,30,90
130,2,0.012860492,30,100
131,2,0.647559869,40,10
132,2,0.615052928,40,20
133,2,0.585467245,40,30
134,2,0.050238347,40,40
135,2,0.091068254,40,50
136,2,0.059029259,40,60
137,2,0.039506492,40,70
138,2,0.026855257,40,80
139,2,0.018481096,40,90
140,2,0.012859986,40,100
141,2,0.621063023,50,10
142,2,0.582413984,50,20
143,2,0.509011984,50,30
144,2,0.724251203,50,40
145,2,0.037672092,50,50
146,2,0.049724117,50,60
147,2,0.033837908,50,70
148,2,0.02335658,50,80
149,2,0.016317057,50,90
150,2,0.011517355,50,100
151,2,0.414446415,60,10
152,2,0.507556652,60,20
153,2,0.46136851,60,30
154,2,0.555929667,60,40
155,2,0.796723373,60,50
156,2,0.016018159,60,60
157,2,0.016256907,60,70
158,2,0.011995196,60,80
159,2,0.00892901,60,90
160,2,0.006692547,60,100
161,2,0.06434905,70,10
162,2,0.128311864,70,20
163,2,0.254185464,70,30
164,2,0.445428395,70,40
165,2,0.554737964,70,50
166,2,0.840740611,70,60
167,2,0.002400437,70,70
168,2,0.001949204,70,80
169,2,0.00165719,70,90
170,2,0.001417761,70,100
171,2,0.001083517,80,10
172,2,0.003441951,80,20
173,2,0.012397868,80,30
174,2,0.052423958,80,40
175,2,0.282010168,80,50
176,2,0.853385684,80,60
177,2,0.985988851,80,70
178,2,0.000227537,80,80
179,2,0.0001162,80,90
180,2,5.61E-05,80,100
181,2,0.000216928,90,10
182,2,0.000724454,90,20
183,2,0.003486531,90,30
184,2,0.025346612,90,40
185,2,0.225656583,90,50
186,2,0.797197845,90,60
187,2,0.997781876,90,70
188,2,0.999993179,90,80
189,2,1.38E-06,90,90
190,2,6.45E-07,90,100
191,2,1,100,10
192,2,1,100,20
193,2,1,100,30
194,2,1,100,40
195,2,1,100,50
196,2,1,100,60
197,2,1,100,70
198,2,1,100,80
199,2,1,100,90
200,2,9.43E-09,100,100
201,3,0.08191562,10,10
202,3,0.503362908,10,20
203,3,0.411847121,10,30
204,3,0.243020027,10,40
205,3,0.078439427,10,50
206,3,0.041825024,10,60
207,3,0.028364699,10,70
208,3,0.019779382,10,80
209,3,0.013795877,10,90
210,3,0.009599145,10,100
211,3,0.504803346,20,10
212,3,0.157994418,20,20
213,3,0.473814495,20,30
214,3,0.206328954,20,40
215,3,0.082931001,20,50
216,3,0.051864943,20,60
217,3,0.035673679,20,70
218,3,0.024927434,20,80
219,3,0.017523992,20,90
220,3,0.012378884,20,100
221,3,0.594794197,30,10
222,3,0.62789006,30,20
223,3,0.074818637,30,30
224,3,0.177189792,30,40
225,3,0.088207055,30,50
226,3,0.056730181,30,60
227,3,0.038399965,30,70
228,3,0.026398735,30,80
229,3,0.018339515,30,90
230,3,0.012860492,30,100
231,3,0.647559869,40,10
232,3,0.615052928,40,20
233,3,0.585467245,40,30
234,3,0.050238347,40,40
235,3,0.091068254,40,50
236,3,0.059029259,40,60
237,3,0.039506492,40,70
238,3,0.026855257,40,80
239,3,0.018481096,40,90
240,3,0.012859986,40,100
241,3,0.621063023,50,10
242,3,0.582413984,50,20
243,3,0.509011984,50,30
244,3,0.724251203,50,40
245,3,0.037672092,50,50
246,3,0.049724117,50,60
247,3,0.033837908,50,70
248,3,0.02335658,50,80
249,3,0.016317057,50,90
250,3,0.011517355,50,100
251,3,0.414446415,60,10
252,3,0.507556652,60,20
253,3,0.46136851,60,30
254,3,0.555929667,60,40
255,3,0.796723373,60,50
256,3,0.016018159,60,60
257,3,0.016256907,60,70
258,3,0.011995196,60,80
259,3,0.00892901,60,90
260,3,0.006692547,60,100
261,3,0.06434905,70,10
262,3,0.128311864,70,20
263,3,0.254185464,70,30
264,3,0.445428395,70,40
265,3,0.554737964,70,50
266,3,0.840740611,70,60
267,3,0.002400437,70,70
268,3,0.001949204,70,80
269,3,0.00165719,70,90
270,3,0.001417761,70,100
271,3,0.001083517,80,10
272,3,0.003441951,80,20
273,3,0.012397868,80,30
274,3,0.052423958,80,40
275,3,0.282010168,80,50
276,3,0.853385684,80,60
277,3,0.985988851,80,70
278,3,0.000227537,80,80
279,3,0.0001162,80,90
280,3,5.61E-05,80,100
281,3,0.000216928,90,10
282,3,0.000724454,90,20
283,3,0.003486531,90,30
284,3,0.025346612,90,40
285,3,0.225656583,90,50
286,3,0.797197845,90,60
287,3,0.997781876,90,70
288,3,0.999993179,90,80
289,3,1.38E-06,90,90
290,3,6.45E-07,90,100
291,3,1,100,10
292,3,1,100,20
293,3,1,100,30
294,3,1,100,40
295,3,1,100,50
296,3,1,100,60
297,3,1,100,70
298,3,1,100,80
299,3,1,100,90
300,3,9.43E-09,100,100
301,4,0.08191562,10,10
302,4,0.503362908,10,20
303,4,0.411847121,10,30
304,4,0.243020027,10,40
305,4,0.078439427,10,50
306,4,0.041825024,10,60
307,4,0.028364699,10,70
308,4,0.019779382,10,80
309,4,0.013795877,10,90
310,4,0.009599145,10,100
311,4,0.504803346,20,10
312,4,0.157994418,20,20
313,4,0.473814495,20,30
314,4,0.206328954,20,40
315,4,0.082931001,20,50
316,4,0.051864943,20,60
317,4,0.035673679,20,70
318,4,0.024927434,20,80
319,4,0.017523992,20,90
320,4,0.012378884,20,100
321,4,0.594794197,30,10
322,4,0.62789006,30,20
323,4,0.074818637,30,30
324,4,0.177189792,30,40
325,4,0.088207055,30,50
326,4,0.056730181,30,60
327,4,0.038399965,30,70
328,4,0.026398735,30,80
329,4,0.018339515,30,90
330,4,0.012860492,30,100
331,4,0.647559869,40,10
332,4,0.615052928,40,20
333,4,0.585467245,40,30
334,4,0.050238347,40,40
335,4,0.091068254,40,50
336,4,0.059029259,40,60
337,4,0.039506492,40,70
338,4,0.026855257,40,80
339,4,0.018481096,40,90
340,4,0.012859986,40,100
341,4,0.621063023,50,10
342,4,0.582413984,50,20
343,4,0.509011984,50,30
344,4,0.724251203,50,40
345,4,0.037672092,50,50
346,4,0.049724117,50,60
347,4,0.033837908,50,70
348,4,0.02335658,50,80
349,4,0.016317057,50,90
350,4,0.011517355,50,100
351,4,0.414446415,60,10
352,4,0.507556652,60,20
353,4,0.46136851,60,30
354,4,0.555929667,60,40
355,4,0.796723373,60,50
356,4,0.016018159,60,60
357,4,0.016256907,60,70
358,4,0.011995196,60,80
359,4,0.00892901,60,90
360,4,0.006692547,60,100
361,4,0.06434905,70,10
362,4,0.128311864,70,20
363,4,0.254185464,70,30
364,4,0.445428395,70,40
365,4,0.554737964,70,50
366,4,0.840740611,70,60
367,4,0.002400437,70,70
368,4,0.001949204,70,80
369,4,0.00165719,70,90
370,4,0.001417761,70,100
371,4,0.001083517,80,10
372,4,0.003441951,80,20
373,4,0.012397868,80,30
374,4,0.052423958,80,40
375,4,0.282010168,80,50
376,4,0.853385684,80,60
377,4,0.985988851,80,70
378,4,0.000227537,80,80
379,4,0.0001162,80,90
380,4,5.61E-05,80,100
381,4,0.000216928,90,10
382,4,0.000724454,90,20
383,4,0.003486531,90,30
384,4,0.025346612,90,40
385,4,0.225656583,90,50
386,4,0.797197845,90,60
387,4,0.997781876,90,70
388,4,0.999993179,90,80
389,4,1.38E-06,90,90
390,4,6.45E-07,90,100
391,4,1,100,10
392,4,1,100,20
393,4,1,100,30
394,4,1,100,40
395,4,1,100,50
396,4,1,100,60
397,4,1,100,70
398,4,1,100,80
399,4,1,100,90
400,4,9.43E-09,100,100
401,5,0.08191562,10,10
402,5,0.503362908,10,20
403,5,0.411847121,10,30
404,5,0.243020027,10,40
405,5,0.078439427,10,50
406,5,0.041825024,10,60
407,5,0.028364699,10,70
408,5,0.019779382,10,80
409,5,0.013795877,10,90
410,5,0.009599145,10,100
411,5,0.504803346,20,10
412,5,0.157994418,20,20
413,5,0.473814495,20,30
414,5,0.206328954,20,40
415,5,0.082931001,20,50
416,5,0.051864943,20,60
417,5,0.035673679,20,70
418,5,0.024927434,20,80
419,5,0.017523992,20,90
420,5,0.012378884,20,100
421,5,0.594794197,30,10
422,5,0.62789006,30,20
423,5,0.074818637,30,30
424,5,0.177189792,30,40
425,5,0.088207055,30,50
426,5,0.056730181,30,60
427,5,0.038399965,30,70
428,5,0.026398735,30,80
429,5,0.018339515,30,90
430,5,0.012860492,30,100
431,5,0.647559869,40,10
432,5,0.615052928,40,20
433,5,0.585467245,40,30
434,5,0.050238347,40,40
435,5,0.091068254,40,50
436,5,0.059029259,40,60
437,5,0.039506492,40,70
438,5,0.026855257,40,80
439,5,0.018481096,40,90
440,5,0.012859986,40,100
441,5,0.621063023,50,10
442,5,0.582413984,50,20
443,5,0.509011984,50,30
444,5,0.724251203,50,40
445,5,0.037672092,50,50
446,5,0.049724117,50,60
447,5,0.033837908,50,70
448,5,0.02335658,50,80
449,5,0.016317057,50,90
450,5,0.011517355,50,100
451,5,0.414446415,60,10
452,5,0.507556652,60,20
453,5,0.46136851,60,30
454,5,0.555929667,60,40
455,5,0.796723373,60,50
456,5,0.016018159,60,60
457,5,0.016256907,60,70
458,5,0.011995196,60,80
