id,system_id,dependent_variable,independent_variable_1
1,1,0.028565501,10
2,1,0.135335283,20
3,1,0.411112291,30
4,1,0.800737403,40
5,1,1,50
6,1,0.800737403,60
7,1,0.411112291,70
8,1,0.135335283,80
9,1,0.028565501,90
10,1,0.00386592,100
11,2,0.028565501,10
12,2,0.135335283,20
13,2,0.411112291,30
14,2,0.800737403,40
15,2,1,50
16,2,0.800737403,60
17,2,0.411112291,70
18,2,0.135335283,80
19,2,0.028565501,90
20,2,0.00386592,100
21,3,0.028565501,10
22,3,0.135335283,20
23,3,0.411112291,30
24,3,0.800737403,40
25,3,1,50
26,3,0.800737403,60
27,3,0.411112291,70
28,3,0.135335283,80
29,3,0.028565501,90
30,3,0.00386592,100
31,4,0.028565501,10
32,4,0.135335283,20
33,4,0.411112291,30
34,4,0.800737403,40
35,4,1,50
36,4,0.800737403,60
37,4,0.411112291,70
38,4,0.135335283,80
39,4,0.028565501,90
40,4,0.00386592,100
41,5,0.028565501,10
42,5,0.135335283,20
43,5,0.411112291,30
44,5,0.800737403,40
45,5,1,50
46,5,0.800737403,60
47,5,0.411112291,70
48,5,0.135335283,80
49,5,0.028565501,90
50,5,0.00386592,100
51,6,0.028565501,10
52,6,0.135335283,20
53,6,0.411112291,30
54,6,0.800737403,40
55,6,1,50
56,6,0.800737403,60
57,6,0.411112291,70
58,6,0.135335283,80
59,6,0.028565501,90
60,6,0.00386592,100
61,7,0.028565501,10
62,7,0.135335283,20
63,7,0.411112291,30
64,7,0.800737403,40
65,7,1,50
66,7,0.800737403,60
67,7,0.411112291,70
68,7,0.135335283,80
69,7,0.028565501,90
70,7,0.00386592,100
71,8,0.028565501,10
72,8,0.135335283,20
73,8,0.411112291,30
74,8,0.800737403,40
75,8,1,50
76,8,0.800737403,60
77,8,0.411112291,70
78,8,0.135335283,80
79,8,0.028565501,90
80,8,0.00386592,100
81,9,0.028565501,10
82,9,0.135335283,20
83,9,0.411112291,30
84,9,0.800737403,40
85,9,1,50
86,9,0.800737403,60
87,9,0.411112291,70
88,9,0.135335283,80
89,9,0.028565501,90
90,9,0.00386592,100
91,10,0.028565501,10
92,10,0.135335283,20
93,10,0.411112291,30
94,10,0.800737403,40
95,10,1,50
96,10,0.800737403,60
97,10,0.411112291,70
98,10,0.135335283,80
99,10,0.028565501,90
100,10,0.00386592,100
