id,system_id,dependent_variable,independent_variable_1,independent_variable_2
1,1,56.08,10,10
2,1,47.12,10,20
3,1,40.72,10,30
4,1,36.88,10,40
5,1,35.6,10,50
6,1,36.88,10,60
7,1,40.72,10,70
8,1,47.12,10,80
9,1,56.08,10,90
10,1,67.6,10,100
11,1,44.88,20,10
12,1,35.92,20,20
13,1,29.52,20,30
14,1,25.68,20,40
15,1,24.4,20,50
16,1,25.68,20,60
17,1,29.52,20,70
18,1,35.92,20,80
19,1,44.88,20,90
20,1,56.4,20,100
21,1,36.88,30,10
22,1,27.92,30,20
23,1,21.52,30,30
24,1,17.68,30,40
25,1,16.4,30,50
26,1,17.68,30,60
27,1,21.52,30,70
28,1,27.92,30,80
29,1,36.88,30,90
30,1,48.4,30,100
31,1,32.08,40,10
32,1,23.12,40,20
33,1,16.72,40,30
34,1,12.88,40,40
35,1,11.6,40,50
36,1,12.88,40,60
37,1,16.72,40,70
38,1,23.12,40,80
39,1,32.08,40,90
40,1,43.6,40,100
41,1,30.48,50,10
42,1,21.52,50,20
43,1,15.12,50,30
44,1,11.28,50,40
45,1,10,50,50
46,1,11.28,50,60
47,1,15.12,50,70
48,1,21.52,50,80
49,1,30.48,50,90
50,1,42,50,100
51,1,32.08,60,10
52,1,23.12,60,20
53,1,16.72,60,30
54,1,12.88,60,40
55,1,11.6,60,50
56,1,12.88,60,60
57,1,16.72,60,70
58,1,23.12,60,80
59,1,32.08,60,90
60,1,43.6,60,100
61,1,36.88,70,10
62,1,27.92,70,20
63,1,21.52,70,30
64,1,17.68,70,40
65,1,16.4,70,50
66,1,17.68,70,60
67,1,21.52,70,70
68,1,27.92,70,80
69,1,36.88,70,90
70,1,48.4,70,100
71,1,44.88,80,10
72,1,35.92,80,20
73,1,29.52,80,30
74,1,25.68,80,40
75,1,24.4,80,50
76,1,25.68,80,60
77,1,29.52,80,70
78,1,35.92,80,80
79,1,44.88,80,90
80,1,56.4,80,100
81,1,56.08,90,10
82,1,47.12,90,20
83,1,40.72,90,30
84,1,36.88,90,40
85,1,35.6,90,50
86,1,36.88,90,60
87,1,40.72,90,70
88,1,47.12,90,80
89,1,56.08,90,90
90,1,67.6,90,100
91,1,70.48,100,10
92,1,61.52,100,20
93,1,55.12,100,30
94,1,51.28,100,40
95,1,50,100,50
96,1,51.28,100,60
97,1,55.12,100,70
98,1,61.52,100,80
99,1,70.48,100,90
100,1,82,100,100
101,2,56.08,10,10
102,2,47.12,10,20
103,2,40.72,10,30
104,2,36.88,10,40
105,2,35.6,10,50
106,2,36.88,10,60
107,2,40.72,10,70
108,2,47.12,10,80
109,2,56.08,10,90
110,2,67.6,10,100
111,2,44.88,20,10
112,2,35.92,20,20
113,2,29.52,20,30
114,2,25.68,20,40
115,2,24.4,20,50
116,2,25.68,20,60
117,2,29.52,20,70
118,2,35.92,20,80
119,2,44.88,20,90
120,2,56.4,20,100
121,2,36.88,30,10
122,2,27.92,30,20
123,2,21.52,30,30
124,2,17.68,30,40
125,2,16.4,30,50
126,2,17.68,30,60
127,2,21.52,30,70
128,2,27.92,30,80
129,2,36.88,30,90
130,2,48.4,30,100
131,2,32.08,40,10
132,2,23.12,40,20
133,2,16.72,40,30
134,2,12.88,40,40
135,2,11.6,40,50
136,2,12.88,40,60
137,2,16.72,40,70
138,2,23.12,40,80
139,2,32.08,40,90
140,2,43.6,40,100
141,2,30.48,50,10
142,2,21.52,50,20
143,2,15.12,50,30
144,2,11.28,50,40
145,2,10,50,50
146,2,11.28,50,60
147,2,15.12,50,70
148,2,21.52,50,80
149,2,30.48,50,90
150,2,42,50,100
151,2,32.08,60,10
152,2,23.12,60,20
153,2,16.72,60,30
154,2,12.88,60,40
155,2,11.6,60,50
156,2,12.88,60,60
157,2,16.72,60,70
158,2,23.12,60,80
159,2,32.08,60,90
160,2,43.6,60,100
161,2,36.88,70,10
162,2,27.92,70,20
163,2,21.52,70,30
164,2,17.68,70,40
165,2,16.4,70,50
166,2,17.68,70,60
167,2,21.52,70,70
168,2,27.92,70,80
169,2,36.88,70,90
170,2,48.4,70,100
171,2,44.88,80,10
172,2,35.92,80,20
173,2,29.52,80,30
174,2,25.68,80,40
175,2,24.4,80,50
176,2,25.68,80,60
177,2,29.52,80,70
178,2,35.92,80,80
179,2,44.88,80,90
180,2,56.4,80,100
181,2,56.08,90,10
182,2,47.12,90,20
183,2,40.72,90,30
184,2,36.88,90,40
185,2,35.6,90,50
186,2,36.88,90,60
187,2,40.72,90,70
188,2,47.12,90,80
189,2,56.08,90,90
190,2,67.6,90,100
191,2,70.48,100,10
192,2,61.52,100,20
193,2,55.12,100,30
194,2,51.28,100,40
195,2,50,100,50
196,2,51.28,100,60
197,2,55.12,100,70
198,2,61.52,100,80
199,2,70.48,100,90
200,2,82,100,100
201,3,56.08,10,10
202,3,47.12,10,20
203,3,40.72,10,30
204,3,36.88,10,40
205,3,35.6,10,50
206,3,36.88,10,60
207,3,40.72,10,70
208,3,47.12,10,80
209,3,56.08,10,90
210,3,67.6,10,100
211,3,44.88,20,10
212,3,35.92,20,20
213,3,29.52,20,30
214,3,25.68,20,40
215,3,24.4,20,50
216,3,25.68,20,60
217,3,29.52,20,70
218,3,35.92,20,80
219,3,44.88,20,90
220,3,56.4,20,100
221,3,36.88,30,10
222,3,27.92,30,20
223,3,21.52,30,30
224,3,17.68,30,40
225,3,16.4,30,50
226,3,17.68,30,60
227,3,21.52,30,70
228,3,27.92,30,80
229,3,36.88,30,90
230,3,48.4,30,100
231,3,32.08,40,10
232,3,23.12,40,20
233,3,16.72,40,30
234,3,12.88,40,40
235,3,11.6,40,50
236,3,12.88,40,60
237,3,16.72,40,70
238,3,23.12,40,80
239,3,32.08,40,90
240,3,43.6,40,100
241,3,30.48,50,10
242,3,21.52,50,20
243,3,15.12,50,30
244,3,11.28,50,40
245,3,10,50,50
246,3,11.28,50,60
247,3,15.12,50,70
248,3,21.52,50,80
249,3,30.48,50,90
250,3,42,50,100
251,3,32.08,60,10
252,3,23.12,60,20
253,3,16.72,60,30
254,3,12.88,60,40
255,3,11.6,60,50
256,3,12.88,60,60
257,3,16.72,60,70
258,3,23.12,60,80
259,3,32.08,60,90
260,3,43.6,60,100
261,3,36.88,70,10
262,3,27.92,70,20
263,3,21.52,70,30
264,3,17.68,70,40
265,3,16.4,70,50
266,3,17.68,70,60
267,3,21.52,70,70
268,3,27.92,70,80
269,3,36.88,70,90
270,3,48.4,70,100
271,3,44.88,80,10
272,3,35.92,80,20
273,3,29.52,80,30
274,3,25.68,80,40
275,3,24.4,80,50
276,3,25.68,80,60
277,3,29.52,80,70
278,3,35.92,80,80
279,3,44.88,80,90
280,3,56.4,80,100
281,3,56.08,90,10
282,3,47.12,90,20
283,3,40.72,90,30
284,3,36.88,90,40
285,3,35.6,90,50
286,3,36.88,90,60
287,3,40.72,90,70
288,3,47.12,90,80
289,3,56.08,90,90
290,3,67.6,90,100
291,3,70.48,100,10
292,3,61.52,100,20
293,3,55.12,100,30
294,3,51.28,100,40
295,3,50,100,50
296,3,51.28,100,60
297,3,55.12,100,70
298,3,61.52,100,80
299,3,70.48,100,90
300,3,82,100,100
301,4,56.08,10,10
302,4,47.12,10,20
303,4,40.72,10,30
304,4,36.88,10,40
305,4,35.6,10,50
306,4,36.88,10,60
307,4,40.72,10,70
308,4,47.12,10,80
309,4,56.08,10,90
310,4,67.6,10,100
311,4,44.88,20,10
312,4,35.92,20,20
313,4,29.52,20,30
314,4,25.68,20,40
315,4,24.4,20,50
316,4,25.68,20,60
317,4,29.52,20,70
318,4,35.92,20,80
319,4,44.88,20,90
320,4,56.4,20,100
321,4,36.88,30,10
322,4,27.92,30,20
323,4,21.52,30,30
324,4,17.68,30,40
325,4,16.4,30,50
326,4,17.68,30,60
327,4,21.52,30,70
328,4,27.92,30,80
329,4,36.88,30,90
330,4,48.4,30,100
331,4,32.08,40,10
332,4,23.12,40,20
333,4,16.72,40,30
334,4,12.88,40,40
335,4,11.6,40,50
336,4,12.88,40,60
337,4,16.72,40,70
338,4,23.12,40,80
339,4,32.08,40,90
340,4,43.6,40,100
341,4,30.48,50,10
342,4,21.52,50,20
343,4,15.12,50,30
344,4,11.28,50,40
345,4,10,50,50
346,4,11.28,50,60
347,4,15.12,50,70
348,4,21.52,50,80
349,4,30.48,50,90
350,4,42,50,100
351,4,32.08,60,10
352,4,23.12,60,20
353,4,16.72,60,30
354,4,12.88,60,40
355,4,11.6,60,50
356,4,12.88,60,60
357,4,16.72,60,70
358,4,23.12,60,80
359,4,32.08,60,90
360,4,43.6,60,100
361,4,36.88,70,10
362,4,27.92,70,20
363,4,21.52,70,30
364,4,17.68,70,40
365,4,16.4,70,50
366,4,17.68,70,60
367,4,21.52,70,70
368,4,27.92,70,80
369,4,36.88,70,90
370,4,48.4,70,100
371,4,44.88,80,10
372,4,35.92,80,20
373,4,29.52,80,30
374,4,25.68,80,40
375,4,24.4,80,50
376,4,25.68,80,60
377,4,29.52,80,70
378,4,35.92,80,80
379,4,44.88,80,90
380,4,56.4,80,100
381,4,56.08,90,10
382,4,47.12,90,20
383,4,40.72,90,30
384,4,36.88,90,40
385,4,35.6,90,50
386,4,36.88,90,60
387,4,40.72,90,70
388,4,47.12,90,80
389,4,56.08,90,90
390,4,67.6,90,100
391,4,70.48,100,10
392,4,61.52,100,20
393,4,55.12,100,30
394,4,51.28,100,40
395,4,50,100,50
396,4,51.28,100,60
397,4,55.12,100,70
398,4,61.52,100,80
399,4,70.48,100,90
400,4,82,100,100
401,5,56.08,10,10
402,5,47.12,10,20
403,5,40.72,10,30
404,5,36.88,10,40
405,5,35.6,10,50
406,5,36.88,10,60
407,5,40.72,10,70
408,5,47.12,10,80
409,5,56.08,10,90
410,5,67.6,10,100
411,5,44.88,20,10
412,5,35.92,20,20
413,5,29.52,20,30
414,5,25.68,20,40
415,5,24.4,20,50
416,5,25.68,20,60
417,5,29.52,20,70
418,5,35.92,20,80
419,5,44.88,20,90
420,5,56.4,20,100
421,5,36.88,30,10
422,5,27.92,30,20
423,5,21.52,30,30
424,5,17.68,30,40
425,5,16.4,30,50
426,5,17.68,30,60
427,5,21.52,30,70
428,5,27.92,30,80
429,5,36.88,30,90
430,5,48.4,30,100
431,5,32.08,40,10
432,5,23.12,40,20
433,5,16.72,40,30
434,5,12.88,40,40
435,5,11.6,40,50
436,5,12.88,40,60
437,5,16.72,40,70
438,5,23.12,40,80
439,5,32.08,40,90
440,5,43.6,40,100
441,5,30.48,50,10
442,5,21.52,50,20
443,5,15.12,50,30
444,5,11.28,50,40
445,5,10,50,50
446,5,11.28,50,60
447,5,15.12,50,70
448,5,21.52,50,80
449,5,30.48,50,90
450,5,42,50,100
451,5,32.08,60,10
452,5,23.12,60,20
453,5,16.72,60,30
454,5,12.88,60,40
455,5,11.6,60,50
456,5,12.88,60,60
457,5,16.72,60,70
458,5,23.12,60,80
459,5,32.08,60,90
460,5,43.6,60,100
461,5,36.88,70,10
462,5,27.92,70,20
463,5,21.52,70,30
464,5,17.68,70,40
465,5,16.4,70,50
466,5,17.68,70,60
467,5,21.52,70,70
468,5,27.92,70,80
469,5,36.88,70,90
470,5,48.4,70,100
471,5,44.88,80,10
472,5,35.92,80,20
473,5,29.52,80,30
474,5,25.68,80,40
475,5,24.4,80,50
476,5,25.68,80,60
477,5,29.52,80,70
478,5,35.92,80,80
479,5,44.88,80,90
480,5,56.4,80,100
481,5,56.08,90,10
482,5,47.12,90,20
483,5,40.72,90,30
484,5,36.88,90,40
485,5,35.6,90,50
486,5,36.88,90,60
487,5,40.72,90,70
488,5,47.12,90,80
489,5,56.08,90,90
490,5,67.6,90,100
491,5,70.48,100,10
492,5,61.52,100,20
493,5,55.12,100,30
494,5,51.28,100,40
495,5,50,100,50
496,5,51.28,100,60
497,5,55.12,100,70
498,5,61.52,100,80
499,5,70.48,100,90
500,5,82,100,100
501,6,56.08,10,10
502,6,47.12,10,20
503,6,40.72,10,30
504,6,36.88,10,40
505,6,35.6,10,50
506,6,36.88,10,60
507,6,40.72,10,70
508,6,47.12,10,80
509,6,56.08,10,90
510,6,67.6,10,100
511,6,44.88,20,10
512,6,35.92,20,20
513,6,29.52,20,30
514,6,25.68,20,40
515,6,24.4,20,50
516,6,25.68,20,60
517,6,29.52,20,70
518,6,35.92,20,80
519,6,44.88,20,90
520,6,56.4,20,100
521,6,36.88,30,10
522,6,27.92,30,20
523,6,21.52,30,30
524,6,17.68,30,40
525,6,16.4,30,50
526,6,17.68,30,60
527,6,21.52,30,70
528,6,27.92,30,80
529,6,36.88,30,90
530,6,48.4,30,100
531,6,32.08,40,10
532,6,23.12,40,20
533,6,16.72,40,30
534,6,12.88,40,40
535,6,11.6,40,50
536,6,12.88,40,60
537,6,16.72,40,70
538,6,23.12,40,80
539,6,32.08,40,90
540,6,43.6,40,100
541,6,30.48,50,10
542,6,21.52,50,20
