id;system_id;dependent_variable;independent_variable_1;independent_variable_2
1;1;56.08;10.0;10.0
2;1;47.11999999999999;10.0;20.0
3;1;40.72;10.0;30.0
4;1;36.879999999999995;10.0;40.0
5;1;35.599999999999994;10.0;50.0
6;1;36.88;10.0;60.0
7;1;40.71999999999999;10.0;70.0
8;1;47.11999999999999;10.0;80.0
9;1;56.08;10.0;90.0
10;1;67.6;10.0;100.0
11;1;44.879999999999995;20.0;10.0
12;1;35.919999999999995;20.0;20.0
13;1;29.520000000000003;20.0;30.0
14;1;25.679999999999996;20.0;40.0
15;1;24.4;20.0;50.0
16;1;25.680000000000007;20.0;60.0
17;1;29.519999999999996;20.0;70.0
18;1;35.919999999999995;20.0;80.0
19;1;44.88;20.0;90.0
20;1;56.400000000000006;20.0;100.0
21;1;36.879999999999995;30.0;10.0
22;1;27.919999999999998;30.0;20.0
23;1;21.520000000000003;30.0;30.0
24;1;17.679999999999996;30.0;40.0
25;1;16.4;30.0;50.0
26;1;17.680000000000007;30.0;60.0
27;1;21.519999999999996;30.0;70.0
28;1;27.919999999999995;30.0;80.0
29;1;36.879999999999995;30.0;90.0
30;1;48.400000000000006;30.0;100.0
31;1;32.08;40.0;10.0
32;1;23.12;40.0;20.0
33;1;16.720000000000006;40.0;30.0
34;1;12.879999999999999;40.0;40.0
35;1;11.600000000000001;40.0;50.0
36;1;12.88000000000001;40.0;60.0
37;1;16.72;40.0;70.0
38;1;23.119999999999997;40.0;80.0
39;1;32.08000000000001;40.0;90.0
40;1;43.599999999999994;40.0;100.0
41;1;30.48;50.0;10.0
42;1;21.52;50.0;20.0
43;1;15.120000000000003;50.0;30.0
44;1;11.279999999999998;50.0;40.0
45;1;10.0;50.0;50.0
46;1;11.280000000000008;50.0;60.0
47;1;15.119999999999997;50.0;70.0
48;1;21.519999999999996;50.0;80.0
49;1;30.480000000000004;50.0;90.0
50;1;42.0;50.0;100.0
51;1;32.08;60.0;10.0
52;1;23.12;60.0;20.0
53;1;16.720000000000006;60.0;30.0
54;1;12.879999999999999;60.0;40.0
55;1;11.600000000000001;60.0;50.0
56;1;12.88000000000001;60.0;60.0
57;1;16.72;60.0;70.0
58;1;23.119999999999997;60.0;80.0
59;1;32.08000000000001;60.0;90.0
60;1;43.599999999999994;60.0;100.0
61;1;36.88000000000001;70.0;10.0
62;1;27.920000000000005;70.0;20.0
63;1;21.52000000000001;70.0;30.0
64;1;17.680000000000003;70.0;40.0
65;1;16.400000000000006;70.0;50.0
66;1;17.680000000000014;70.0;60.0
67;1;21.520000000000003;70.0;70.0
68;1;27.92;70.0;80.0
69;1;36.88000000000001;70.0;90.0
70;1;48.400000000000006;70.0;100.0
71;1;44.88000000000001;80.0;10.0
72;1;35.92;80.0;20.0
73;1;29.52000000000001;80.0;30.0
74;1;25.680000000000003;80.0;40.0
75;1;24.400000000000006;80.0;50.0
76;1;25.680000000000014;80.0;60.0
77;1;29.520000000000003;80.0;70.0
78;1;35.92;80.0;80.0
79;1;44.88000000000001;80.0;90.0
80;1;56.400000000000006;80.0;100.0
81;1;56.08;90.0;10.0
82;1;47.11999999999999;90.0;20.0
83;1;40.72;90.0;30.0
84;1;36.879999999999995;90.0;40.0
85;1;35.599999999999994;90.0;50.0
86;1;36.88;90.0;60.0
87;1;40.71999999999999;90.0;70.0
88;1;47.11999999999999;90.0;80.0
89;1;56.08;90.0;90.0
90;1;67.6;90.0;100.0
91;1;70.48;100.0;10.0
92;1;61.519999999999996;100.0;20.0
93;1;55.120000000000005;100.0;30.0
94;1;51.28;100.0;40.0
95;1;50.0;100.0;50.0
96;1;51.28000000000001;100.0;60.0
97;1;55.12;100.0;70.0
98;1;61.519999999999996;100.0;80.0
99;1;70.48;100.0;90.0
100;1;82.0;100.0;100.0
101;2;56.08;10.0;10.0
102;2;47.11999999999999;10.0;20.0
103;2;40.72;10.0;30.0
104;2;36.879999999999995;10.0;40.0
105;2;35.599999999999994;10.0;50.0
106;2;36.88;10.0;60.0
107;2;40.71999999999999;10.0;70.0
108;2;47.11999999999999;10.0;80.0
109;2;56.08;10.0;90.0
110;2;67.6;10.0;100.0
111;2;44.879999999999995;20.0;10.0
112;2;35.919999999999995;20.0;20.0
113;2;29.520000000000003;20.0;30.0
114;2;25.679999999999996;20.0;40.0
115;2;24.4;20.0;50.0
116;2;25.680000000000007;20.0;60.0
117;2;29.519999999999996;20.0;70.0
118;2;35.919999999999995;20.0;80.0
119;2;44.88;20.0;90.0
120;2;56.400000000000006;20.0;100.0
121;2;36.879999999999995;30.0;10.0
122;2;27.919999999999998;30.0;20.0
123;2;21.520000000000003;30.0;30.0
124;2;17.679999999999996;30.0;40.0
125;2;16.4;30.0;50.0
126;2;17.680000000000007;30.0;60.0
127;2;21.519999999999996;30.0;70.0
128;2;27.919999999999995;30.0;80.0
129;2;36.879999999999995;30.0;90.0
130;2;48.400000000000006;30.0;100.0
