id;system_id;dependent_variable;independent_variable_1;independent_variable_2
1;1;8.285845265382836;10.0;10.0
2;1;-0.566808415221227;10.0;20.0
3;1;-7.894973841593239;10.0;30.0
4;1;3.2049872814374853;10.0;40.0
5;1;3.9205059884130358;10.0;50.0
6;1;-8.571257282591171;10.0;60.0
7;1;-4.755857158680679;10.0;70.0
8;1;1.6536967216240868;10.0;80.0
9;1;-1.8903228961755723;10.0;90.0
10;1;9.911727610286043;10.0;100.0
11;1;-7.783392956371776;20.0;10.0
12;1;-9.036704253626837;20.0;20.0
13;1;9.941391733534928;20.0;30.0
14;1;-7.014925139134313;20.0;40.0
15;1;8.106372915422794;20.0;50.0
16;1;-3.1789229300395725;20.0;60.0
17;1;0.45008141748358765;20.0;70.0
18;1;-3.8513486588596115;20.0;80.0
19;1;0.7547331490787326;20.0;90.0
20;1;-6.312423966846815;20.0;100.0
21;1;4.438421473374162;30.0;10.0
22;1;-5.975324006613276;30.0;20.0
23;1;-8.565437289032731;30.0;30.0
24;1;4.821174411834678;30.0;40.0
25;1;-4.987181728419391;30.0;50.0
26;1;7.559805605700787;30.0;60.0
27;1;7.633698073836832;30.0;70.0
28;1;-9.585533695700821;30.0;80.0
29;1;7.649118858499504;30.0;90.0
30;1;-1.2402874591763624;30.0;100.0
31;1;2.497656482311343;40.0;10.0
32;1;4.127087634371008;40.0;20.0
33;1;-5.0626736560736205;40.0;30.0
34;1;-8.322976010216756;40.0;40.0
35;1;-5.220627942225884;40.0;50.0
36;1;-4.437571093708737;40.0;60.0
37;1;0.5433298895294656;40.0;70.0
38;1;-7.643958699536521;40.0;80.0
39;1;-5.98465298990986;40.0;90.0
40;1;3.7204646300214974;40.0;100.0
41;1;-3.214145444701341;50.0;10.0
42;1;-6.878664256577772;50.0;20.0
43;1;-8.282872209217068;50.0;30.0
44;1;7.531177801992724;50.0;40.0
45;1;-0.00911550603285255;50.0;50.0
46;1;-6.638185394468688;50.0;60.0
47;1;4.414438575752342;50.0;70.0
48;1;-4.518546551949054;50.0;80.0
49;1;0.9945571690909996;50.0;90.0
50;1;-4.128064789843143;50.0;100.0
51;1;-1.4336941128561813;60.0;10.0
52;1;2.7818808381028;60.0;20.0
53;1;4.15921546567609;60.0;30.0
54;1;-0.696104271064342;60.0;40.0
55;1;4.28188938791872;60.0;50.0
56;1;-9.885074514157086;60.0;60.0
57;1;5.013134735491867;60.0;70.0
58;1;7.236665109614708;60.0;80.0
59;1;9.004651501164496;60.0;90.0
60;1;-7.743594256862767;60.0;100.0
61;1;-5.001670415546499;70.0;10.0
62;1;-5.50490792414328;70.0;20.0
63;1;1.273640749267269;70.0;30.0
64;1;5.5631940390094305;70.0;40.0
65;1;2.6611167599409797;70.0;50.0
66;1;-1.5945524499224284;70.0;60.0
67;1;7.014143678291533;70.0;70.0
68;1;7.026459193203302;70.0;80.0
69;1;2.844881489290935;70.0;90.0
70;1;3.3722259761318387;70.0;100.0
71;1;-7.828937156688378;80.0;10.0
72;1;6.201199390392648;80.0;20.0
73;1;-9.491803441040021;80.0;30.0
74;1;-6.359288598154944;80.0;40.0
75;1;9.232058162196546;80.0;50.0
76;1;-7.9376098887806625;80.0;60.0
77;1;-1.5277188299183972;80.0;70.0
78;1;-6.753142096443764;80.0;80.0
79;1;5.243779493261796;80.0;90.0
80;1;5.073673702896612;80.0;100.0
81;1;-1.193332100219693;90.0;10.0
82;1;4.582995401861587;90.0;20.0
83;1;-2.3452775626502915;90.0;30.0
84;1;1.3173625955545647;90.0;40.0
85;1;5.229418259862023;90.0;50.0
86;1;8.839892633695154;90.0;60.0
87;1;-6.475840986529778;90.0;70.0
88;1;-4.269553075014575;90.0;80.0
89;1;-0.6043406028877795;90.0;90.0
90;1;7.020040208172107;90.0;100.0
91;1;-4.081650477710246;100.0;10.0
92;1;5.938327042014206;100.0;20.0
93;1;10.252937993000053;100.0;30.0
94;1;1.0996175590055137;100.0;40.0
95;1;3.719040322108457;100.0;50.0
96;1;-7.47379430243764;100.0;60.0
97;1;-0.8514154208624791;100.0;70.0
98;1;1.872730855879087;100.0;80.0
99;1;5.876213368180844;100.0;90.0
100;1;-4.294581786953255;100.0;100.0
101;2;8.631105018026759;10.0;10.0
102;2;5.2967405601830535;10.0;20.0
103;2;4.441503094272542;10.0;30.0
104;2;-5.466107574895311;10.0;40.0
105;2;6.322301660905462;10.0;50.0
106;2;-1.2701549854343777;10.0;60.0
107;2;-3.150559117901462;10.0;70.0
108;2;6.109930977716915;10.0;80.0
109;2;-8.468221392781093;10.0;90.0
110;2;9.354580003765077;10.0;100.0
111;2;9.40279923466883;20.0;10.0
112;2;0.10079968068907572;20.0;20.0
113;2;-9.069988690590892;20.0;30.0
114;2;-2.245597137850474;20.0;40.0
115;2;-9.237804329995294;20.0;50.0
116;2;9.080166110166127;20.0;60.0
117;2;0.39902024088786625;20.0;70.0
118;2;-3.1332395600733545;20.0;80.0
119;2;4.287507002933995;20.0;90.0
120;2;-0.29882062770409057;20.0;100.0
121;2;0.38531087614955273;30.0;10.0
122;2;3.919519542775312;30.0;20.0
123;2;-0.6220065844951775;30.0;30.0
124;2;-9.55450231828211;30.0;40.0
125;2;2.118679108947509;30.0;50.0
126;2;-3.156746375790346;30.0;60.0
127;2;-1.395710417112749;30.0;70.0
128;2;9.300888464736728;30.0;80.0
129;2;5.901472248466965;30.0;90.0
130;2;-7.431635509118995;30.0;100.0
131;2;6.32812465873805;40.0;10.0
132;2;5.104919243732436;40.0;20.0
133;2;2.847053213344421;40.0;30.0
134;2;-4.574497311932259;40.0;40.0
135;2;-4.767328334971027;40.0;50.0
136;2;-0.4124437984527138;40.0;60.0
137;2;-8.918623983031862;40.0;70.0
138;2;5.903880680182719;40.0;80.0
139;2;9.60406108477998;40.0;90.0
140;2;-2.850270846381254;40.0;100.0
141;2;4.378250025710729;50.0;10.0
142;2;0.14348289202455056;50.0;20.0
143;2;-6.13209191428834;50.0;30.0
144;2;-8.237214865957302;50.0;40.0
145;2;0.6720543671778438;50.0;50.0
146;2;6.780047259855834;50.0;60.0
147;2;-5.576667209880985;50.0;70.0
148;2;-1.1421921265132484;50.0;80.0
149;2;-6.504659016319351;50.0;90.0
150;2;8.44424176191125;50.0;100.0
151;2;-4.760626579059777;60.0;10.0
152;2;-2.920869229401294;60.0;20.0
153;2;-3.1599538874667883;60.0;30.0
154;2;5.848113574043017;60.0;40.0
155;2;4.627642878142013;60.0;50.0
156;2;5.578334115628942;60.0;60.0
157;2;6.0713610325058225;60.0;70.0
158;2;-6.082654072568328;60.0;80.0
159;2;7.4510857223071385;60.0;90.0
160;2;3.180386397284868;60.0;100.0
161;2;-9.136690756095332;70.0;10.0
162;2;-8.475254650590902;70.0;20.0
163;2;-6.891753580050848;70.0;30.0
164;2;3.824859581798313;70.0;40.0
165;2;-8.415386888937327;70.0;50.0
166;2;10.475079445152327;70.0;60.0
167;2;-5.49069374762909;70.0;70.0
168;2;2.111254124333854;70.0;80.0
169;2;9.957012457867565;70.0;90.0
170;2;-8.873585617477382;70.0;100.0
171;2;1.2143440780813402;80.0;10.0
172;2;7.087531178420333;80.0;20.0
173;2;4.759835576607387;80.0;30.0
174;2;0.13413102989239367;80.0;40.0
175;2;-8.052040838724219;80.0;50.0
176;2;-6.240059872717567;80.0;60.0
177;2;-7.516084272184904;80.0;70.0
178;2;2.6123868235168355;80.0;80.0
179;2;-5.254292918539846;80.0;90.0
180;2;8.75865195102416;80.0;100.0
181;2;1.7204202576955139;90.0;10.0
182;2;-8.602710031863094;90.0;20.0
183;2;8.423701777559938;90.0;30.0
184;2;-4.118094538067524;90.0;40.0
185;2;6.496632576520641;90.0;50.0
186;2;3.308875811414524;90.0;60.0
187;2;-4.479416629797733;90.0;70.0
188;2;-8.614818190164186;90.0;80.0
189;2;-6.784439139868402;90.0;90.0
190;2;-3.7414614212045514;90.0;100.0
191;2;2.985762819483756;100.0;10.0
192;2;5.135344707140138;100.0;20.0
193;2;3.0169835534341285;100.0;30.0
194;2;4.680083982157369;100.0;40.0
195;2;-4.6571029325221485;100.0;50.0
196;2;3.2129532083841115;100.0;60.0
197;2;4.137356227467278;100.0;70.0
198;2;-3.340728641347587;100.0;80.0
199;2;8.68114044628476;100.0;90.0
200;2;1.610421835427715;100.0;100.0
201;3;2.896582621626299;10.0;10.0
202;3;-4.289463794481498;10.0;20.0
203;3;-6.855017058618951;10.0;30.0
204;3;-6.567111444172751;10.0;40.0
205;3;8.89445564860585;10.0;50.0
206;3;1.6715926590281114;10.0;60.0
207;3;8.028387830431209;10.0;70.0
208;3;4.529366877930527;10.0;80.0
209;3;-4.65881339308649;10.0;90.0
210;3;-0.6025071873623552;10.0;100.0
211;3;-3.1773372546306593;20.0;10.0
212;3;-4.446505517151035;20.0;20.0
213;3;-1.7814865171437944;20.0;30.0
214;3;6.484047944153844;20.0;40.0
215;3;-4.763869245153263;20.0;50.0
216;3;6.797812899513142;20.0;60.0
217;3;-0.07609981904372898;20.0;70.0
218;3;4.974258806601435;20.0;80.0
219;3;4.1885493897507375;20.0;90.0
220;3;5.757850913403921;20.0;100.0
221;3;8.896170242290374;30.0;10.0
222;3;-5.31523537002315;30.0;20.0
223;3;7.15813764568583;30.0;30.0
224;3;5.798016698978227;30.0;40.0
225;3;5.631165735886973;30.0;50.0
226;3;-1.1306686981205263;30.0;60.0
227;3;5.192647922833356;30.0;70.0
228;3;5.465149229375747;30.0;80.0
229;3;0.463379607799932;30.0;90.0
230;3;2.6530262049775963;30.0;100.0
231;3;5.847090891250317;40.0;10.0
232;3;-3.728414493928709;40.0;20.0
233;3;9.267639015292865;40.0;30.0
234;3;-7.02009859543972;40.0;40.0
235;3;-7.664310540616865;40.0;50.0
236;3;-4.110675403733772;40.0;60.0
237;3;-9.10211920087066;40.0;70.0
238;3;4.865645467624598;40.0;80.0
239;3;1.994237807348875;40.0;90.0
240;3;-8.160289542702191;40.0;100.0
241;3;9.77375525280585;50.0;10.0
242;3;-3.6013754468130914;50.0;20.0
243;3;6.061514229527827;50.0;30.0
244;3;-7.806857126084182;50.0;40.0
245;3;-0.9137350440871757;50.0;50.0
246;3;9.004371362069788;50.0;60.0
247;3;2.747794793438399;50.0;70.0
248;3;-4.740303739573328;50.0;80.0
249;3;-6.948170893696488;50.0;90.0
250;3;-2.143683891459168;50.0;100.0
251;3;-6.380181680923555;60.0;10.0
252;3;0.48686851792503294;60.0;20.0
253;3;5.767382399689101;60.0;30.0
254;3;0.04043054898383602;60.0;40.0
255;3;3.414712152182233;60.0;50.0
256;3;7.781549516190359;60.0;60.0
