id,system_id,dependent_variable,independent_variable_1,independent_variable_2
1,1,0.049453601,10,10
2,1,0.41065484,10,20
3,1,0.433889156,10,30
4,1,0.190081706,10,40
5,1,0.134031253,10,50
6,1,-0.028397231,10,60
7,1,-0.001856688,10,70
8,1,0.072802449,10,80
9,1,-0.059562639,10,90
10,1,-0.032358614,10,100
11,1,0.57958353,20,10
12,1,0.224432235,20,20
13,1,0.44897019,20,30
14,1,0.226286853,20,40
15,1,0.001369722,20,50
16,1,0.116491069,20,60
17,1,-0.03349684,20,70
18,1,-0.011870704,20,80
19,1,-0.050882125,20,90
20,1,0.086143899,20,100
21,1,0.578992708,30,10
22,1,0.591405985,30,20
23,1,0.049228809,30,30
24,1,0.225311576,30,40
25,1,0.119789754,30,50
26,1,0.106731712,30,60
27,1,-0.01499331,30,70
28,1,0.116820675,30,80
29,1,-0.028433625,30,90
30,1,-0.02495921,30,100
31,1,0.740769241,40,10
32,1,0.536363262,40,20
33,1,0.585253117,40,30
34,1,0.015475614,40,40
35,1,0.03541969,40,50
36,1,0.022467926,40,60
37,1,0.069943512,40,70
38,1,-0.015988509,40,80
39,1,0.041550663,40,90
40,1,0.106752982,40,100
41,1,0.67082312,50,10
42,1,0.484594041,50,20
43,1,0.451040478,50,30
44,1,0.669614676,50,40
45,1,-0.054628023,50,50
46,1,0.118860147,50,60
47,1,-0.061910332,50,70
48,1,0.096697973,50,80
49,1,0.062417914,50,90
50,1,0.020770722,50,100
51,1,0.451473805,60,10
52,1,0.41276778,60,20
53,1,0.5566524,60,30
54,1,0.512237846,60,40
55,1,0.713891606,60,50
56,1,0.003501321,60,60
57,1,0.028272772,60,70
58,1,0.050010314,60,80
59,1,-0.088891046,60,90
60,1,0.064198944,60,100
61,1,0.098002922,70,10
62,1,0.174823456,70,20
63,1,0.207647373,70,30
64,1,0.475485504,70,40
65,1,0.566048114,70,50
66,1,0.774203431,70,60
67,1,-0.078264539,70,70
68,1,-0.096960923,70,80
69,1,-0.006343198,70,90
70,1,-0.043025036,70,100
71,1,-0.001648909,80,10
72,1,-0.024904267,80,20
73,1,-0.062272851,80,30
74,1,0.086993064,80,40
75,1,0.210906333,80,50
76,1,0.940716976,80,60
77,1,1.021103236,80,70
78,1,-0.032400323,80,80
79,1,-0.081205723,80,90
80,1,0.007760879,80,100
81,1,0.01744255,90,10
82,1,0.088137077,90,20
83,1,0.005252964,90,30
84,1,0.003759757,90,40
85,1,0.193879807,90,50
86,1,0.76483188,90,60
87,1,1.012975001,90,70
88,1,0.905893541,90,80
89,1,-0.071723738,90,90
90,1,-0.065581419,90,100
91,1,1.045260776,100,10
92,1,0.991311244,100,20
93,1,1.016980593,100,30
94,1,0.91800937,100,40
95,1,0.934836085,100,50
96,1,0.999312501,100,60
97,1,1.068747201,100,70
98,1,0.956881224,100,80
99,1,1.068091456,100,90
100,1,-0.084400086,100,100
101,2,-0.004673246,10,10
102,2,0.448944979,10,20
103,2,0.372714168,10,30
104,2,0.216717931,10,40
105,2,0.043578513,10,50
106,2,0.01493937,10,60
