id,system_id,dependent_variable,independent_variable_1
1,1,0.00951343,1
2,1,0,2
3,1,0,3
4,1,0.04408549,4
5,1,0.090380826,5
6,1,0,6
7,1,0,7
8,1,0.108299967,8
9,1,0.062840655,9
10,1,0,10
11,1,0.005965552,11
12,1,0.095658784,12
13,1,0,13
14,1,0,14
15,1,0.0536067,15
16,1,0.068116204,16
17,1,0.023953415,17
18,1,0.155713054,18
19,1,0.15346423,19
20,1,0.048109203,20
21,1,0.115862276,21
22,1,0.111972463,22
23,1,0.135333633,23
24,1,0.218010708,24
25,1,0.183179283,25
26,1,0.209188825,26
27,1,0.35337845,27
28,1,0.324191245,28
29,1,0.4527454,29
30,1,0.447574325,30
31,1,0.500423005,31
32,1,0.482763706,32
33,1,0.488872108,33
34,1,0.605172246,34
35,1,0.681528074,35
36,1,0.725165215,36
37,1,0.710362042,37
38,1,0.638648455,38
39,1,0.740965216,39
40,1,0.718148027,40
41,1,0.824832885,41
42,1,0.943492852,42
43,1,0.977056736,43
44,1,0.990707752,44
45,1,0.970733288,45
46,1,0.870686958,46
47,1,1,47
48,1,0.974245782,48
49,1,1,49
50,1,0.933896071,50
51,1,0.97965357,51
52,1,1,52
53,1,0.902254919,53
54,1,1,54
55,1,1,55
56,1,0.969094893,56
57,1,0.888607437,57
58,1,0.807148795,58
59,1,0.913171942,59
60,1,0.85824504,60
61,1,0.716910746,61
62,1,0.6482166,62
63,1,0.611296974,63
64,1,0.651318564,64
65,1,0.63165844,65
66,1,0.65737603,66
67,1,0.620922539,67
68,1,0.431100291,68
69,1,0.504694386,69
70,1,0.400491133,70
71,1,0.464502659,71
72,1,0.282751393,72
73,1,0.231356853,73
74,1,0.213363067,74
75,1,0.270813305,75
76,1,0.302544887,76
77,1,0.10513558,77
78,1,0.243922121,78
79,1,0.206215236,79
80,1,0.190830204,80
81,1,0.048136076,81
82,1,0.107096519,82
83,1,0.015254937,83
84,1,0.123816724,84
85,1,0.046868038,85
86,1,0.105627818,86
87,1,0,87
88,1,0.101716773,88
89,1,0.08484187,89
90,1,0.12380191,90
91,1,0.048115933,91
92,1,0.032671621,92
93,1,0,93
94,1,0.111442383,94
95,1,0.035613689,95
96,1,0,96
97,1,0.005560734,97
98,1,0,98
99,1,0.060734679,99
100,1,0,100
101,2,0.023425767,1
102,2,0,2
103,2,0.002298381,3
104,2,0.035747536,4
105,2,0.00724923,5
106,2,0,6
107,2,0.02400077,7
108,2,0,8
109,2,0.023175165,9
110,2,0.081494368,10
111,2,0,11
112,2,0.015684479,12
113,2,0.07758231,13
114,2,0.076350864,14
115,2,0,15
116,2,0,16
117,2,0.136142595,17
118,2,0.134643041,18
119,2,0.107791255,19
120,2,0.047191521,20
121,2,0.101895547,21
122,2,0.15599177,22
123,2,0.257235968,23
124,2,0.151584013,24
125,2,0.315724645,25
126,2,0.366434989,26
127,2,0.352535558,27
128,2,0.274416505,28
129,2,0.354734445,29
130,2,0.348949054,30
131,2,0.472953912,31
132,2,0.470448469,32
133,2,0.50254735,33
134,2,0.654374963,34
135,2,0.654202802,35
136,2,0.645802999,36
137,2,0.622917496,37
138,2,0.74705054,38
139,2,0.705602304,39
140,2,0.727133049,40
141,2,0.752634472,41
142,2,0.786179644,42
143,2,0.820781808,43
144,2,1,44
145,2,0.895119423,45
146,2,0.920419183,46
147,2,1,47
148,2,0.962335305,48
149,2,0.976454741,49
150,2,0.902889267,50
151,2,0.983235042,51
152,2,0.953124605,52
153,2,0.915229354,53
154,2,0.972856176,54
155,2,0.881259722,55
156,2,0.981286385,56
157,2,0.932461018,57
158,2,0.813012303,58
159,2,0.766161298,59
160,2,0.851574302,60
161,2,0.856470728,61
162,2,0.653392008,62
163,2,0.633368194,63
164,2,0.583918848,64
165,2,0.521783667,65
166,2,0.628009819,66
167,2,0.49532789,67
168,2,0.437362424,68
169,2,0.361691655,69
170,2,0.32406014,70
171,2,0.321814963,71
172,2,0.394059458,72
173,2,0.225306658,73
174,2,0.349379956,74
175,2,0.223971581,75
176,2,0.310040831,76
177,2,0.154643841,77
178,2,0.188708295,78
179,2,0.215510415,79
180,2,0.105917281,80
181,2,0.095854316,81
182,2,0.116698944,82
183,2,0.043278498,83
184,2,0.026786538,84
185,2,0,85
186,2,0.148578982,86
187,2,0.090308775,87
188,2,0.046642626,88
189,2,0.000710434,89
190,2,0.057318353,90
191,2,0.028063202,91
192,2,0,92
193,2,0.097537715,93
194,2,0.030982837,94
195,2,0.06625162,95
196,2,0,96
197,2,0,97
198,2,0,98
199,2,0.085643081,99
200,2,0,100
201,3,0.089524756,1
202,3,0,2
203,3,0.098599584,3
204,3,0,4
205,3,0,5
206,3,0,6
207,3,0.077692967,7
208,3,0.035885299,8
209,3,0.002365576,9
210,3,0.043632456,10
211,3,0,11
212,3,0.10850286,12
213,3,0,13
214,3,0.06716761,14
215,3,0,15
216,3,0.136599208,16
217,3,0.168196255,17
218,3,0.16694868,18
219,3,0.142320232,19
220,3,0.112131235,20
221,3,0.13152233,21
222,3,0.214521266,22
223,3,0.225218649,23
224,3,0.247593257,24
225,3,0.272897547,25
226,3,0.376864706,26
227,3,0.2236441,27
228,3,0.343394876,28
229,3,0.280897581,29
230,3,0.425308698,30
231,3,0.531582454,31
232,3,0.450260424,32
233,3,0.522346046,33
234,3,0.492740096,34
235,3,0.659521847,35
236,3,0.730757836,36
237,3,0.587782747,37
238,3,0.674886098,38
239,3,0.772339388,39
240,3,0.748150642,40
241,3,0.920407613,41
242,3,0.895378809,42
243,3,0.971364282,43
244,3,0.944807501,44
245,3,1,45
246,3,1,46
247,3,0.907663075,47
248,3,0.997703922,48
249,3,1,49
250,3,1,50
251,3,0.952781047,51
252,3,0.926733387,52
253,3,0.901848655,53
254,3,0.946111466,54
255,3,0.884286396,55
256,3,0.962820616,56
257,3,0.957588487,57
258,3,0.837092741,58
259,3,0.812046139,59
260,3,0.716326239,60
261,3,0.734390368,61
262,3,0.763794301,62
263,3,0.643494528,63
264,3,0.595988744,64
265,3,0.685871985,65
266,3,0.613150275,66
267,3,0.518434193,67
268,3,0.406932653,68
269,3,0.514572661,69
270,3,0.496419,70
271,3,0.403391404,71
272,3,0.408212577,72
273,3,0.400934019,73
274,3,0.304083147,74
275,3,0.152024266,75
276,3,0.229228714,76
277,3,0.16441879,77
278,3,0.163293446,78
279,3,0.229962293,79
280,3,0.152974183,80
281,3,0.176002943,81
282,3,0.05171965,82
283,3,0.130154883,83
284,3,0.160098821,84
285,3,0.035526615,85
286,3,0.024299369,86
287,3,0.06069262,87
288,3,0,88
289,3,0.054501471,89
290,3,0.095814149,90
291,3,0,91
292,3,0.044054815,92
293,3,0.077830709,93
294,3,0,94
295,3,0,95
296,3,0,96
297,3,0,97
298,3,0.043644719,98
299,3,0.009180098,99
300,3,0.068266316,100
301,4,0.063916742,1
302,4,0.025872407,2
303,4,0.061941097,3
304,4,0.015324711,4
305,4,0.054711594,5
306,4,0.070230016,6
307,4,0,7
308,4,0.050520349,8
309,4,0.093795668,9
310,4,0,10
311,4,0.06774997,11
312,4,0.000520031,12
313,4,0.117380811,13
314,4,0.091905011,14
315,4,0.084553378,15
316,4,0.101288493,16
317,4,0.08869028,17
318,4,0.0505126,18
319,4,0.021203334,19
320,4,0.09263284,20
321,4,0.2002003,21
322,4,0.1465507,22
323,4,0.128194878,23
324,4,0.230770838,24
325,4,0.223112892,25
326,4,0.288353959,26
327,4,0.282548417,27
328,4,0.413902539,28
329,4,0.421103807,29
330,4,0.354281965,30
331,4,0.349488099,31
332,4,0.470456552,32
333,4,0.606641504,33
334,4,0.636555995,34
335,4,0.676485727,35
336,4,0.666678973,36
337,4,0.727289981,37
338,4,0.641195993,38
339,4,0.837625307,39
340,4,0.797023242,40
341,4,0.788432922,41
342,4,0.944750895,42
343,4,0.994912034,43
344,4,0.838654381,44
345,4,1,45
346,4,1,46
347,4,0.937936102,47
348,4,0.977180777,48
349,4,1,49
350,4,0.942802632,50
351,4,1,51
352,4,0.958806394,52
353,4,0.992572192,53
354,4,0.888707008,54
355,4,0.879252142,55
356,4,0.874769408,56
357,4,0.855310523,57
358,4,0.843933241,58
359,4,0.847826331,59
360,4,0.74529277,60
361,4,0.802025796,61
362,4,0.716944287,62
363,4,0.693516719,63
364,4,0.653322717,64
365,4,0.57396907,65
366,4,0.624895388,66
367,4,0.528369012,67
368,4,0.409026473,68
369,4,0.383113819,69
370,4,0.505476635,70
371,4,0.470902117,71
372,4,0.307192976,72
373,4,0.316292047,73
374,4,0.223476778,74
375,4,0.176933427,75
376,4,0.221284698,76
377,4,0.139341872,77
378,4,0.226558647,78
379,4,0.0854011,79
380,4,0.07509127,80
381,4,0.082490319,81
382,4,0.115944103,82
383,4,0.163607926,83
384,4,0.042192621,84
385,4,0.070782885,85
386,4,0.019612843,86
387,4,0.119584074,87
388,4,0,88
389,4,0,89
390,4,0.026661993,90
391,4,0.008653637,91
392,4,0.002099727,92
393,4,0.02969568,93
394,4,0,94
395,4,0.011497019,95
396,4,0.096733863,96
397,4,0.09138143,97
398,4,0,98
399,4,0.093451831,99
400,4,0,100
401,5,0,1
402,5,0.00829265,2
403,5,0.028535397,3
404,5,0.005374239,4
405,5,0.061493621,5
406,5,0.001433405,6
407,5,0,7
408,5,0,8
409,5,0.092324619,9
410,5,0,10
411,5,0.105328331,11
412,5,0.110251118,12
413,5,0.063205777,13
414,5,0.003084426,14
415,5,0.093252212,15
416,5,0.082256527,16
417,5,0.088106004,17
418,5,0.178249448,18
419,5,0.057910764,19
420,5,0.232369699,20
421,5,0.238124077,21
422,5,0.250413916,22
423,5,0.253769306,23
424,5,0.226847485,24
425,5,0.223294615,25
426,5,0.198695111,26
427,5,0.363272552,27
428,5,0.404483023,28
429,5,0.438898585,29
430,5,0.357284724,30
431,5,0.50288513,31
432,5,0.511688065,32
433,5,0.537920976,33
434,5,0.556640941,34
435,5,0.541344815,35
436,5,0.635076979,36
437,5,0.719756873,37
438,5,0.721929101,38
439,5,0.818520431,39
440,5,0.722442718,40
441,5,0.783021973,41
442,5,0.788138216,42
443,5,0.824161518,43
444,5,1,44
445,5,0.949874256,45
446,5,0.973128916,46
447,5,0.948371351,47
448,5,0.960381286,48
449,5,0.908479911,49
450,5,1,50
451,5,0.960725965,51
452,5,0.960369444,52
453,5,0.929876496,53
454,5,0.912946509,54
455,5,0.975253954,55
456,5,0.924644348,56
457,5,0.993372106,57
458,5,0.835763099,58
459,5,0.79516157,59
460,5,0.738944117,60
461,5,0.667745863,61
462,5,0.687430012,62
463,5,0.689871029,63
464,5,0.647398545,64
465,5,0.575958267,65
466,5,0.593826248,66
467,5,0.430664721,67
468,5,0.484295113,68
469,5,0.512905162,69
470,5,0.47794658,70
471,5,0.465688839,71
472,5,0.331533594,72
473,5,0.228089313,73
474,5,0.184440617,74
475,5,0.342948809,75
476,5,0.139731567,76
477,5,0.19062585,77
478,5,0.2113596,78
479,5,0.083120201,79
480,5,0.223185695,80
481,5,0.188876077,81
482,5,0.078162647,82
483,5,0.026272814,83
484,5,0.046484146,84
485,5,0.160744632,85
486,5,0.117390835,86
487,5,0,87
488,5,0.092293323,88
489,5,0.106540177,89
490,5,0.003043766,90
491,5,0.100484439,91
492,5,0,92
493,5,0,93
494,5,0.065366301,94
495,5,0,95
496,5,0.011505471,96
497,5,0,97
498,5,0.001154851,98
499,5,0.093616032,99
500,5,0,100
501,6,0.056899473,1
502,6,0.014569571,2
503,6,0.081500393,3
504,6,0,4
505,6,0.090746055,5
506,6,0.086771646,6
507,6,0,7
508,6,0.000567267,8
509,6,0,9
510,6,0.006290768,10
511,6,0.015137457,11
512,6,0.049044391,12
513,6,0.05030491,13
514,6,0.134212779,14
515,6,0.142018364,15
516,6,0.107954054,16
517,6,0.136245983,17
518,6,0.041265473,18
519,6,0.137219522,19
520,6,0.209208909,20
521,6,0.059619791,21
522,6,0.128201955,22
523,6,0.111526382,23
524,6,0.202372308,24
525,6,0.199866976,25
526,6,0.342681607,26
527,6,0.391561752,27
528,6,0.262458684,28
529,6,0.432484744,29
530,6,0.42507872,30
