id;system_id;dependent_variable;independent_variable_1
1;1;0.0963766593474796;10.0
2;1;0.20965853912869797;20.0
3;1;0.4440903661379221;30.0
4;1;0.702199175792094;40.0
5;1;0.921483715187427;50.0
6;1;0.7366325546221327;60.0
7;1;0.4045568182781356;70.0
8;1;0.06119504587531925;80.0
9;1;0.007074561298619782;90.0
10;1;0.08969846514023896;100.0
11;2;0;10.0
12;2;0.1758657110765456;20.0
13;2;0.4405833958224773;30.0
14;2;0.7607301713546464;40.0
15;2;0.9467496157908705;50.0
16;2;0.7269488880255295;60.0
17;2;0.39552203146085985;70.0
18;2;0.15319037501153948;80.0
19;2;0;90.0
20;2;0.0334834345596089;100.0
21;3;0.02075494607005774;10.0
22;3;0.05716766796269754;20.0
23;3;0.48747744243479485;30.0
24;3;0.710866024549237;40.0
25;3;0.9658433799978077;50.0
26;3;0.7358996635739226;60.0
27;3;0.35017863973601326;70.0
28;3;0.07868221082956323;80.0
29;3;0.0401994744760914;90.0
30;3;0.03954781288900079;100.0
31;4;0.06778436963506343;10.0
32;4;0.12979342294278523;20.0
33;4;0.37797851672952454;30.0
34;4;0.8110945257109591;40.0
35;4;0.9692863781733939;50.0
36;4;0.8365488351922844;60.0
37;4;0.3482105562255533;70.0
38;4;0.15692637224312872;80.0
39;4;0;90.0
40;4;0;100.0
41;5;0.036678364042029954;10.0
42;5;0.07238563177916155;20.0
43;5;0.4878004191402694;30.0
44;5;0.8933367324405675;40.0
45;5;1;50.0
46;5;0.8251556539133437;60.0
47;5;0.3963549426049019;70.0
48;5;0.04996288456489703;80.0
49;5;0;90.0
50;5;0.028772229690685387;100.0
51;6;0;10.0
52;6;0.11391729104074635;20.0
53;6;0.5032989913436352;30.0
54;6;0.8391885630131283;40.0
55;6;0.9153065946306469;50.0
56;6;0.7861405178040802;60.0
57;6;0.4992594545972374;70.0
58;6;0.11827757568737066;80.0
59;6;0.09174343108460088;90.0
60;6;0.055699217942557715;100.0
61;7;0.11892220872241621;10.0
62;7;0.12093759734790625;20.0
63;7;0.47707375002299307;30.0
64;7;0.8623534899579428;40.0
65;7;1;50.0
66;7;0.7254441568100656;60.0
67;7;0.3598123028751933;70.0
68;7;0.12905876159880475;80.0
69;7;0;90.0
70;7;0.043720180236449246;100.0
71;8;0;10.0
72;8;0.2199700810761557;20.0
73;8;0.3113601666500932;30.0
74;8;0.804543996019388;40.0
75;8;0.9750083953526216;50.0
76;8;0.7286142623510776;60.0
77;8;0.3302292729399143;70.0
78;8;0.08545944044590015;80.0
79;8;0.07753192143256779;90.0
80;8;0;100.0
81;9;0.12316050343764888;10.0
82;9;0.22001889895238882;20.0
83;9;0.4250522738544118;30.0
84;9;0.8690163063381441;40.0
85;9;1;50.0
86;9;0.8040012104330163;60.0
87;9;0.3786683972409934;70.0
88;9;0.053262870401099824;80.0
89;9;0;90.0
90;9;0.03520490111589066;100.0
91;10;0;10.0
92;10;0.13011446243193567;20.0
93;10;0.3782877707052836;30.0
94;10;0.8425131229812246;40.0
95;10;0.9035882893925213;50.0
96;10;0.7428096177088865;60.0
97;10;0.4280864950002064;70.0
98;10;0.10169592866829141;80.0
99;10;0.12103597983776625;90.0
100;10;0;100.0
