id;system_id;dependent_variable;independent_variable_1
1;1;25.469689793836235;10.0
2;1;30.120992570821343;20.0
3;1;25.98389653822956;30.0
4;1;40.89896126640078;40.0
5;1;56.54181222993584;50.0
6;1;58.127275705745106;60.0
7;1;70.37380914282843;70.0
8;1;74.29541686805881;80.0
9;1;80.12842175512436;90.0
10;1;96.13636764998891;100.0
11;2;27.427718208175627;10.0
12;2;32.28282407016032;20.0
13;2;38.78188947633564;30.0
14;2;39.39563843750652;40.0
15;2;52.83717067618919;50.0
16;2;62.5540563157405;60.0
17;2;58.07733119922487;70.0
18;2;75.3549696457434;80.0
19;2;74.0759929691181;90.0
20;2;88.34735338674874;100.0
21;3;19.60918261415305;10.0
22;3;24.102857693877894;20.0
23;3;37.00914739110216;30.0
24;3;49.92418672027173;40.0
25;3;44.80477780858702;50.0
26;3;55.036561919896414;60.0
27;3;64.04974360007358;70.0
28;3;73.93738970733632;80.0
29;3;80.52675458588739;90.0
30;3;82.80278913159621;100.0
31;4;21.032039997838275;10.0
32;4;25.085508818956548;20.0
33;4;29.831953896195103;30.0
34;4;47.15734434529172;40.0
35;4;53.250435745911716;50.0
36;4;64.96392574129409;60.0
37;4;74.89092105502621;70.0
38;4;68.28723998415758;80.0
39;4;76.20702103003394;90.0
40;4;85.21887527144436;100.0
41;5;15.958866104480219;10.0
42;5;32.933863937830644;20.0
43;5;38.10626002506325;30.0
44;5;33.2837588303539;40.0
45;5;53.173447393936115;50.0
46;5;57.70680090854421;60.0
47;5;74.15844513950523;70.0
48;5;75.76524994120457;80.0
49;5;81.9016539918131;90.0
50;5;80.69844200310527;100.0
51;6;26.98155169063414;10.0
52;6;26.30595392263472;20.0
53;6;39.642870947655624;30.0
54;6;47.00877292736149;40.0
55;6;42.89161822413529;50.0
56;6;48.543690935796434;60.0
57;6;56.67606136368693;70.0
58;6;69.91619668131703;80.0
59;6;77.06394094815955;90.0
60;6;94.40287967962514;100.0
61;7;19.563273621605408;10.0
62;7;33.11194449324923;20.0
63;7;29.05366743509696;30.0
64;7;39.628517388824356;40.0
65;7;52.520223204941786;50.0
66;7;58.91866684105085;60.0
67;7;59.57961010734743;70.0
68;7;64.0577183106749;80.0
69;7;74.80727936543227;90.0
70;7;82.23403687999506;100.0
71;8;26.615455496497916;10.0
72;8;23.510100494622755;20.0
73;8;43.45138401725774;30.0
74;8;45.59875423969498;40.0
75;8;43.77319463354628;50.0
76;8;58.86421153303373;60.0
77;8;72.36682948859128;70.0
78;8;65.97155799571715;80.0
79;8;88.69974459743025;90.0
80;8;84.55569859855109;100.0
81;9;13.254321395802696;10.0
82;9;31.46515922086603;20.0
83;9;41.941317368080426;30.0
84;9;42.50421884193266;40.0
85;9;45.63821124933178;50.0
86;9;60.486094045667535;60.0
87;9;57.95185859452718;70.0
88;9;74.99174846720243;80.0
89;9;86.85213387502627;90.0
90;9;88.63678045185912;100.0
91;10;24.25252923127148;10.0
92;10;33.30702493745713;20.0
93;10;36.63022049050366;30.0
94;10;37.134142804545185;40.0
95;10;47.39360698954191;50.0
96;10;67.9920233541958;60.0
97;10;75.42490834034768;70.0
98;10;82.26974735750986;80.0
99;10;85.12528681244358;90.0
100;10;83.83362549245737;100.0
