id,system_id,dependent_variable,independent_variable_1
1,1,0.032972393,1
2,1,0,2
3,1,0.076259396,3
4,1,0.060903569,4
5,1,0,5
6,1,0,6
7,1,0,7
8,1,0.071522347,8
9,1,0,9
10,1,0.084147713,10
11,1,0.04041154,11
12,1,0.078455869,12
13,1,0.042608033,13
14,1,0,14
15,1,0,15
16,1,0,16
17,1,0.09984565,17
18,1,0,18
19,1,0,19
20,1,0,20
21,1,0.009114337,21
22,1,0,22
23,1,0.064738306,23
24,1,0,24
25,1,0,25
26,1,0.090877271,26
27,1,0.12128729,27
28,1,0,28
29,1,0.004204373,29
30,1,0.070279431,30
31,1,0.131459061,31
32,1,0.061366013,32
33,1,0.048017428,33
34,1,0.149419376,34
35,1,0.046247171,35
36,1,0.089503577,36
37,1,0.114622923,37
38,1,0.17572381,38
39,1,0.180354869,39
40,1,0.093704591,40
41,1,0.090055592,41
42,1,0.265389398,42
43,1,0.236498694,43
44,1,0.260125811,44
45,1,0.358180848,45
46,1,0.310168187,46
47,1,0.464545826,47
48,1,0.390763908,48
49,1,0.405600592,49
50,1,0.529220198,50
51,1,0.572004132,51
52,1,0.601661392,52
53,1,0.524168938,53
54,1,0.712343088,54
55,1,0.721994187,55
56,1,0.691791825,56
57,1,0.701711341,57
58,1,0.796169569,58
59,1,0.767909113,59
60,1,0.891057197,60
61,1,0.919481164,61
62,1,0.920659263,62
63,1,0.822448395,63
64,1,0.930374333,64
65,1,0.918371782,65
66,1,0.926773196,66
67,1,0.951718249,67
68,1,0.96919278,68
69,1,0.889473375,69
70,1,0.880178521,70
71,1,1,71
72,1,1,72
73,1,1,73
74,1,1,74
75,1,1,75
76,1,0.956834646,76
77,1,0.947189498,77
78,1,0.894759244,78
79,1,0.971039447,79
80,1,0.970382629,80
81,1,1,81
82,1,0.972922371,82
83,1,0.945740745,83
84,1,1,84
85,1,0.932099074,85
86,1,1,86
87,1,0.988301387,87
88,1,1,88
89,1,0.952721427,89
90,1,0.903114336,90
91,1,0.925404688,91
92,1,1,92
93,1,1,93
94,1,1,94
95,1,0.919105097,95
96,1,0.918485966,96
97,1,0.9185077,97
98,1,0.995252493,98
99,1,1,99
100,1,0.92211607,100
101,2,0.044389552,1
102,2,0,2
103,2,0.026395455,3
104,2,0.000327649,4
105,2,0,5
106,2,0.005449734,6
107,2,0.047938372,7
108,2,0.059878796,8
109,2,0.059873754,9
110,2,0,10
111,2,0,11
112,2,0.020668413,12
113,2,0,13
114,2,0,14
115,2,0.02074047,15
116,2,0.066170387,16
117,2,0.094549513,17
118,2,0,18
119,2,0,19
120,2,0.064388364,20
121,2,0,21
122,2,0.023019854,22
123,2,0.029489102,23
124,2,0,24
125,2,0.020513172,25
126,2,0.027461028,26
127,2,0,27
128,2,0.030027672,28
129,2,0.016521635,29
130,2,0.030982628,30
131,2,0.064488562,31
132,2,0.026424458,32
133,2,0.018653195,33
134,2,0.073531443,34
135,2,0.137703941,35
136,2,0.045237338,36
137,2,0.061613394,37
138,2,0.080398016,38
139,2,0.166660879,39
140,2,0.095424995,40
141,2,0.135867806,41
142,2,0.238412983,42
143,2,0.260322754,43
144,2,0.322011119,44
145,2,0.216582575,45
146,2,0.328026239,46
147,2,0.475986114,47
148,2,0.360795612,48
149,2,0.516465342,49
150,2,0.41830472,50
151,2,0.501429534,51
152,2,0.603627099,52
153,2,0.697634241,53
154,2,0.677550558,54
155,2,0.702965153,55
156,2,0.818672438,56
157,2,0.843822276,57
158,2,0.866782344,58
159,2,0.753142946,59
160,2,0.762267284,60
161,2,0.766132378,61
162,2,0.782544642,62
163,2,0.95654088,63
164,2,0.854961483,64
165,2,0.891958166,65
166,2,0.979212556,66
167,2,0.930606874,67
168,2,0.897346898,68
169,2,0.946759402,69
170,2,1,70
171,2,1,71
172,2,0.888344578,72
173,2,0.892317302,73
174,2,0.934414314,74
175,2,0.895796425,75
176,2,0.988215097,76
177,2,0.90516213,77
178,2,0.899179286,78
179,2,1,79
180,2,0.899021908,80
181,2,1,81
182,2,1,82
183,2,0.927531356,83
184,2,0.922604785,84
185,2,1,85
186,2,0.928126536,86
187,2,1,87
188,2,1,88
189,2,1,89
190,2,1,90
191,2,1,91
192,2,0.968538393,92
193,2,0.95108428,93
194,2,1,94
195,2,1,95
196,2,1,96
197,2,0.98360778,97
198,2,0.993148691,98
199,2,1,99
200,2,0.907189546,100
201,3,0.088601307,1
202,3,0.070247429,2
203,3,0.01158007,3
204,3,0.080820978,4
205,3,0,5
206,3,0,6
207,3,0.017258946,7
208,3,0.017006997,8
209,3,0.074533052,9
210,3,0,10
211,3,0.101482507,11
212,3,0.06745588,12
213,3,0.040687267,13
214,3,0.085091835,14
215,3,0,15
216,3,0,16
217,3,0,17
218,3,0.046867052,18
219,3,0.090379893,19
220,3,0.082266456,20
221,3,0,21
222,3,0,22
223,3,0,23
224,3,0.104337757,24
225,3,0,25
226,3,0.024712727,26
227,3,0.00233065,27
228,3,0.025063092,28
229,3,0.043487447,29
230,3,0,30
231,3,0.140003493,31
232,3,0.106991684,32
233,3,0.150198375,33
234,3,0.098358757,34
235,3,0.007388007,35
236,3,0.07681902,36
237,3,0.083789371,37
238,3,0.104974713,38
239,3,0.058831656,39
240,3,0.224972396,40
241,3,0.175460858,41
242,3,0.264347199,42
243,3,0.330431278,43
244,3,0.196155824,44
245,3,0.263941225,45
246,3,0.426998269,46
247,3,0.442543015,47
248,3,0.335628902,48
249,3,0.405813731,49
250,3,0.510808983,50
251,3,0.554566749,51
252,3,0.500193447,52
253,3,0.664813021,53
254,3,0.561318203,54
255,3,0.779550812,55
256,3,0.725843831,56
257,3,0.844737952,57
258,3,0.68975868,58
259,3,0.770203682,59
260,3,0.802075631,60
261,3,0.821707241,61
262,3,0.952162631,62
263,3,0.982564769,63
264,3,0.874773724,64
265,3,0.971152645,65
266,3,0.840120789,66
267,3,0.853270908,67
268,3,0.911976422,68
269,3,1,69
270,3,0.898448152,70
271,3,1,71
272,3,1,72
273,3,1,73
274,3,1,74
275,3,0.9007126,75
276,3,0.995251904,76
277,3,0.909176626,77
278,3,1,78
279,3,0.98643675,79
280,3,0.979630702,80
281,3,0.928861926,81
282,3,1,82
283,3,1,83
284,3,0.955983487,84
285,3,0.915718361,85
286,3,1,86
287,3,1,87
288,3,1,88
289,3,0.952639328,89
290,3,0.949078882,90
291,3,0.997367454,91
292,3,1,92
293,3,1,93
294,3,1,94
295,3,1,95
296,3,1,96
297,3,1,97
298,3,0.955463458,98
299,3,1,99
300,3,1,100
301,4,0,1
302,4,0,2
