id;system_id;dependent_variable;independent_variable_1;independent_variable_2
1;1;22.787785065710878;10.0;10.0
2;1;18.991024043650178;10.0;20.0
3;1;25.589412091270635;10.0;30.0
4;1;39.277786851634154;10.0;40.0
5;1;35.45439831412813;10.0;50.0
6;1;31.51202268929299;10.0;60.0
7;1;41.35873078004152;10.0;70.0
8;1;53.80646768303406;10.0;80.0
9;1;47.91099057540763;10.0;90.0
10;1;52.16731802301876;10.0;100.0
11;1;21.459386213382622;20.0;10.0
12;1;33.87504107852964;20.0;20.0
13;1;33.7042490117785;20.0;30.0
14;1;28.04298260938162;20.0;40.0
15;1;37.57691609667272;20.0;50.0
16;1;34.19619105574339;20.0;60.0
17;1;53.08072359508841;20.0;70.0
18;1;51.831091785469525;20.0;80.0
19;1;52.74954409391019;20.0;90.0
20;1;63.83801879789299;20.0;100.0
21;1;18.324663367147245;30.0;10.0
22;1;27.236274729072466;30.0;20.0
23;1;31.906789892913626;30.0;30.0
24;1;47.22189642725235;30.0;40.0
25;1;45.249865076603896;30.0;50.0
26;1;54.37007363886742;30.0;60.0
27;1;45.083527500105674;30.0;70.0
28;1;56.71503050828109;30.0;80.0
29;1;57.71369149226738;30.0;90.0
30;1;70.37498913324372;30.0;100.0
31;1;36.77190768928845;40.0;10.0
32;1;41.288120915882345;40.0;20.0
33;1;38.3235281997086;40.0;30.0
34;1;33.221628741693706;40.0;40.0
35;1;41.062921187831066;40.0;50.0
36;1;43.118163312450136;40.0;60.0
37;1;63.50135220243832;40.0;70.0
38;1;50.77949555847786;40.0;80.0
39;1;61.739173958831216;40.0;90.0
40;1;67.95870523305933;40.0;100.0
41;1;41.03606369874812;50.0;10.0
42;1;47.14562157532572;50.0;20.0
43;1;51.83181495732863;50.0;30.0
44;1;45.98189278053954;50.0;40.0
45;1;46.61660459685139;50.0;50.0
46;1;56.38832929425897;50.0;60.0
47;1;52.91486305153877;50.0;70.0
48;1;67.92007017777149;50.0;80.0
49;1;58.068347625227375;50.0;90.0
50;1;74.59539272012555;50.0;100.0
51;1;29.7804339728084;60.0;10.0
52;1;42.09998874915995;60.0;20.0
53;1;55.681237250277;60.0;30.0
54;1;52.91533510330305;60.0;40.0
55;1;47.13059238182433;60.0;50.0
56;1;61.0332596932257;60.0;60.0
57;1;68.10118046897605;60.0;70.0
58;1;66.77076187952285;60.0;80.0
59;1;77.12693863584718;60.0;90.0
60;1;68.21466208365698;60.0;100.0
61;1;46.443414707960955;70.0;10.0
62;1;45.0630580378331;70.0;20.0
63;1;50.1013035422088;70.0;30.0
64;1;50.01749418903458;70.0;40.0
65;1;65.82085731662087;70.0;50.0
66;1;62.20606615015521;70.0;60.0
67;1;74.99210159680479;70.0;70.0
68;1;65.85093985524244;70.0;80.0
69;1;82.48958700459087;70.0;90.0
70;1;80.79751645063327;70.0;100.0
71;1;36.659973383778905;80.0;10.0
