id,system_id,dependent_variable,independent_variable_1
1,1,86.29002001,1
2,1,76.32535012,2
3,1,76.58272779,3
4,1,77.14391055,4
5,1,65.06443151,5
6,1,55.23320174,6
7,1,59.27915665,7
8,1,59.73037688,8
9,1,53.54489207,9
10,1,56.2357349,10
11,1,47.74049789,11
12,1,46.57090263,12
13,1,54.40956739,13
14,1,33.44180764,14
15,1,47.55367317,15
16,1,44.45179023,16
17,1,39.93222767,17
18,1,41.55646534,18
19,1,39.22241249,19
20,1,27.04724499,20
21,1,39.1175357,21
22,1,29.91274107,22
23,1,27.87562148,23
24,1,40.30737713,24
25,1,32.06522809,25
26,1,34.06156894,26
27,1,35.61431012,27
28,1,34.26460161,28
29,1,30.5960012,29
30,1,31.33022987,30
31,1,30.65437965,31
32,1,37.75432523,32
33,1,30.29664184,33
34,1,34.26225035,34
35,1,42.79832305,35
36,1,27.02075635,36
37,1,33.9860479,37
38,1,38.17560946,38
39,1,39.55283528,39
40,1,35.88502711,40
41,1,37.95359856,41
42,1,35.76632884,42
43,1,37.33788859,43
44,1,24.20236622,44
45,1,31.82355094,45
46,1,41.66603579,46
47,1,31.20222523,47
48,1,39.94150535,48
49,1,26.86872102,49
50,1,21.96039982,50
51,1,36.6128691,51
52,1,30.55359395,52
53,1,24.32263579,53
54,1,31.10871588,54
55,1,20.81923608,55
56,1,20.88068998,56
57,1,33.01442092,57
58,1,22.87255961,58
59,1,27.50957716,59
60,1,30.8488716,60
61,1,29.94929011,61
62,1,31.72683468,62
63,1,16.06137697,63
64,1,15.19013714,64
65,1,16.44131598,65
66,1,13.46799616,66
67,1,14.17632781,67
68,1,24.60669139,68
69,1,12.70156886,69
70,1,12.90855889,70
71,1,13.80280022,71
72,1,25.26213094,72
73,1,19.84877314,73
74,1,13.24584882,74
75,1,13.72443228,75
76,1,22.41106487,76
77,1,10.85201626,77
78,1,17.70805978,78
79,1,6.674137265,79
80,1,10.35194202,80
81,1,10.52768598,81
82,1,4.446621389,82
83,1,8.870655881,83
84,1,21.80719062,84
85,1,8.352137843,85
86,1,12.79096488,86
87,1,23.10216922,87
88,1,24.20770664,88
89,1,25.95494249,89
90,1,20.65598806,90
91,1,25.49489008,91
92,1,14.73944357,92
93,1,17.44319416,93
94,1,26.0002842,94
95,1,37.93949214,95
96,1,33.64871118,96
97,1,45.742269,97
98,1,42.53161632,98
99,1,52.04405602,99
100,1,47.93060817,100
101,2,89.99247038,1
102,2,69.74252629,2
103,2,75.04602826,3
104,2,74.28366849,4
105,2,76.03489883,5
106,2,62.71844548,6
107,2,62.37753626,7
108,2,50.82127954,8
109,2,48.45023192,9
110,2,60.21703114,10
111,2,57.06649881,11
112,2,55.69640685,12
113,2,46.73666906,13
114,2,52.48974835,14
115,2,37.42942506,15
116,2,36.98562513,16
117,2,30.8129609,17
118,2,47.73540314,18
119,2,45.86607122,19
120,2,27.79712603,20
121,2,35.19988648,21
122,2,28.67096701,22
123,2,37.28469501,23
124,2,38.58123981,24
125,2,30.5443267,25
126,2,36.5589233,26
127,2,32.63538245,27
128,2,29.05739254,28
129,2,29.27374853,29
130,2,23.60715453,30
131,2,23.40576879,31
132,2,32.1008827,32
133,2,24.7181826,33
134,2,34.25007186,34
135,2,30.48909235,35
136,2,35.4856227,36
137,2,40.44542264,37
138,2,29.23373287,38
139,2,24.55402986,39
140,2,24.38312372,40
141,2,32.1173694,41
142,2,29.33093771,42
143,2,30.94788463,43
144,2,42.23001945,44
145,2,38.14229462,45
146,2,29.42522798,46
147,2,23.76820309,47
148,2,24.46951916,48
149,2,37.35471275,49
150,2,28.02793061,50
151,2,31.64244029,51
152,2,25.30757749,52
153,2,24.53920676,53
154,2,22.182164,54
155,2,30.10557521,55
156,2,35.27865111,56
157,2,31.14731963,57
158,2,22.71806126,58
159,2,25.33035003,59
160,2,27.88728593,60
161,2,28.62629838,61
162,2,28.80650296,62
163,2,30.69422245,63
164,2,26.47475947,64
165,2,19.40168175,65
166,2,14.47248517,66
167,2,10.95118097,67
168,2,13.50818014,68
169,2,22.02531297,69
170,2,7.31857907,70
171,2,24.43932635,71
172,2,9.373646272,72
173,2,21.01022972,73
174,2,10.47306349,74
175,2,9.305542374,75
176,2,7.230332619,76
177,2,11.99672895,77
178,2,21.22080429,78
179,2,6.801531969,79
180,2,17.65510147,80
181,2,18.67204263,81
182,2,7.213866052,82
183,2,13.25908937,83
184,2,8.549120382,84
185,2,7.899388243,85
186,2,14.62471619,86
187,2,7.978616941,87
188,2,24.45307238,88
189,2,8.425310063,89
190,2,21.2812159,90
191,2,19.93517546,91
192,2,15.00458317,92
193,2,14.29329229,93
194,2,32.14189785,94
195,2,32.56635292,95
196,2,32.57479246,96
197,2,40.35401235,97
198,2,42.75048037,98
199,2,53.15030912,99
200,2,53.21226241,100
201,3,82.6357231,1
202,3,75.71731872,2
203,3,77.20919721,3
204,3,76.23763956,4
205,3,63.56957588,5
206,3,56.61207813,6
207,3,52.84211431,7
208,3,55.40617863,8
209,3,48.7152946,9
210,3,44.99075535,10
211,3,39.77218777,11
212,3,48.61597224,12
213,3,38.95722318,13
214,3,37.58603112,14
215,3,41.5877229,15
216,3,39.87676303,16
217,3,44.6353318,17
218,3,30.17346855,18
219,3,29.1607963,19
220,3,43.94905252,20
221,3,42.89140138,21
222,3,45.08115889,22
223,3,43.66509161,23
224,3,33.93096143,24
225,3,24.26513788,25
226,3,36.81361852,26
227,3,37.22158543,27
228,3,41.46274503,28
229,3,28.85116141,29
230,3,32.29421165,30
231,3,23.61789855,31
232,3,42.04556614,32
233,3,34.15204781,33
234,3,43.12366797,34
235,3,33.8763604,35
236,3,42.40069247,36
237,3,29.06662051,37
238,3,28.78779818,38
239,3,25.6254824,39
240,3,35.36085759,40
241,3,28.19657622,41
242,3,37.76988133,42
243,3,23.33018693,43
244,3,23.08539522,44
245,3,29.67538378,45
246,3,30.07305263,46
247,3,41.73245296,47
248,3,27.09673474,48
249,3,37.39129705,49
250,3,31.30021784,50
251,3,29.09188115,51
252,3,35.39112258,52
253,3,30.43870065,53
254,3,34.76019226,54
255,3,29.07768356,55
256,3,23.16458155,56
257,3,29.59963406,57
258,3,27.66727648,58
259,3,18.04875485,59
260,3,25.57015183,60
261,3,27.19341534,61
262,3,26.24669772,62
263,3,19.47488384,63
264,3,31.06762909,64
265,3,28.6270535,65
266,3,27.8273819,66
267,3,19.29024134,67
268,3,22.56776437,68
269,3,11.10784661,69
270,3,15.38441286,70
271,3,21.69226721,71
272,3,16.10952556,72
273,3,18.00021564,73
274,3,22.10227594,74
275,3,6.327831808,75
276,3,6.387182107,76
277,3,11.28448353,77
278,3,7.41345868,78
279,3,17.94077035,79
280,3,20.3129846,80
281,3,6.638518444,81
282,3,6.026106107,82
283,3,5.990219673,83
284,3,15.44237945,84
285,3,7.076799907,85
286,3,5.705635827,86
287,3,24.65392451,87
288,3,16.76681861,88
289,3,22.72940322,89
290,3,8.546862409,90
291,3,19.96491317,91
292,3,20.89225909,92
293,3,27.39023217,93
294,3,31.24383695,94
295,3,34.84645246,95
296,3,30.57982081,96
297,3,40.85598739,97
298,3,40.67523538,98
299,3,38.14286328,99
300,3,38.93020831,100
301,4,76.53466499,1
302,4,70.25266078,2
303,4,65.82814978,3
304,4,79.9108747,4
305,4,73.77910721,5
306,4,54.0517908,6
307,4,54.6576748,7
308,4,55.4049414,8
309,4,61.97996568,9
310,4,57.15600393,10
311,4,51.20872038,11
312,4,53.77246136,12
313,4,35.99868776,13
314,4,38.62488354,14
315,4,37.15091377,15
316,4,33.75024956,16
317,4,39.28179803,17
318,4,41.62481846,18
319,4,28.55255853,19
320,4,30.93101206,20
321,4,41.56916592,21
322,4,31.50507657,22
323,4,35.34143943,23
324,4,38.66581766,24
325,4,39.63665015,25
326,4,26.98738491,26
327,4,36.81235844,27
328,4,42.20225033,28
329,4,23.73846464,29
330,4,40.12888438,30
331,4,33.53532128,31
332,4,32.48454123,32
333,4,37.52665533,33
334,4,35.13626621,34
335,4,25.09476356,35
336,4,28.81486178,36
337,4,38.2793374,37
338,4,27.81058345,38
339,4,35.08587527,39
340,4,35.30979635,40
341,4,26.09763205,41
342,4,41.12562951,42
343,4,32.9510947,43
344,4,32.25345701,44
345,4,30.84566256,45
346,4,22.86412968,46
347,4,23.18935909,47
348,4,23.15100954,48
349,4,29.44425253,49
350,4,32.30894722,50
351,4,35.73228872,51
352,4,32.25937952,52
353,4,35.51162975,53
354,4,39.04190641,54
355,4,26.34934736,55
356,4,34.5703457,56
357,4,23.92024256,57
358,4,18.57648038,58
359,4,34.03843889,59
360,4,23.21095134,60
361,4,33.79561501,61
362,4,19.29854941,62
363,4,28.48864277,63
364,4,13.58291952,64
365,4,23.28007612,65
366,4,17.34056616,66
367,4,20.53492728,67
368,4,21.4937189,68
369,4,8.127048841,69
370,4,8.0520201,70
371,4,9.282717402,71
372,4,18.57219368,72
373,4,16.45085724,73
374,4,18.03972747,74
375,4,7.051305955,75
376,4,7.033729223,76
377,4,16.30342846,77
378,4,14.19671882,78
379,4,5.931792329,79
380,4,3.408272532,80
381,4,20.25725886,81
382,4,18.38725634,82
383,4,11.75076295,83
384,4,10.15331197,84
385,4,10.88833009,85
386,4,4.730533634,86
387,4,5.491332052,87
388,4,12.45624093,88
389,4,7.809700455,89
390,4,20.00541777,90
391,4,17.95857946,91
392,4,25.44713996,92
393,4,19.88201105,93
394,4,32.45055382,94
395,4,31.0808811,95
396,4,36.29253998,96
397,4,32.44248088,97
398,4,41.53671725,98
399,4,52.5987143,99
400,4,41.22965966,100
401,5,77.68945962,1
402,5,69.06461386,2
403,5,81.57302056,3
404,5,60.99560857,4
405,5,74.5063251,5
406,5,70.46284422,6
407,5,54.95578857,7
408,5,62.97505706,8
409,5,45.14297276,9
410,5,59.45279821,10
411,5,45.61456377,11
412,5,41.74168118,12
413,5,39.14585164,13
414,5,39.83530333,14
415,5,44.46997253,15
416,5,46.65326819,16
417,5,36.47645735,17
418,5,30.64178762,18
419,5,40.45970816,19
420,5,41.4189679,20
421,5,27.96800587,21
422,5,38.57690593,22
423,5,41.00080302,23
424,5,32.58637994,24
425,5,29.81968041,25
426,5,42.59712139,26
427,5,40.81626237,27
428,5,43.41971202,28
429,5,30.13949935,29
430,5,34.82641737,30
431,5,31.99798797,31
432,5,35.08017861,32
433,5,28.62763426,33
434,5,30.98246956,34
435,5,42.58880837,35
436,5,39.05168174,36
437,5,33.44618498,37
438,5,29.48698586,38
439,5,41.38996337,39
440,5,28.068048,40
441,5,38.15473379,41
442,5,41.68247079,42
443,5,30.61500849,43
444,5,26.93280683,44
445,5,42.32010114,45
446,5,25.71128763,46
447,5,39.66112476,47
448,5,31.24382938,48
449,5,38.56543386,49
450,5,36.28620505,50
451,5,31.77480787,51
452,5,23.12553114,52
453,5,22.88776662,53
454,5,22.28602307,54
455,5,34.37401432,55
456,5,29.86710859,56
457,5,21.31458468,57
458,5,34.19624269,58
459,5,20.12381998,59
460,5,23.00486565,60
461,5,26.66778258,61
462,5,26.00647392,62
463,5,23.42369567,63
464,5,25.95869407,64
465,5,13.64681625,65
466,5,10.71381635,66
467,5,28.87912435,67
468,5,27.68997832,68
469,5,25.91343048,69
470,5,15.621622,70
471,5,7.498056628,71
472,5,18.3324433,72
473,5,23.98266994,73
474,5,8.632278717,74
475,5,20.96238507,75
476,5,9.027011933,76
477,5,13.59749284,77
478,5,11.14972462,78
479,5,7.276530122,79
480,5,17.19855301,80
481,5,4.420182961,81
482,5,6.709150202,82
483,5,11.24930884,83
484,5,7.206781137,84
485,5,21.00312539,85
486,5,19.65087914,86
487,5,14.05821586,87
488,5,11.42825677,88
489,5,10.75737209,89
490,5,24.58152007,90
491,5,26.29353339,91
492,5,14.06972524,92
493,5,31.96546447,93
494,5,17.39393066,94
495,5,31.04750641,95
496,5,29.13471732,96
497,5,41.0079933,97
498,5,34.05361475,98
499,5,48.13060742,99
500,5,39.27719667,100
501,6,83.47636383,1
502,6,88.0193127,2
503,6,66.88041482,3
504,6,60.2670021,4
505,6,67.58406193,5
506,6,63.73293349,6
507,6,57.51867785,7
508,6,58.55589312,8
509,6,59.08054283,9
510,6,51.03934048,10
511,6,39.80466217,11
512,6,53.68616903,12
513,6,42.26740739,13
514,6,45.02880656,14
515,6,43.59704219,15
516,6,38.13869055,16
517,6,30.57585037,17
518,6,36.57981175,18
519,6,36.72501913,19
520,6,34.85504561,20
521,6,45.06868336,21
522,6,36.89414144,22
523,6,32.9168098,23
524,6,36.72448616,24
525,6,34.13027607,25
526,6,41.06492018,26
527,6,41.27428958,27
528,6,34.59812248,28
529,6,24.17242078,29
530,6,40.24388541,30
531,6,42.02916066,31
532,6,36.10275116,32
533,6,41.53647136,33
534,6,33.54906271,34
535,6,24.25242972,35
536,6,27.03729657,36
537,6,36.81651258,37
538,6,33.85354643,38
539,6,25.81524095,39
540,6,27.91486602,40
541,6,27.86241388,41
542,6,42.78024439,42
543,6,26.263146,43
544,6,41.40894656,44
545,6,34.62267085,45
546,6,41.94487556,46
547,6,24.1561662,47
548,6,24.180673,48
549,6,36.61819803,49
550,6,26.92584583,50
551,6,30.82171597,51
552,6,36.29322183,52
553,6,39.46467548,53
554,6,32.61452699,54
555,6,31.10240042,55
556,6,25.91512927,56
557,6,36.40552374,57
558,6,28.22426567,58
559,6,23.35022805,59
560,6,16.66022413,60
561,6,15.91315022,61
562,6,26.89737008,62
563,6,18.27177466,63
564,6,22.7331623,64
565,6,22.63235183,65
566,6,26.32819061,66
567,6,17.26057415,67
568,6,14.77572407,68
569,6,18.24468012,69
570,6,15.50533705,70
571,6,13.08237408,71
572,6,14.5587704,72
573,6,12.8136068,73
574,6,16.45380868,74
575,6,6.42125807,75
576,6,14.18348479,76
577,6,13.94957053,77
578,6,8.599774152,78
579,6,2.593311899,79
580,6,4.745214696,80
581,6,6.352187606,81
582,6,2.67238724,82
583,6,12.41982938,83
584,6,14.25464167,84
585,6,22.77307251,85
586,6,16.70223149,86
587,6,16.54911429,87
588,6,25.03869018,88
589,6,22.2028814,89
590,6,28.24911632,90
591,6,25.15954447,91
592,6,23.95953257,92
593,6,22.10246055,93
594,6,24.86991133,94
595,6,31.37085279,95
596,6,33.8574851,96
597,6,40.3121426,97
598,6,43.91841251,98
599,6,51.6552262,99
600,6,43.56261211,100
601,7,79.42791854,1
602,7,82.37694488,2
603,7,66.66453391,3
604,7,73.84039428,4
605,7,73.56829362,5
606,7,60.45861634,6
607,7,62.01209749,7
608,7,61.5934514,8
609,7,48.26081909,9
610,7,49.36269221,10
611,7,55.62368795,11
612,7,56.12346355,12
613,7,48.89356868,13
614,7,41.88186948,14
615,7,48.40779609,15
616,7,45.81819002,16
617,7,36.62447314,17
618,7,41.37845226,18
619,7,37.27161753,19
620,7,42.3777673,20
621,7,31.48336735,21
622,7,26.85763394,22
623,7,28.75055225,23
624,7,30.31402746,24
625,7,37.49675136,25
626,7,25.25268302,26
627,7,29.09137468,27
628,7,28.70025313,28
629,7,29.07272808,29
630,7,42.14237906,30
631,7,25.23818826,31
632,7,33.89777418,32
633,7,29.76336238,33
634,7,39.75177026,34
635,7,34.5094892,35
636,7,33.5636094,36
637,7,42.70983199,37
638,7,27.72542443,38
639,7,42.56136035,39
640,7,36.05957887,40
641,7,36.89919264,41
642,7,27.19943259,42
643,7,27.78058142,43
644,7,41.60630517,44
645,7,24.37348762,45
646,7,27.83843635,46
647,7,33.75918828,47
648,7,30.09798842,48
649,7,41.11288706,49
650,7,35.83948261,50
651,7,38.06666615,51
652,7,27.9116248,52
653,7,37.50084185,53
654,7,30.36336023,54
655,7,25.99356165,55
656,7,24.41576898,56
657,7,17.45271436,57
658,7,22.09292211,58
659,7,22.45926641,59
660,7,18.918997,60
661,7,27.09009222,61
662,7,25.792458,62
663,7,27.92564942,63
664,7,18.66864163,64
665,7,18.87218538,65
666,7,16.53049728,66
667,7,28.19375877,67
668,7,25.59896958,68
669,7,12.02382961,69
670,7,16.08499101,70
671,7,20.13917197,71
672,7,14.62381651,72
673,7,23.49683661,73
674,7,21.11445419,74
675,7,9.133876017,75
676,7,12.73083877,76
677,7,17.84007504,77
678,7,3.17242423,78
679,7,13.75627868,79
680,7,3.67177018,80
681,7,13.11340322,81
682,7,9.653155752,82
683,7,3.093327573,83
684,7,3.672395301,84
685,7,20.05412671,85
686,7,16.46312747,86
687,7,17.40527023,87
688,7,19.04250667,88
689,7,17.06915445,89
690,7,22.07246371,90
691,7,22.63666741,91
692,7,31.24902929,92
693,7,26.69885483,93
694,7,27.86654055,94
695,7,29.00879947,95
696,7,34.721613,96
697,7,31.12557289,97
698,7,33.23426216,98
699,7,37.9141571,99
700,7,51.06307663,100
701,8,83.70787303,1
702,8,87.34926156,2
703,8,84.29881902,3
704,8,65.96067699,4
705,8,58.19962665,5
706,8,64.0276572,6
707,8,52.75826094,7
708,8,60.77363473,8
709,8,47.90458042,9
710,8,58.701762,10
711,8,51.66820468,11
712,8,52.06386801,12
713,8,43.67849014,13
714,8,45.64615558,14
715,8,35.45925641,15
716,8,38.35351601,16
717,8,30.51682121,17
