id,system_id,dependent_variable,independent_variable_1
1,1,0.096376659,10
2,1,0.209658539,20
3,1,0.444090366,30
4,1,0.702199176,40
5,1,0.921483715,50
6,1,0.736632555,60
7,1,0.404556818,70
8,1,0.061195046,80
9,1,0.007074561,90
10,1,0.089698465,100
11,2,0,10
12,2,0.175865711,20
13,2,0.440583396,30
14,2,0.760730171,40
15,2,0.946749616,50
16,2,0.726948888,60
17,2,0.395522031,70
18,2,0.153190375,80
19,2,0,90
20,2,0.033483435,100
21,3,0.020754946,10
22,3,0.057167668,20
23,3,0.487477442,30
24,3,0.710866025,40
25,3,0.96584338,50
26,3,0.735899664,60
27,3,0.35017864,70
28,3,0.078682211,80
29,3,0.040199474,90
30,3,0.039547813,100
31,4,0.06778437,10
32,4,0.129793423,20
33,4,0.377978517,30
34,4,0.811094526,40
35,4,0.969286378,50
36,4,0.836548835,60
37,4,0.348210556,70
38,4,0.156926372,80
39,4,0,90
40,4,0,100
41,5,0.036678364,10
42,5,0.072385632,20
43,5,0.487800419,30
44,5,0.893336732,40
45,5,1,50
46,5,0.825155654,60
47,5,0.396354943,70
48,5,0.049962885,80
49,5,0,90
50,5,0.02877223,100
51,6,0,10
52,6,0.113917291,20
53,6,0.503298991,30
54,6,0.839188563,40
55,6,0.915306595,50
56,6,0.786140518,60
57,6,0.499259455,70
58,6,0.118277576,80
59,6,0.091743431,90
60,6,0.055699218,100
61,7,0.118922209,10
62,7,0.120937597,20
63,7,0.47707375,30
64,7,0.86235349,40
65,7,1,50
66,7,0.725444157,60
67,7,0.359812303,70
68,7,0.129058762,80
69,7,0,90
70,7,0.04372018,100
71,8,0,10
72,8,0.219970081,20
73,8,0.311360167,30
74,8,0.804543996,40
75,8,0.975008395,50
76,8,0.728614262,60
77,8,0.330229273,70
78,8,0.08545944,80
79,8,0.077531921,90
80,8,0,100
81,9,0.123160503,10
82,9,0.220018899,20
83,9,0.425052274,30
84,9,0.869016306,40
85,9,1,50
86,9,0.80400121,60
87,9,0.378668397,70
88,9,0.05326287,80
89,9,0,90
90,9,0.035204901,100
91,10,0,10
92,10,0.130114462,20
93,10,0.378287771,30
94,10,0.842513123,40
95,10,0.903588289,50
96,10,0.742809618,60
97,10,0.428086495,70
98,10,0.101695929,80
99,10,0.12103598,90
100,10,0,100
