id,system_id,dependent_variable,independent_variable_1
1,1,0.001345021,10
2,1,0.006964089,20
3,1,0.035229719,30
4,1,0.159761997,40
5,1,0.497500021,50
6,1,0.837534937,60
7,1,0.964084154,70
8,1,0.992896226,80
9,1,0.998627845,90
10,1,0.999736185,100
11,2,0.001345021,10
12,2,0.006964089,20
13,2,0.035229719,30
14,2,0.159761997,40
15,2,0.497500021,50
16,2,0.837534937,60
17,2,0.964084154,70
18,2,0.992896226,80
19,2,0.998627845,90
20,2,0.999736185,100
21,3,0.001345021,10
22,3,0.006964089,20
23,3,0.035229719,30
24,3,0.159761997,40
25,3,0.497500021,50
26,3,0.837534937,60
27,3,0.964084154,70
28,3,0.992896226,80
29,3,0.998627845,90
30,3,0.999736185,100
31,4,0.001345021,10
32,4,0.006964089,20
33,4,0.035229719,30
34,4,0.159761997,40
35,4,0.497500021,50
36,4,0.837534937,60
37,4,0.964084154,70
38,4,0.992896226,80
39,4,0.998627845,90
40,4,0.999736185,100
41,5,0.001345021,10
42,5,0.006964089,20
43,5,0.035229719,30
44,5,0.159761997,40
45,5,0.497500021,50
46,5,0.837534937,60
47,5,0.964084154,70
48,5,0.992896226,80
49,5,0.998627845,90
50,5,0.999736185,100
51,6,0.001345021,10
52,6,0.006964089,20
53,6,0.035229719,30
54,6,0.159761997,40
55,6,0.497500021,50
56,6,0.837534937,60
57,6,0.964084154,70
58,6,0.992896226,80
59,6,0.998627845,90
60,6,0.999736185,100
61,7,0.001345021,10
62,7,0.006964089,20
63,7,0.035229719,30
64,7,0.159761997,40
65,7,0.497500021,50
66,7,0.837534937,60
67,7,0.964084154,70
68,7,0.992896226,80
69,7,0.998627845,90
70,7,0.999736185,100
71,8,0.001345021,10
72,8,0.006964089,20
73,8,0.035229719,30
74,8,0.159761997,40
75,8,0.497500021,50
76,8,0.837534937,60
77,8,0.964084154,70
78,8,0.992896226,80
79,8,0.998627845,90
80,8,0.999736185,100
81,9,0.001345021,10
82,9,0.006964089,20
83,9,0.035229719,30
84,9,0.159761997,40
85,9,0.497500021,50
86,9,0.837534937,60
87,9,0.964084154,70
88,9,0.992896226,80
89,9,0.998627845,90
90,9,0.999736185,100
91,10,0.001345021,10
92,10,0.006964089,20
93,10,0.035229719,30
94,10,0.159761997,40
95,10,0.497500021,50
96,10,0.837534937,60
97,10,0.964084154,70
98,10,0.992896226,80
99,10,0.998627845,90
100,10,0.999736185,100
