id;system_id;dependent_variable;independent_variable_1
1;1;0.0013450206323826594;10.0
2;1;0.0069640891777620955;20.0
3;1;0.0352297192059215;30.0
4;1;0.15976199694366916;40.0
5;1;0.49750002083312506;50.0
6;1;0.8375349374193041;60.0
7;1;0.9640841541172384;70.0
8;1;0.9928962262756114;80.0
9;1;0.998627845431592;90.0
10;1;0.9997361853670718;100.0
11;2;0.0013450206323826594;10.0
12;2;0.0069640891777620955;20.0
13;2;0.0352297192059215;30.0
14;2;0.15976199694366916;40.0
15;2;0.49750002083312506;50.0
16;2;0.8375349374193041;60.0
17;2;0.9640841541172384;70.0
18;2;0.9928962262756114;80.0
19;2;0.998627845431592;90.0
20;2;0.9997361853670718;100.0
21;3;0.0013450206323826594;10.0
22;3;0.0069640891777620955;20.0
23;3;0.0352297192059215;30.0
24;3;0.15976199694366916;40.0
25;3;0.49750002083312506;50.0
26;3;0.8375349374193041;60.0
27;3;0.9640841541172384;70.0
28;3;0.9928962262756114;80.0
29;3;0.998627845431592;90.0
30;3;0.9997361853670718;100.0
31;4;0.0013450206323826594;10.0
32;4;0.0069640891777620955;20.0
33;4;0.0352297192059215;30.0
34;4;0.15976199694366916;40.0
35;4;0.49750002083312506;50.0
36;4;0.8375349374193041;60.0
37;4;0.9640841541172384;70.0
38;4;0.9928962262756114;80.0
39;4;0.998627845431592;90.0
40;4;0.9997361853670718;100.0
41;5;0.0013450206323826594;10.0
42;5;0.0069640891777620955;20.0
43;5;0.0352297192059215;30.0
44;5;0.15976199694366916;40.0
45;5;0.49750002083312506;50.0
46;5;0.8375349374193041;60.0
47;5;0.9640841541172384;70.0
48;5;0.9928962262756114;80.0
49;5;0.998627845431592;90.0
50;5;0.9997361853670718;100.0
51;6;0.0013450206323826594;10.0
52;6;0.0069640891777620955;20.0
53;6;0.0352297192059215;30.0
54;6;0.15976199694366916;40.0
55;6;0.49750002083312506;50.0
56;6;0.8375349374193041;60.0
57;6;0.9640841541172384;70.0
58;6;0.9928962262756114;80.0
59;6;0.998627845431592;90.0
60;6;0.9997361853670718;100.0
61;7;0.0013450206323826594;10.0
62;7;0.0069640891777620955;20.0
63;7;0.0352297192059215;30.0
64;7;0.15976199694366916;40.0
65;7;0.49750002083312506;50.0
66;7;0.8375349374193041;60.0
67;7;0.9640841541172384;70.0
68;7;0.9928962262756114;80.0
69;7;0.998627845431592;90.0
70;7;0.9997361853670718;100.0
71;8;0.0013450206323826594;10.0
72;8;0.0069640891777620955;20.0
73;8;0.0352297192059215;30.0
74;8;0.15976199694366916;40.0
75;8;0.49750002083312506;50.0
76;8;0.8375349374193041;60.0
77;8;0.9640841541172384;70.0
78;8;0.9928962262756114;80.0
79;8;0.998627845431592;90.0
80;8;0.9997361853670718;100.0
81;9;0.0013450206323826594;10.0
82;9;0.0069640891777620955;20.0
83;9;0.0352297192059215;30.0
84;9;0.15976199694366916;40.0
85;9;0.49750002083312506;50.0
86;9;0.8375349374193041;60.0
87;9;0.9640841541172384;70.0
88;9;0.9928962262756114;80.0
89;9;0.998627845431592;90.0
90;9;0.9997361853670718;100.0
91;10;0.0013450206323826594;10.0
92;10;0.0069640891777620955;20.0
93;10;0.0352297192059215;30.0
94;10;0.15976199694366916;40.0
95;10;0.49750002083312506;50.0
96;10;0.8375349374193041;60.0
97;10;0.9640841541172384;70.0
98;10;0.9928962262756114;80.0
99;10;0.998627845431592;90.0
100;10;0.9997361853670718;100.0
