id,system_id,dependent_variable,independent_variable_1
1,1,0.000262893,0.1
2,1,0.000267266,0.2
3,1,0.000271711,0.3
4,1,0.00027623,0.4
5,1,0.000280824,0.5
6,1,0.000285495,0.6
7,1,0.000290244,0.7
8,1,0.000295071,0.8
9,1,0.000299978,0.9
10,1,0.000304968,1
11,1,0.00031004,1.1
12,1,0.000315196,1.2
13,1,0.000320438,1.3
14,1,0.000325768,1.4
15,1,0.000331186,1.5
16,1,0.000336694,1.6
17,1,0.000342293,1.7
18,1,0.000347986,1.8
19,1,0.000353773,1.9
20,1,0.000359657,2
21,1,0.000365638,2.1
22,1,0.000371719,2.2
23,1,0.000377901,2.3
24,1,0.000384186,2.4
25,1,0.000390575,2.5
26,1,0.00039707,2.6
27,1,0.000403674,2.7
28,1,0.000410387,2.8
29,1,0.000417211,2.9
30,1,0.00042415,3
31,1,0.000431203,3.1
32,1,0.000438374,3.2
33,1,0.000445664,3.3
34,1,0.000453075,3.4
35,1,0.000460609,3.5
36,1,0.000468269,3.6
37,1,0.000476055,3.7
38,1,0.000483972,3.8
39,1,0.00049202,3.9
40,1,0.000500201,4
41,1,0.000508519,4.1
42,1,0.000516974,4.2
43,1,0.000525571,4.3
44,1,0.00053431,4.4
45,1,0.000543194,4.5
46,1,0.000552226,4.6
47,1,0.000561409,4.7
48,1,0.000570743,4.8
49,1,0.000580233,4.9
50,1,0.000589881,5
51,1,0.000599689,5.1
52,1,0.00060966,5.2
53,1,0.000619796,5.3
54,1,0.000630101,5.4
55,1,0.000640577,5.5
56,1,0.000651228,5.6
57,1,0.000662055,5.7
58,1,0.000673062,5.8
59,1,0.000684252,5.9
60,1,0.000695628,6
61,1,0.000707193,6.1
62,1,0.00071895,6.2
63,1,0.000730902,6.3
64,1,0.000743053,6.4
65,1,0.000755406,6.5
66,1,0.000767964,6.6
67,1,0.00078073,6.7
68,1,0.000793709,6.8
69,1,0.000806903,6.9
70,1,0.000820316,7
71,1,0.000833952,7.1
72,1,0.000847815,7.2
73,1,0.000861908,7.3
74,1,0.000876235,7.4
75,1,0.000890799,7.5
76,1,0.000905606,7.6
77,1,0.000920659,7.7
78,1,0.000935961,7.8
79,1,0.000951518,7.9
80,1,0.000967333,8
81,1,0.000983411,8.1
82,1,0.000999755,8.2
83,1,0.001016371,8.3
84,1,0.001033263,8.4
85,1,0.001050435,8.5
86,1,0.001067892,8.6
87,1,0.001085639,8.7
88,1,0.001103681,8.8
89,1,0.001122022,8.9
90,1,0.001140668,9
91,1,0.001159623,9.1
92,1,0.001178893,9.2
93,1,0.001198482,9.3
94,1,0.001218397,9.4
95,1,0.001238642,9.5
96,1,0.001259224,9.6
97,1,0.001280146,9.7
98,1,0.001301416,9.8
99,1,0.001323039,9.9
100,1,0.001345021,10
101,1,0.001367367,10.1
102,1,0.001390084,10.2
103,1,0.001413178,10.3
104,1,0.001436655,10.4
105,1,0.001460522,10.5
106,1,0.001484784,10.6
107,1,0.001509449,10.7
108,1,0.001534523,10.8
109,1,0.001560013,10.9
110,1,0.001585925,11
111,1,0.001612268,11.1
112,1,0.001639047,11.2
113,1,0.00166627,11.3
114,1,0.001693945,11.4
115,1,0.001722078,11.5
116,1,0.001750678,11.6
117,1,0.001779752,11.7
118,1,0.001809308,11.8
119,1,0.001839354,11.9
120,1,0.001869898,12
121,1,0.001900948,12.1
122,1,0.001932512,12.2
123,1,0.0019646,12.3
124,1,0.00199722,12.4
125,1,0.00203038,12.5
126,1,0.002064089,12.6
127,1,0.002098357,12.7
128,1,0.002133193,12.8
129,1,0.002168605,12.9
130,1,0.002204605,13
131,1,0.0022412,13.1
132,1,0.002278402,13.2
133,1,0.00231622,13.3
134,1,0.002354664,13.4
135,1,0.002393744,13.5
136,1,0.002433472,13.6
137,1,0.002473857,13.7
138,1,0.00251491,13.8
139,1,0.002556644,13.9
140,1,0.002599068,14
141,1,0.002642194,14.1
142,1,0.002686034,14.2
143,1,0.002730599,14.3
144,1,0.002775901,14.4
145,1,0.002821953,14.5
146,1,0.002868767,14.6
147,1,0.002916355,14.7
148,1,0.002964731,14.8
149,1,0.003013906,14.9
150,1,0.003063894,15
151,1,0.003114709,15.1
152,1,0.003166364,15.2
153,1,0.003218873,15.3
154,1,0.003272249,15.4
155,1,0.003326508,15.5
156,1,0.003381664,15.6
157,1,0.003437731,15.7
158,1,0.003494724,15.8
159,1,0.003552659,15.9
160,1,0.003611551,16
161,1,0.003671415,16.1
162,1,0.003732268,16.2
163,1,0.003794125,16.3
164,1,0.003857004,16.4
165,1,0.003920921,16.5
166,1,0.003985893,16.6
167,1,0.004051937,16.7
168,1,0.004119071,16.8
169,1,0.004187313,16.9
170,1,0.00425668,17
171,1,0.004327191,17.1
172,1,0.004398866,17.2
173,1,0.004471722,17.3
174,1,0.004545779,17.4
175,1,0.004621057,17.5
176,1,0.004697576,17.6
177,1,0.004775356,17.7
178,1,0.004854417,17.8
179,1,0.004934781,17.9
180,1,0.005016468,18
181,1,0.005099501,18.1
182,1,0.005183901,18.2
183,1,0.005269691,18.3
184,1,0.005356892,18.4
185,1,0.005445529,18.5
186,1,0.005535624,18.6
187,1,0.005627201,18.7
188,1,0.005720285,18.8
189,1,0.005814899,18.9
190,1,0.005911069,19
191,1,0.00600882,19.1
192,1,0.006108177,19.2
193,1,0.006209167,19.3
194,1,0.006311816,19.4
195,1,0.006416151,19.5
196,1,0.0065222,19.6
197,1,0.006629989,19.7
198,1,0.006739548,19.8
199,1,0.006850905,19.9
200,1,0.006964089,20
201,1,0.00707913,20.1
202,1,0.007196057,20.2
203,1,0.007314901,20.3
204,1,0.007435693,20.4
205,1,0.007558465,20.5
206,1,0.007683248,20.6
207,1,0.007810075,20.7
208,1,0.007938979,20.8
209,1,0.008069992,20.9
210,1,0.008203151,21
211,1,0.008338487,21.1
212,1,0.008476038,21.2
213,1,0.008615838,21.3
214,1,0.008757923,21.4
215,1,0.00890233,21.5
216,1,0.009049097,21.6
217,1,0.009198261,21.7
