id,system_id,dependent_variable,independent_variable_1,independent_variable_2
1,1,18,10,10
2,1,22,10,20
3,1,26,10,30
4,1,30,10,40
5,1,34,10,50
6,1,38,10,60
7,1,42,10,70
8,1,46,10,80
9,1,50,10,90
10,1,54,10,100
11,1,22,20,10
12,1,26,20,20
13,1,30,20,30
14,1,34,20,40
15,1,38,20,50
16,1,42,20,60
17,1,46,20,70
18,1,50,20,80
19,1,54,20,90
20,1,58,20,100
21,1,26,30,10
22,1,30,30,20
23,1,34,30,30
24,1,38,30,40
25,1,42,30,50
26,1,46,30,60
27,1,50,30,70
28,1,54,30,80
29,1,58,30,90
30,1,62,30,100
31,1,30,40,10
32,1,34,40,20
33,1,38,40,30
34,1,42,40,40
35,1,46,40,50
36,1,50,40,60
37,1,54,40,70
38,1,58,40,80
39,1,62,40,90
40,1,66,40,100
41,1,34,50,10
42,1,38,50,20
43,1,42,50,30
44,1,46,50,40
45,1,50,50,50
46,1,54,50,60
47,1,58,50,70
48,1,62,50,80
49,1,66,50,90
50,1,70,50,100
51,1,38,60,10
52,1,42,60,20
53,1,46,60,30
54,1,50,60,40
55,1,54,60,50
56,1,58,60,60
57,1,62,60,70
58,1,66,60,80
59,1,70,60,90
60,1,74,60,100
61,1,42,70,10
62,1,46,70,20
63,1,50,70,30
64,1,54,70,40
65,1,58,70,50
66,1,62,70,60
67,1,66,70,70
68,1,70,70,80
69,1,74,70,90
70,1,78,70,100
71,1,46,80,10
72,1,50,80,20
73,1,54,80,30
74,1,58,80,40
75,1,62,80,50
76,1,66,80,60
77,1,70,80,70
78,1,74,80,80
79,1,78,80,90
80,1,82,80,100
81,1,50,90,10
82,1,54,90,20
83,1,58,90,30
84,1,62,90,40
85,1,66,90,50
86,1,70,90,60
87,1,74,90,70
88,1,78,90,80
89,1,82,90,90
90,1,86,90,100
91,1,54,100,10
92,1,58,100,20
93,1,62,100,30
94,1,66,100,40
95,1,70,100,50
96,1,74,100,60
97,1,78,100,70
98,1,82,100,80
99,1,86,100,90
100,1,90,100,100
