id;system_id;dependent_variable;independent_variable_1;independent_variable_2
1;1;18.0;10.0;10.0
2;1;22.0;10.0;20.0
3;1;26.0;10.0;30.0
4;1;30.0;10.0;40.0
5;1;34.0;10.0;50.0
6;1;38.0;10.0;60.0
7;1;42.0;10.0;70.0
8;1;46.0;10.0;80.0
9;1;50.0;10.0;90.0
10;1;54.0;10.0;100.0
11;1;22.0;20.0;10.0
12;1;26.0;20.0;20.0
13;1;30.0;20.0;30.0
14;1;34.0;20.0;40.0
15;1;38.0;20.0;50.0
16;1;42.0;20.0;60.0
17;1;46.0;20.0;70.0
18;1;50.0;20.0;80.0
19;1;54.0;20.0;90.0
20;1;58.0;20.0;100.0
21;1;26.0;30.0;10.0
22;1;30.0;30.0;20.0
23;1;34.0;30.0;30.0
24;1;38.0;30.0;40.0
25;1;42.0;30.0;50.0
26;1;46.0;30.0;60.0
27;1;50.0;30.0;70.0
28;1;54.0;30.0;80.0
29;1;58.0;30.0;90.0
30;1;62.0;30.0;100.0
31;1;30.0;40.0;10.0
32;1;34.0;40.0;20.0
33;1;38.0;40.0;30.0
34;1;42.0;40.0;40.0
35;1;46.0;40.0;50.0
36;1;50.0;40.0;60.0
37;1;54.0;40.0;70.0
38;1;58.0;40.0;80.0
39;1;62.0;40.0;90.0
40;1;66.0;40.0;100.0
41;1;34.0;50.0;10.0
42;1;38.0;50.0;20.0
43;1;42.0;50.0;30.0
44;1;46.0;50.0;40.0
45;1;50.0;50.0;50.0
46;1;54.0;50.0;60.0
47;1;58.0;50.0;70.0
48;1;62.0;50.0;80.0
49;1;66.0;50.0;90.0
50;1;70.0;50.0;100.0
51;1;38.0;60.0;10.0
52;1;42.0;60.0;20.0
53;1;46.0;60.0;30.0
54;1;50.0;60.0;40.0
55;1;54.0;60.0;50.0
56;1;58.0;60.0;60.0
57;1;62.0;60.0;70.0
58;1;66.0;60.0;80.0
59;1;70.0;60.0;90.0
60;1;74.0;60.0;100.0
61;1;42.0;70.0;10.0
62;1;46.0;70.0;20.0
63;1;50.0;70.0;30.0
64;1;54.0;70.0;40.0
65;1;58.0;70.0;50.0
66;1;62.0;70.0;60.0
67;1;66.0;70.0;70.0
68;1;70.0;70.0;80.0
69;1;74.0;70.0;90.0
70;1;78.0;70.0;100.0
71;1;46.0;80.0;10.0
72;1;50.0;80.0;20.0
73;1;54.0;80.0;30.0
74;1;58.0;80.0;40.0
75;1;62.0;80.0;50.0
76;1;66.0;80.0;60.0
77;1;70.0;80.0;70.0
78;1;74.0;80.0;80.0
79;1;78.0;80.0;90.0
80;1;82.0;80.0;100.0
81;1;50.0;90.0;10.0
82;1;54.0;90.0;20.0
83;1;58.0;90.0;30.0
84;1;62.0;90.0;40.0
85;1;66.0;90.0;50.0
86;1;70.0;90.0;60.0
87;1;74.0;90.0;70.0
88;1;78.0;90.0;80.0
89;1;82.0;90.0;90.0
90;1;86.0;90.0;100.0
91;1;54.0;100.0;10.0
92;1;58.0;100.0;20.0
93;1;62.0;100.0;30.0
94;1;66.0;100.0;40.0
95;1;70.0;100.0;50.0
96;1;74.0;100.0;60.0
97;1;78.0;100.0;70.0
98;1;82.0;100.0;80.0
99;1;86.0;100.0;90.0
100;1;90.0;100.0;100.0
