id;system_id;dependent_variable;independent_variable_1;independent_variable_2
1;1;15.818412955310757;1.0;1.0
2;1;15.93226724440939;1.0;2.0
3;1;2.7788446056749763;1.0;3.0
4;1;16.140965932378837;1.0;4.0
5;1;11.425158739536446;1.0;5.0
6;1;5.586214952020274;1.0;6.0
7;1;13.561040362331669;1.0;7.0
8;1;6.3135199734658265;1.0;8.0
9;1;19.015051972467713;1.0;9.0
10;1;13.28093023197147;1.0;10.0
11;1;5.413874220070628;1.0;11.0
12;1;10.873654882146777;1.0;12.0
13;1;18.988877589970503;1.0;13.0
14;1;18.073679491697032;1.0;14.0
15;1;13.258144346656472;1.0;15.0
16;1;19.460921416281927;1.0;16.0
17;1;21.565592056705775;1.0;17.0
18;1;19.73777576542905;1.0;18.0
19;1;21.464042925638974;1.0;19.0
20;1;23.88601320053796;1.0;20.0
21;1;16.45829249034326;1.0;21.0
22;1;28.975331100072932;1.0;22.0
23;1;23.963406479940474;1.0;23.0
24;1;16.79627281443554;1.0;24.0
25;1;21.528591756942905;1.0;25.0
26;1;23.420160782147704;1.0;26.0
27;1;24.99555781864226;1.0;27.0
28;1;18.936408833060895;1.0;28.0
29;1;22.701836648072877;1.0;29.0
30;1;30.590656282826007;1.0;30.0
31;1;19.37669023414808;1.0;31.0
32;1;14.784679402304937;1.0;32.0
33;1;28.423303630694186;1.0;33.0
34;1;17.655743737454376;1.0;34.0
35;1;19.326416323245084;1.0;35.0
36;1;23.330476089302604;1.0;36.0
37;1;30.389833544758645;1.0;37.0
38;1;16.994730296913335;1.0;38.0
39;1;29.843333794484444;1.0;39.0
40;1;25.739055718072393;1.0;40.0
41;1;20.853704133091817;1.0;41.0
42;1;19.833739996714492;1.0;42.0
43;1;18.602324381127474;1.0;43.0
44;1;22.407920443167725;1.0;44.0
45;1;18.858218647166627;1.0;45.0
46;1;28.370777387050303;1.0;46.0
47;1;25.128638266538378;1.0;47.0
48;1;28.806270177248333;1.0;48.0
49;1;35.80666584025552;1.0;49.0
50;1;24.81499429927694;1.0;50.0
51;1;36.763455498527435;1.0;51.0
52;1;23.437318005550956;1.0;52.0
53;1;22.515516360966238;1.0;53.0
54;1;29.370604089774943;1.0;54.0
55;1;41.371771825756475;1.0;55.0
56;1;37.77855170851462;1.0;56.0
57;1;35.49061239747592;1.0;57.0
58;1;30.01635354910295;1.0;58.0
59;1;37.97069452925287;1.0;59.0
60;1;28.400457762273753;1.0;60.0
61;1;28.601479688968258;1.0;61.0
62;1;35.17101793258398;1.0;62.0
63;1;42.621210727626575;1.0;63.0
64;1;41.3351718746295;1.0;64.0
