id,system_id,dependent_variable,independent_variable_1,independent_variable_2
1,1,79.1488,1,1
2,1,77.9072,1,2
3,1,76.6912,1,3
4,1,75.5008,1,4
5,1,74.336,1,5
6,1,73.1968,1,6
7,1,72.0832,1,7
8,1,70.9952,1,8
9,1,69.9328,1,9
10,1,68.896,1,10
11,1,67.8848,1,11
12,1,66.8992,1,12
13,1,65.9392,1,13
14,1,65.0048,1,14
15,1,64.096,1,15
16,1,63.2128,1,16
17,1,62.3552,1,17
18,1,61.5232,1,18
19,1,60.7168,1,19
20,1,59.936,1,20
21,1,59.1808,1,21
22,1,58.4512,1,22
23,1,57.7472,1,23
24,1,57.0688,1,24
25,1,56.416,1,25
26,1,55.7888,1,26
27,1,55.1872,1,27
28,1,54.6112,1,28
29,1,54.0608,1,29
30,1,53.536,1,30
31,1,53.0368,1,31
32,1,52.5632,1,32
33,1,52.1152,1,33
34,1,51.6928,1,34
35,1,51.296,1,35
36,1,50.9248,1,36
37,1,50.5792,1,37
38,1,50.2592,1,38
39,1,49.9648,1,39
40,1,49.696,1,40
41,1,49.4528,1,41
42,1,49.2352,1,42
43,1,49.0432,1,43
44,1,48.8768,1,44
45,1,48.736,1,45
46,1,48.6208,1,46
47,1,48.5312,1,47
48,1,48.4672,1,48
49,1,48.4288,1,49
50,1,48.416,1,50
51,1,48.4288,1,51
52,1,48.4672,1,52
53,1,48.5312,1,53
54,1,48.6208,1,54
55,1,48.736,1,55
56,1,48.8768,1,56
57,1,49.0432,1,57
58,1,49.2352,1,58
59,1,49.4528,1,59
60,1,49.696,1,60
61,1,49.9648,1,61
62,1,50.2592,1,62
63,1,50.5792,1,63
64,1,50.9248,1,64
65,1,51.296,1,65
66,1,51.6928,1,66
67,1,52.1152,1,67
68,1,52.5632,1,68
69,1,53.0368,1,69
70,1,53.536,1,70
71,1,54.0608,1,71
72,1,54.6112,1,72
73,1,55.1872,1,73
74,1,55.7888,1,74
75,1,56.416,1,75
76,1,57.0688,1,76
77,1,57.7472,1,77
78,1,58.4512,1,78
79,1,59.1808,1,79
80,1,59.936,1,80
81,1,60.7168,1,81
82,1,61.5232,1,82
83,1,62.3552,1,83
84,1,63.2128,1,84
85,1,64.096,1,85
86,1,65.0048,1,86
