id,system_id,dependent_variable,independent_variable_1,independent_variable_2
1,1,82.17825269,1,1
2,1,77.5613763,1,2
3,1,71.23649282,1,3
4,1,77.02708055,1,4
5,1,74.73926814,1,5
6,1,77.89723849,1,6
7,1,71.13982826,1,7
8,1,66.37445637,1,8
9,1,73.33564325,1,9
10,1,72.1207179,1,10
11,1,62.50150316,1,11
12,1,74.63506616,1,12
13,1,68.8065616,1,13
14,1,69.67549154,1,14
15,1,60.76198437,1,15
16,1,72.42269545,1,16
17,1,60.19834257,1,17
18,1,60.15523354,1,18
19,1,70.18015856,1,19
20,1,51.38667969,1,20
21,1,56.97192321,1,21
22,1,48.50607049,1,22
23,1,66.93485525,1,23
24,1,62.41855297,1,24
25,1,59.8237916,1,25
26,1,58.75262015,1,26
27,1,62.37570905,1,27
28,1,58.39772122,1,28
29,1,45.1854769,1,29
30,1,61.97147548,1,30
31,1,46.26914728,1,31
32,1,44.20794033,1,32
33,1,43.04758876,1,33
34,1,57.00855294,1,34
35,1,56.22828727,1,35
36,1,47.0614858,1,36
37,1,58.62480264,1,37
38,1,51.14669416,1,38
39,1,52.16996081,1,39
40,1,54.9629981,1,40
41,1,50.30929061,1,41
42,1,42.87084035,1,42
43,1,40.17927226,1,43
44,1,40.01097047,1,44
45,1,40.46740116,1,45
46,1,41.67564982,1,46
47,1,44.15734459,1,47
48,1,50.25544847,1,48
49,1,50.47990699,1,49
50,1,42.75953722,1,50
51,1,40.09339857,1,51
52,1,39.15859794,1,52
53,1,39.24804728,1,53
54,1,42.27141311,1,54
55,1,57.6424374,1,55
56,1,57.00088112,1,56
57,1,46.9130915,1,57
58,1,43.79192098,1,58
59,1,46.33295201,1,59
60,1,57.45226908,1,60
61,1,57.48721322,1,61
62,1,46.39186343,1,62
63,1,41.13328656,1,63
64,1,41.65002831,1,64
65,1,43.45797404,1,65
66,1,52.46654479,1,66
67,1,52.54083502,1,67
68,1,62.01270456,1,68
69,1,58.65671439,1,69
70,1,60.7613502,1,70
71,1,63.94267607,1,71
72,1,57.81789999,1,72
73,1,47.34937446,1,73
74,1,47.02095198,1,74
75,1,60.02300302,1,75
76,1,52.64565136,1,76
77,1,65.39904913,1,77
78,1,56.98643123,1,78
79,1,55.58783165,1,79
80,1,63.69486589,1,80
81,1,56.39732085,1,81
82,1,60.64512728,1,82
83,1,53.35700343,1,83
84,1,56.33821613,1,84
85,1,72.02596303,1,85
86,1,58.02186008,1,86
87,1,73.26711729,1,87
88,1,72.24076469,1,88
89,1,69.3606199,1,89
90,1,62.58696685,1,90
91,1,62.18329541,1,91
92,1,75.33064769,1,92
93,1,78.76688079,1,93
94,1,82.27150209,1,94
95,1,83.35590703,1,95
96,1,73.08904817,1,96
97,1,76.64724315,1,97
98,1,78.33003917,1,98
99,1,76.29176684,1,99
100,1,77.04642816,1,100
101,1,84.79160988,2,1
102,1,69.42325398,2,2
103,1,75.07100658,2,3
104,1,75.9579266,2,4
105,1,78.71267636,2,5
106,1,70.53049113,2,6
107,1,60.59414909,2,7
108,1,69.31231242,2,8
109,1,77.62429274,2,9
110,1,69.06670484,2,10
111,1,74.13814441,2,11
112,1,72.43393028,2,12
113,1,69.2286823,2,13
114,1,62.61806765,2,14
115,1,61.24870386,2,15
116,1,64.02195329,2,16
117,1,64.13424963,2,17
118,1,65.99314005,2,18
119,1,53.53604393,2,19
120,1,57.90684971,2,20
121,1,59.83811933,2,21
122,1,66.22886164,2,22
123,1,46.77854271,2,23
124,1,57.25111706,2,24
125,1,59.29803219,2,25
126,1,59.86891297,2,26
127,1,59.39931341,2,27
128,1,49.35523325,2,28
129,1,59.77482985,2,29
130,1,60.89074569,2,30
131,1,54.76722643,2,31
132,1,45.64777958,2,32
133,1,40.63037775,2,33
134,1,51.01953698,2,34
135,1,45.34399231,2,35
136,1,40.60348634,2,36
137,1,54.27353233,2,37
138,1,52.95909693,2,38
139,1,41.68336079,2,39
140,1,56.89651884,2,40
141,1,52.39084018,2,41
142,1,47.89391007,2,42
143,1,39.42178082,2,43
144,1,51.25859239,2,44
145,1,56.10006337,2,45
146,1,53.15838686,2,46
147,1,53.15871664,2,47
148,1,54.98035638,2,48
149,1,45.88397527,2,49
150,1,44.06010568,2,50
151,1,51.82234026,2,51
152,1,55.90696115,2,52
153,1,42.64235233,2,53
154,1,46.95516297,2,54
155,1,52.90110012,2,55
156,1,41.7605318,2,56
157,1,45.87279676,2,57
158,1,55.95400095,2,58
159,1,48.49992238,2,59
160,1,43.93572276,2,60
161,1,55.73571093,2,61
162,1,54.77694444,2,62
163,1,44.25253992,2,63
164,1,40.46101388,2,64
165,1,41.89100308,2,65
166,1,59.4077321,2,66
167,1,44.42094744,2,67
168,1,48.7628118,2,68
169,1,49.45099075,2,69
170,1,52.16816663,2,70
171,1,46.84355879,2,71
172,1,53.93205816,2,72
173,1,57.68793936,2,73
174,1,51.09586536,2,74
175,1,52.83863068,2,75
176,1,58.9702198,2,76
177,1,59.6781804,2,77
178,1,57.50608971,2,78
179,1,55.43226786,2,79
180,1,56.40575191,2,80
181,1,67.84989021,2,81
182,1,50.29802375,2,82
183,1,61.70544267,2,83
184,1,53.71781105,2,84
185,1,61.08252036,2,85
186,1,72.42955919,2,86
187,1,69.10494377,2,87
188,1,65.88804818,2,88
189,1,71.87322517,2,89
190,1,61.72647557,2,90
191,1,65.956267,2,91
192,1,65.2394463,2,92
193,1,64.68364529,2,93
194,1,77.02402325,2,94
195,1,63.92726247,2,95
196,1,80.77905691,2,96
197,1,66.40872628,2,97
198,1,69.47194777,2,98
199,1,70.04735429,2,99
200,1,77.0405727,2,100
201,1,68.75522049,3,1
202,1,78.41899705,3,2
203,1,79.59923135,3,3
204,1,76.08909638,3,4
205,1,65.29041038,3,5
206,1,60.61321731,3,6
207,1,78.90823633,3,7
208,1,71.48217531,3,8
209,1,60.17428834,3,9
210,1,68.71897102,3,10
211,1,71.46000767,3,11
212,1,54.54061087,3,12
213,1,66.83333899,3,13
214,1,71.41921595,3,14
215,1,60.98593317,3,15
216,1,62.30896264,3,16
217,1,54.8371233,3,17
218,1,58.61852737,3,18
219,1,53.65008808,3,19
220,1,50.40895669,3,20
221,1,56.25946661,3,21
222,1,54.71751114,3,22
223,1,61.00018259,3,23
224,1,57.31018722,3,24
225,1,62.43497284,3,25
226,1,46.66428702,3,26
227,1,58.60915074,3,27
228,1,50.20042756,3,28
229,1,57.14316588,3,29
230,1,49.70449238,3,30
231,1,40.26304353,3,31
232,1,44.99871795,3,32
233,1,49.22357357,3,33
234,1,42.44635874,3,34
235,1,55.9349625,3,35
236,1,49.04718609,3,36
237,1,47.20965131,3,37
238,1,48.60450887,3,38
239,1,37.6671653,3,39
240,1,45.76851806,3,40
241,1,49.1717996,3,41
242,1,46.25980762,3,42
243,1,36.9682011,3,43
244,1,52.43277263,3,44
245,1,45.00554474,3,45
246,1,35.9399929,3,46
247,1,36.08434194,3,47
248,1,47.51574144,3,48
249,1,54.00259921,3,49
250,1,37.25641207,3,50
251,1,49.76035754,3,51
252,1,40.63135805,3,52
253,1,49.97373516,3,53
