id;system_id;dependent_variable;independent_variable_1;independent_variable_2
1;1;77.82232200852567;1.0;1.0
2;1;81.07745150181348;1.0;2.0
3;1;75.87727186067762;1.0;3.0
4;1;71.61531402104782;1.0;4.0
5;1;67.05198861895428;1.0;5.0
6;1;74.41742103728501;1.0;6.0
7;1;66.75634553867614;1.0;7.0
8;1;76.37834844455872;1.0;8.0
9;1;68.23333084969045;1.0;9.0
10;1;60.389464649446325;1.0;10.0
11;1;62.040602367906075;1.0;11.0
12;1;71.01824281148187;1.0;12.0
13;1;72.99259310008162;1.0;13.0
14;1;60.23850418309186;1.0;14.0
15;1;65.64896005594645;1.0;15.0
16;1;67.80719324858198;1.0;16.0
17;1;58.875430341012375;1.0;17.0
18;1;53.566366515545205;1.0;18.0
19;1;69.94397866354556;1.0;19.0
20;1;50.60906161050839;1.0;20.0
21;1;50.879636702356095;1.0;21.0
22;1;58.58529098576249;1.0;22.0
23;1;50.715870452548714;1.0;23.0
24;1;47.92984944737891;1.0;24.0
25;1;50.5800565255125;1.0;25.0
26;1;47.06873407847533;1.0;26.0
27;1;46.26448285808356;1.0;27.0
28;1;61.43013738806458;1.0;28.0
29;1;54.823374020222076;1.0;29.0
30;1;55.67354691160115;1.0;30.0
31;1;56.60751204663647;1.0;31.0
32;1;54.053459072983166;1.0;32.0
33;1;61.10380904378495;1.0;33.0
34;1;46.336712404294644;1.0;34.0
35;1;59.38922505002135;1.0;35.0
36;1;58.88401994746667;1.0;36.0
37;1;56.59919098725389;1.0;37.0
38;1;47.60526342721843;1.0;38.0
39;1;55.45147455468416;1.0;39.0
40;1;41.01478537077912;1.0;40.0
41;1;55.592255391832225;1.0;41.0
42;1;41.66135056408392;1.0;42.0
43;1;49.97762069186901;1.0;43.0
44;1;50.45429728281505;1.0;44.0
45;1;51.95246548095434;1.0;45.0
46;1;45.77099898333185;1.0;46.0
47;1;53.20686899278857;1.0;47.0
48;1;53.68244305423759;1.0;48.0
49;1;41.002835082600946;1.0;49.0
50;1;57.34985789519837;1.0;50.0
51;1;38.820839879271595;1.0;51.0
52;1;51.209696247990706;1.0;52.0
53;1;39.84139894741621;1.0;53.0
54;1;50.76268070449303;1.0;54.0
55;1;55.498102586879874;1.0;55.0
56;1;45.434464448615635;1.0;56.0
57;1;46.342902013549626;1.0;57.0
58;1;46.651007522005855;1.0;58.0
59;1;45.10974964261663;1.0;59.0
60;1;52.04087879664361;1.0;60.0
61;1;40.80686715426617;1.0;61.0
62;1;46.68938698005514;1.0;62.0
63;1;57.73228831808196;1.0;63.0
64;1;43.69806992496964;1.0;64.0
65;1;56.94860678160823;1.0;65.0
66;1;44.6478091522726;1.0;66.0
67;1;53.94300664675716;1.0;67.0
68;1;48.2426592222292;1.0;68.0
69;1;50.619952833229924;1.0;69.0
70;1;55.18060016238456;1.0;70.0
71;1;46.242365537803515;1.0;71.0
72;1;58.45829090590392;1.0;72.0
73;1;54.31531888483702;1.0;73.0
74;1;59.92703448417517;1.0;74.0
75;1;63.242516297630175;1.0;75.0
76;1;51.6718224342944;1.0;76.0
77;1;53.29426723849285;1.0;77.0
78;1;56.545263182478095;1.0;78.0
79;1;67.01583891560198;1.0;79.0
80;1;56.28496081103892;1.0;80.0
81;1;54.431584534195174;1.0;81.0
82;1;61.258586534184765;1.0;82.0
83;1;71.83903179683261;1.0;83.0
84;1;66.14193176429464;1.0;84.0
85;1;64.46880532016458;1.0;85.0
86;1;63.95491491823684;1.0;86.0
87;1;66.17378124173945;1.0;87.0
88;1;68.11520463056036;1.0;88.0
89;1;59.79015589778885;1.0;89.0
90;1;65.83779344624753;1.0;90.0
91;1;66.08733508990643;1.0;91.0
92;1;62.39335052281086;1.0;92.0
93;1;81.35032760101137;1.0;93.0
94;1;76.03321981239698;1.0;94.0
95;1;78.40070793025511;1.0;95.0
96;1;66.72141503633499;1.0;96.0
97;1;83.50890001001679;1.0;97.0
98;1;73.96526909355853;1.0;98.0
99;1;71.30126212882868;1.0;99.0
100;1;73.14286071207886;1.0;100.0
101;1;86.18066765526312;2.0;1.0
102;1;78.45027888826468;2.0;2.0
103;1;76.11286118244712;2.0;3.0
104;1;72.21273774561993;2.0;4.0
105;1;79.41011922343864;2.0;5.0
106;1;76.57446571791453;2.0;6.0
107;1;74.55727843120484;2.0;7.0
108;1;60.156295193196364;2.0;8.0
109;1;77.70958327349506;2.0;9.0
110;1;66.39332358770895;2.0;10.0
111;1;69.92604062475684;2.0;11.0
112;1;65.9692770785847;2.0;12.0
113;1;62.412889943747125;2.0;13.0
114;1;56.750479024493686;2.0;14.0
115;1;65.62441895244662;2.0;15.0
116;1;61.82465205088082;2.0;16.0
117;1;63.27158778431815;2.0;17.0
118;1;56.9437354703515;2.0;18.0
119;1;52.563263157222856;2.0;19.0
120;1;51.30874029839584;2.0;20.0
121;1;61.78046890076703;2.0;21.0
122;1;65.02368444280772;2.0;22.0
123;1;54.735466961448665;2.0;23.0
124;1;59.827850969170896;2.0;24.0
125;1;52.64025221307889;2.0;25.0
126;1;50.74173269102063;2.0;26.0
127;1;53.02517441310912;2.0;27.0
128;1;55.889651450382814;2.0;28.0
129;1;49.0017043802612;2.0;29.0
130;1;59.19760963906289;2.0;30.0
131;1;44.76430378021428;2.0;31.0
132;1;47.362367416083444;2.0;32.0
133;1;48.98445773390419;2.0;33.0
134;1;52.819726693285794;2.0;34.0
135;1;41.55531978127483;2.0;35.0
136;1;43.583952727682544;2.0;36.0
137;1;53.25362355433655;2.0;37.0
138;1;51.26703671889614;2.0;38.0
139;1;44.75685660308337;2.0;39.0
140;1;43.01862993833046;2.0;40.0
141;1;57.49499749792431;2.0;41.0
142;1;45.39391674870542;2.0;42.0
143;1;52.434919722701586;2.0;43.0
144;1;49.257261923365924;2.0;44.0
145;1;47.77372440908466;2.0;45.0
146;1;50.734925805046316;2.0;46.0
147;1;46.87854090871703;2.0;47.0
148;1;49.7329816110287;2.0;48.0
149;1;46.854548716680384;2.0;49.0
150;1;54.66335887603362;2.0;50.0
151;1;54.42904222418779;2.0;51.0
152;1;56.32031025101356;2.0;52.0
153;1;50.8406095560285;2.0;53.0
154;1;48.20939731296527;2.0;54.0
155;1;49.666000010132976;2.0;55.0
156;1;45.22068007249222;2.0;56.0
157;1;51.465352955497096;2.0;57.0
158;1;45.22460577880954;2.0;58.0
159;1;54.32328700134757;2.0;59.0
160;1;57.732483307411755;2.0;60.0
161;1;39.049819743514874;2.0;61.0
162;1;46.77940824320612;2.0;62.0
163;1;45.207656591896004;2.0;63.0
164;1;45.05959602431582;2.0;64.0
165;1;51.589031396257035;2.0;65.0
166;1;54.15519928764096;2.0;66.0
167;1;57.04446276780253;2.0;67.0
168;1;47.2276703722969;2.0;68.0
169;1;49.06943214645641;2.0;69.0
170;1;48.4106102294095;2.0;70.0
171;1;42.86614205270678;2.0;71.0
172;1;43.19024041775916;2.0;72.0
173;1;50.049460429577486;2.0;73.0
174;1;55.97816188809443;2.0;74.0
175;1;49.9169133370399;2.0;75.0
176;1;49.60871293685091;2.0;76.0
177;1;53.7441157512094;2.0;77.0
178;1;63.43892014671095;2.0;78.0
179;1;50.07168531985823;2.0;79.0
180;1;49.994239484811516;2.0;80.0
181;1;67.99272724296;2.0;81.0
182;1;62.06731484444109;2.0;82.0
183;1;57.81063444499658;2.0;83.0
184;1;58.02862674596587;2.0;84.0
185;1;65.46312015877892;2.0;85.0
186;1;68.2095332832513;2.0;86.0
187;1;54.73375154827768;2.0;87.0
188;1;64.56829215575986;2.0;88.0
189;1;73.33850353739993;2.0;89.0
190;1;73.59750812451502;2.0;90.0
191;1;64.45385822925111;2.0;91.0
192;1;62.884740516386;2.0;92.0
193;1;77.72228653902751;2.0;93.0
194;1;80.73404944465783;2.0;94.0
195;1;79.50780155799346;2.0;95.0
196;1;83.83871581066995;2.0;96.0
197;1;78.99674582182989;2.0;97.0
198;1;84.77839439961467;2.0;98.0
199;1;75.25129971376325;2.0;99.0
200;1;81.43179362209548;2.0;100.0
201;1;84.55664863379478;3.0;1.0
202;1;82.80367410655556;3.0;2.0
203;1;70.0612931388059;3.0;3.0
204;1;80.37285626991472;3.0;4.0
205;1;64.56622306125226;3.0;5.0
206;1;79.52817808345736;3.0;6.0
207;1;66.29995874723227;3.0;7.0
208;1;72.92546960571298;3.0;8.0
209;1;75.64239421522727;3.0;9.0
210;1;70.57158538923774;3.0;10.0
211;1;58.678845572523926;3.0;11.0
212;1;54.3576579447935;3.0;12.0
213;1;68.71247795739629;3.0;13.0
214;1;54.61480631642417;3.0;14.0
215;1;60.96374351532117;3.0;15.0
216;1;66.91058001494721;3.0;16.0
217;1;62.76634000745231;3.0;17.0
218;1;63.559142982371675;3.0;18.0
219;1;48.45285021391368;3.0;19.0
220;1;59.231781707737696;3.0;20.0
221;1;57.44862860249345;3.0;21.0
222;1;57.24024383551079;3.0;22.0
223;1;56.18883336993769;3.0;23.0
224;1;58.54863785621031;3.0;24.0
225;1;51.400331808728865;3.0;25.0
226;1;45.248438047621846;3.0;26.0
227;1;55.46647282972283;3.0;27.0
228;1;56.88350363870293;3.0;28.0
229;1;52.75527340602898;3.0;29.0
230;1;51.63622800532701;3.0;30.0
231;1;56.08719314399507;3.0;31.0
232;1;53.79183517291256;3.0;32.0
233;1;43.3914812848539;3.0;33.0
234;1;51.18489497541953;3.0;34.0
235;1;43.96474822512755;3.0;35.0
236;1;44.59987293739947;3.0;36.0
237;1;53.98275240620617;3.0;37.0
238;1;48.86064224124024;3.0;38.0
239;1;40.41144237478356;3.0;39.0
240;1;37.21748533714629;3.0;40.0
241;1;37.6690319390646;3.0;41.0
242;1;42.36737763169202;3.0;42.0
243;1;42.54665408555683;3.0;43.0
244;1;53.335770391091074;3.0;44.0
245;1;41.11114641098315;3.0;45.0
246;1;42.9616034618165;3.0;46.0
247;1;54.42697023329491;3.0;47.0
248;1;42.76980370485316;3.0;48.0
249;1;40.328223451505046;3.0;49.0
250;1;54.08928083699102;3.0;50.0
251;1;40.048224579722074;3.0;51.0
252;1;40.69417959174497;3.0;52.0
253;1;45.6379691702664;3.0;53.0
254;1;55.3689859393155;3.0;54.0
255;1;43.80575061557832;3.0;55.0
256;1;44.322032983643844;3.0;56.0
257;1;43.41027101048502;3.0;57.0
258;1;42.26110670099701;3.0;58.0
259;1;37.49795329605199;3.0;59.0
260;1;43.98286324740068;3.0;60.0
261;1;40.7443865596789;3.0;61.0
262;1;52.007334135206726;3.0;62.0
263;1;38.837648370467335;3.0;63.0
264;1;43.883849565995206;3.0;64.0
265;1;42.06212055339623;3.0;65.0
266;1;49.76700052502891;3.0;66.0
267;1;47.86307521160356;3.0;67.0
268;1;56.504854006333204;3.0;68.0
269;1;42.0370485069797;3.0;69.0
270;1;45.66240463674324;3.0;70.0
271;1;42.83484188282783;3.0;71.0
