id;system_id;dependent_variable;independent_variable_1
1;1;51.24;10.0
2;1;36.64;20.0
3;1;33.44;30.0
4;1;33.24;40.0
5;1;31.0;50.0
6;1;25.04000000000002;60.0
7;1;17.039999999999964;70.0
8;1;12.040000000000077;80.0
9;1;18.439999999999827;90.0
10;1;48.0;100.0
11;2;51.24;10.0
12;2;36.64;20.0
13;2;33.44;30.0
14;2;33.24;40.0
15;2;31.0;50.0
16;2;25.04000000000002;60.0
17;2;17.039999999999964;70.0
18;2;12.040000000000077;80.0
19;2;18.439999999999827;90.0
20;2;48.0;100.0
21;3;51.24;10.0
22;3;36.64;20.0
23;3;33.44;30.0
24;3;33.24;40.0
25;3;31.0;50.0
26;3;25.04000000000002;60.0
27;3;17.039999999999964;70.0
28;3;12.040000000000077;80.0
29;3;18.439999999999827;90.0
30;3;48.0;100.0
31;4;51.24;10.0
32;4;36.64;20.0
33;4;33.44;30.0
34;4;33.24;40.0
35;4;31.0;50.0
36;4;25.04000000000002;60.0
37;4;17.039999999999964;70.0
38;4;12.040000000000077;80.0
39;4;18.439999999999827;90.0
40;4;48.0;100.0
41;5;51.24;10.0
42;5;36.64;20.0
43;5;33.44;30.0
44;5;33.24;40.0
45;5;31.0;50.0
46;5;25.04000000000002;60.0
47;5;17.039999999999964;70.0
48;5;12.040000000000077;80.0
49;5;18.439999999999827;90.0
50;5;48.0;100.0
51;6;51.24;10.0
52;6;36.64;20.0
53;6;33.44;30.0
54;6;33.24;40.0
55;6;31.0;50.0
56;6;25.04000000000002;60.0
57;6;17.039999999999964;70.0
58;6;12.040000000000077;80.0
59;6;18.439999999999827;90.0
60;6;48.0;100.0
61;7;51.24;10.0
62;7;36.64;20.0
63;7;33.44;30.0
64;7;33.24;40.0
65;7;31.0;50.0
66;7;25.04000000000002;60.0
67;7;17.039999999999964;70.0
68;7;12.040000000000077;80.0
69;7;18.439999999999827;90.0
70;7;48.0;100.0
71;8;51.24;10.0
72;8;36.64;20.0
73;8;33.44;30.0
74;8;33.24;40.0
75;8;31.0;50.0
76;8;25.04000000000002;60.0
77;8;17.039999999999964;70.0
78;8;12.040000000000077;80.0
79;8;18.439999999999827;90.0
80;8;48.0;100.0
81;9;51.24;10.0
82;9;36.64;20.0
83;9;33.44;30.0
84;9;33.24;40.0
85;9;31.0;50.0
86;9;25.04000000000002;60.0
87;9;17.039999999999964;70.0
88;9;12.040000000000077;80.0
89;9;18.439999999999827;90.0
90;9;48.0;100.0
91;10;51.24;10.0
92;10;36.64;20.0
93;10;33.44;30.0
94;10;33.24;40.0
95;10;31.0;50.0
96;10;25.04000000000002;60.0
97;10;17.039999999999964;70.0
98;10;12.040000000000077;80.0
99;10;18.439999999999827;90.0
100;10;48.0;100.0
