id,system_id,dependent_variable,independent_variable_1
1,1,51.24,10
2,1,36.64,20
3,1,33.44,30
4,1,33.24,40
5,1,31,50
6,1,25.04,60
7,1,17.04,70
8,1,12.04,80
9,1,18.44,90
10,1,48,100
11,2,51.24,10
12,2,36.64,20
13,2,33.44,30
14,2,33.24,40
15,2,31,50
16,2,25.04,60
17,2,17.04,70
18,2,12.04,80
19,2,18.44,90
20,2,48,100
21,3,51.24,10
22,3,36.64,20
23,3,33.44,30
24,3,33.24,40
25,3,31,50
26,3,25.04,60
27,3,17.04,70
28,3,12.04,80
29,3,18.44,90
30,3,48,100
31,4,51.24,10
32,4,36.64,20
33,4,33.44,30
34,4,33.24,40
35,4,31,50
36,4,25.04,60
37,4,17.04,70
38,4,12.04,80
39,4,18.44,90
40,4,48,100
41,5,51.24,10
42,5,36.64,20
43,5,33.44,30
44,5,33.24,40
45,5,31,50
46,5,25.04,60
47,5,17.04,70
48,5,12.04,80
49,5,18.44,90
50,5,48,100
51,6,51.24,10
52,6,36.64,20
53,6,33.44,30
54,6,33.24,40
55,6,31,50
56,6,25.04,60
57,6,17.04,70
58,6,12.04,80
59,6,18.44,90
60,6,48,100
61,7,51.24,10
62,7,36.64,20
63,7,33.44,30
64,7,33.24,40
65,7,31,50
66,7,25.04,60
67,7,17.04,70
68,7,12.04,80
69,7,18.44,90
70,7,48,100
71,8,51.24,10
72,8,36.64,20
73,8,33.44,30
74,8,33.24,40
75,8,31,50
76,8,25.04,60
77,8,17.04,70
78,8,12.04,80
79,8,18.44,90
80,8,48,100
81,9,51.24,10
82,9,36.64,20
83,9,33.44,30
84,9,33.24,40
85,9,31,50
86,9,25.04,60
87,9,17.04,70
88,9,12.04,80
89,9,18.44,90
90,9,48,100
91,10,51.24,10
92,10,36.64,20
93,10,33.44,30
94,10,33.24,40
95,10,31,50
96,10,25.04,60
97,10,17.04,70
98,10,12.04,80
99,10,18.44,90
100,10,48,100
