id,system_id,dependent_variable,independent_variable_1
1,1,25.46968979,10
2,1,30.12099257,20
3,1,25.98389654,30
4,1,40.89896127,40
5,1,56.54181223,50
6,1,58.12727571,60
7,1,70.37380914,70
8,1,74.29541687,80
9,1,80.12842176,90
10,1,96.13636765,100
11,2,27.42771821,10
12,2,32.28282407,20
13,2,38.78188948,30
14,2,39.39563844,40
15,2,52.83717068,50
16,2,62.55405632,60
17,2,58.0773312,70
18,2,75.35496965,80
19,2,74.07599297,90
20,2,88.34735339,100
21,3,19.60918261,10
22,3,24.10285769,20
23,3,37.00914739,30
24,3,49.92418672,40
25,3,44.80477781,50
26,3,55.03656192,60
27,3,64.0497436,70
28,3,73.93738971,80
29,3,80.52675459,90
30,3,82.80278913,100
31,4,21.03204,10
32,4,25.08550882,20
33,4,29.8319539,30
34,4,47.15734435,40
35,4,53.25043575,50
36,4,64.96392574,60
37,4,74.89092106,70
38,4,68.28723998,80
39,4,76.20702103,90
40,4,85.21887527,100
41,5,15.9588661,10
42,5,32.93386394,20
43,5,38.10626003,30
44,5,33.28375883,40
45,5,53.17344739,50
46,5,57.70680091,60
47,5,74.15844514,70
48,5,75.76524994,80
49,5,81.90165399,90
50,5,80.698442,100
51,6,26.98155169,10
52,6,26.30595392,20
53,6,39.64287095,30
54,6,47.00877293,40
55,6,42.89161822,50
56,6,48.54369094,60
57,6,56.67606136,70
58,6,69.91619668,80
59,6,77.06394095,90
60,6,94.40287968,100
61,7,19.56327362,10
62,7,33.11194449,20
63,7,29.05366744,30
64,7,39.62851739,40
65,7,52.5202232,50
66,7,58.91866684,60
67,7,59.57961011,70
68,7,64.05771831,80
69,7,74.80727937,90
70,7,82.23403688,100
71,8,26.6154555,10
72,8,23.51010049,20
73,8,43.45138402,30
74,8,45.59875424,40
75,8,43.77319463,50
76,8,58.86421153,60
77,8,72.36682949,70
78,8,65.971558,80
79,8,88.6997446,90
80,8,84.5556986,100
81,9,13.2543214,10
82,9,31.46515922,20
83,9,41.94131737,30
84,9,42.50421884,40
85,9,45.63821125,50
86,9,60.48609405,60
87,9,57.95185859,70
88,9,74.99174847,80
89,9,86.85213388,90
90,9,88.63678045,100
91,10,24.25252923,10
92,10,33.30702494,20
93,10,36.63022049,30
94,10,37.1341428,40
95,10,47.39360699,50
96,10,67.99202335,60
97,10,75.42490834,70
98,10,82.26974736,80
99,10,85.12528681,90
100,10,83.83362549,100
