id,system_id,dependent_variable,independent_variable_1
1,1,0.026753798,0.1
2,1,0.030133451,0.2
3,1,0,0.3
4,1,0,0.4
5,1,0,0.5
6,1,0,0.6
7,1,0,0.7
8,1,0.009369843,0.8
9,1,0,0.9
10,1,0,1
11,1,0.098342058,1.1
12,1,0.031357654,1.2
13,1,0.090022513,1.3
14,1,0,1.4
15,1,0,1.5
16,1,0.068372536,1.6
17,1,0,1.7
18,1,0,1.8
19,1,0,1.9
20,1,0,2
21,1,0.015735356,2.1
22,1,0.032004395,2.2
23,1,0.03131927,2.3
24,1,0.026577497,2.4
25,1,0,2.5
26,1,0.019442566,2.6
27,1,0,2.7
28,1,0.073781855,2.8
29,1,0,2.9
30,1,0.06270666,3
31,1,0.050130076,3.1
32,1,0,3.2
33,1,0,3.3
34,1,0.042033387,3.4
35,1,0.002838929,3.5
36,1,0,3.6
37,1,0.091183198,3.7
38,1,0.011401718,3.8
39,1,0.047732811,3.9
40,1,0.062559594,4
41,1,0,4.1
42,1,0,4.2
43,1,0.054999367,4.3
44,1,0,4.4
45,1,0.071784701,4.5
46,1,0.057648558,4.6
47,1,0.079468019,4.7
48,1,0.044568139,4.8
49,1,0,4.9
50,1,0,5
51,1,0.073223409,5.1
52,1,0.010921773,5.2
53,1,0.066600047,5.3
54,1,0,5.4
55,1,0,5.5
56,1,0.059158483,5.6
57,1,0,5.7
58,1,0,5.8
59,1,0.023077114,5.9
60,1,0.044891975,6
61,1,0,6.1
62,1,0.095589227,6.2
63,1,0,6.3
64,1,0.011144218,6.4
65,1,0,6.5
66,1,0.099297447,6.6
67,1,0,6.7
68,1,0,6.8
69,1,0,6.9
70,1,0.014038402,7
71,1,0.059583417,7.1
72,1,0,7.2
73,1,0.041657187,7.3
74,1,0.013628438,7.4
75,1,0.068690261,7.5
76,1,0,7.6
77,1,0.014158107,7.7
78,1,0.085261688,7.8
79,1,0,7.9
80,1,0.021980659,8
81,1,0.024778881,8.1
82,1,0.037336261,8.2
83,1,0.081948819,8.3
84,1,0.051932185,8.4
85,1,0.071990221,8.5
86,1,0.036685335,8.6
87,1,0.086665377,8.7
88,1,0,8.8
89,1,0.032756591,8.9
90,1,0,9
91,1,0.054199352,9.1
92,1,0.009576206,9.2
93,1,0,9.3
94,1,0.036025051,9.4
95,1,0,9.5
96,1,0,9.6
97,1,0.04842302,9.7
98,1,0.067294929,9.8
99,1,0,9.9
100,1,0,10
101,1,0,10.1
102,1,0.085324436,10.2
103,1,0.001094055,10.3
104,1,0.009269605,10.4
105,1,0,10.5
106,1,0,10.6
107,1,0.056517652,10.7
108,1,0.092090004,10.8
109,1,0.033661617,10.9
110,1,0,11
111,1,0.007593509,11.1
112,1,0.019599292,11.2
113,1,0.090468056,11.3
114,1,0,11.4
115,1,0,11.5
116,1,0,11.6
117,1,0,11.7
