id,system_id,dependent_variable,independent_variable_1,independent_variable_2
1,1,22.78778507,10,10
2,1,18.99102404,10,20
3,1,25.58941209,10,30
4,1,39.27778685,10,40
5,1,35.45439831,10,50
6,1,31.51202269,10,60
7,1,41.35873078,10,70
8,1,53.80646768,10,80
9,1,47.91099058,10,90
10,1,52.16731802,10,100
11,1,21.45938621,20,10
12,1,33.87504108,20,20
13,1,33.70424901,20,30
14,1,28.04298261,20,40
15,1,37.5769161,20,50
16,1,34.19619106,20,60
17,1,53.0807236,20,70
18,1,51.83109179,20,80
19,1,52.74954409,20,90
20,1,63.8380188,20,100
21,1,18.32466337,30,10
22,1,27.23627473,30,20
23,1,31.90678989,30,30
24,1,47.22189643,30,40
25,1,45.24986508,30,50
26,1,54.37007364,30,60
27,1,45.0835275,30,70
28,1,56.71503051,30,80
29,1,57.71369149,30,90
30,1,70.37498913,30,100
31,1,36.77190769,40,10
32,1,41.28812092,40,20
33,1,38.3235282,40,30
34,1,33.22162874,40,40
35,1,41.06292119,40,50
36,1,43.11816331,40,60
37,1,63.5013522,40,70
38,1,50.77949556,40,80
39,1,61.73917396,40,90
40,1,67.95870523,40,100
41,1,41.0360637,50,10
42,1,47.14562158,50,20
43,1,51.83181496,50,30
44,1,45.98189278,50,40
45,1,46.6166046,50,50
46,1,56.38832929,50,60
47,1,52.91486305,50,70
48,1,67.92007018,50,80
49,1,58.06834763,50,90
50,1,74.59539272,50,100
51,1,29.78043397,60,10
52,1,42.09998875,60,20
53,1,55.68123725,60,30
54,1,52.9153351,60,40
55,1,47.13059238,60,50
56,1,61.03325969,60,60
57,1,68.10118047,60,70
58,1,66.77076188,60,80
59,1,77.12693864,60,90
60,1,68.21466208,60,100
61,1,46.44341471,70,10
62,1,45.06305804,70,20
63,1,50.10130354,70,30
64,1,50.01749419,70,40
65,1,65.82085732,70,50
66,1,62.20606615,70,60
67,1,74.9921016,70,70
68,1,65.85093986,70,80
69,1,82.489587,70,90
70,1,80.79751645,70,100
71,1,36.65997338,80,10
72,1,51.28992292,80,20
73,1,61.78327761,80,30
74,1,66.32096936,80,40
75,1,64.31440378,80,50
76,1,65.02537949,80,60
77,1,65.23215183,80,70
78,1,64.3473497,80,80
79,1,78.55127319,80,90
80,1,85.7336759,80,100
81,1,50.11183646,90,10
82,1,60.85050409,90,20
83,1,54.48090182,90,30
84,1,52.70878759,90,40
85,1,74.01368759,90,50
86,1,79.75579746,90,60
87,1,66.06206627,90,70
88,1,81.08941684,90,80
89,1,83.36438002,90,90
90,1,92.70250689,90,100
91,1,54.90485102,100,10
92,1,56.70680978,100,20
93,1,52.81897577,100,30
94,1,75.78348966,100,40
95,1,79.56710388,100,50
96,1,77.79212634,100,60
97,1,77.18537444,100,70
98,1,78.70148651,100,80
99,1,83.89815892,100,90
100,1,87.07934702,100,100
101,2,23.20386221,10,10
102,2,29.13706477,10,20
103,2,29.25132752,10,30
104,2,39.35948518,10,40
105,2,26.11870534,10,50
106,2,41.67533148,10,60
107,2,49.78869545,10,70
108,2,43.03075736,10,80
109,2,53.82551278,10,90
110,2,49.19880446,10,100
111,2,28.99765629,20,10
112,2,18.91218377,20,20
113,2,25.07869183,20,30
114,2,37.48961715,20,40
115,2,38.28348352,20,50
116,2,36.90978911,20,60
117,2,41.95061083,20,70
118,2,50.8182053,20,80
119,2,53.08596377,20,90
120,2,57.40613207,20,100
121,2,27.5907457,30,10
122,2,34.51216126,30,20
123,2,24.30714003,30,30
124,2,36.57744781,30,40
125,2,44.73183738,30,50
126,2,50.83209563,30,60
127,2,40.54581423,30,70
128,2,54.12775665,30,80
129,2,56.72877645,30,90
130,2,59.50134665,30,100
131,2,26.76292492,40,10
132,2,34.5548211,40,20
133,2,34.36947884,40,30
134,2,46.11590798,40,40
135,2,50.70625071,40,50
136,2,49.87557606,40,60
137,2,54.11655033,40,70
138,2,59.42786068,40,80
139,2,56.17564538,40,90
140,2,72.26802394,40,100
141,2,39.75289117,50,10
142,2,47.70157845,50,20
143,2,51.64048587,50,30
144,2,55.11592577,50,40
145,2,51.65150268,50,50
146,2,44.13961805,50,60
147,2,54.23123819,50,70
148,2,52.35428584,50,80
149,2,64.74001117,50,90
150,2,63.29067158,50,100
151,2,39.81861621,60,10
152,2,38.07664906,60,20
153,2,51.44513045,60,30
154,2,53.29459694,60,40
155,2,51.45939146,60,50
156,2,64.35735235,60,60
157,2,68.56414791,60,70
158,2,70.71856896,60,80
159,2,73.77713922,60,90
160,2,78.21568161,60,100
161,2,41.28762033,70,10
162,2,51.86715216,70,20
163,2,43.49873689,70,30
164,2,55.14673009,70,40
165,2,52.3212417,70,50
166,2,57.56842064,70,60
167,2,65.72548623,70,70
168,2,67.49258651,70,80
169,2,77.648501,70,90
170,2,68.49386653,70,100
171,2,47.88683265,80,10
172,2,55.27466967,80,20
173,2,56.43645561,80,30
174,2,56.05967223,80,40
175,2,71.75337745,80,50
176,2,57.55382056,80,60
177,2,67.27177993,80,70
178,2,70.57298305,80,80
179,2,73.7459053,80,90
180,2,83.23412311,80,100
181,2,58.66407525,90,10
182,2,58.31383694,90,20
183,2,52.87762997,90,30
184,2,59.19123037,90,40
185,2,70.69260665,90,50
186,2,61.75491051,90,60
187,2,70.07280603,90,70
188,2,87.11720173,90,80
189,2,89.86237296,90,90
190,2,83.28654725,90,100
191,2,57.57361944,100,10
192,2,56.96916054,100,20
193,2,61.21911757,100,30
194,2,59.47327296,100,40
195,2,70.35339187,100,50
196,2,76.21407138,100,60
197,2,87.17503469,100,70
198,2,89.79136029,100,80
199,2,78.9251975,100,90
200,2,98.41748448,100,100
201,3,14.65301826,10,10
202,3,15.80887403,10,20
203,3,17.97271272,10,30
204,3,23.41439689,10,40
205,3,27.42585582,10,50
206,3,33.89735599,10,60
207,3,39.05289449,10,70
208,3,45.61115969,10,80
209,3,46.45743457,10,90
210,3,44.66952897,10,100
211,3,12.67885182,20,10
212,3,17.54961945,20,20
213,3,38.37914849,20,30
214,3,37.27037193,20,40
215,3,39.12637574,20,50
216,3,33.30943513,20,60
217,3,50.09927207,20,70
218,3,40.53296766,20,80
219,3,47.32776381,20,90
220,3,54.62579053,20,100
221,3,33.39165874,30,10
222,3,21.83126392,30,20
223,3,32.77115074,30,30
224,3,44.1704548,30,40
225,3,35.89979077,30,50
226,3,55.50054277,30,60
227,3,50.31631014,30,70
228,3,54.56601665,30,80
229,3,55.10444641,30,90
230,3,63.43806802,30,100
231,3,27.69040048,40,10
232,3,31.03194145,40,20
233,3,34.34309588,40,30
234,3,48.81234138,40,40
235,3,49.35469082,40,50
236,3,51.23259619,40,60
237,3,59.06382835,40,70
238,3,66.98432892,40,80
239,3,62.07329653,40,90
240,3,69.2996421,40,100
241,3,34.62145068,50,10
242,3,45.83477899,50,20
243,3,40.83062839,50,30
244,3,41.55099623,50,40
245,3,57.16841193,50,50
246,3,48.20618756,50,60
247,3,49.69974845,50,70
248,3,53.34644354,50,80
249,3,73.98120771,50,90
250,3,63.044573,50,100
251,3,29.50940799,60,10
252,3,42.64960212,60,20
253,3,38.27662464,60,30
254,3,41.7638173,60,40
255,3,49.45712671,60,50
256,3,56.15041159,60,60
257,3,54.4565912,60,70
258,3,56.82628596,60,80
259,3,67.32841418,60,90
260,3,66.99105768,60,100
261,3,50.3151949,70,10
262,3,55.07892652,70,20
263,3,41.46386482,70,30
264,3,63.98189344,70,40
265,3,61.67167144,70,50
266,3,60.35544486,70,60
267,3,59.55577718,70,70
268,3,71.00073281,70,80
269,3,64.56564541,70,90
270,3,77.34868123,70,100
271,3,42.31687195,80,10
272,3,56.52864368,80,20
273,3,56.5472713,80,30
274,3,55.50982603,80,40
275,3,67.40299316,80,50
276,3,57.71903145,80,60
277,3,70.56610738,80,70
278,3,68.52613779,80,80
279,3,77.11515513,80,90
280,3,77.59901179,80,100
281,3,42.66452013,90,10
282,3,46.7228458,90,20
283,3,54.85243879,90,30
284,3,58.16379987,90,40
285,3,68.70226631,90,50
286,3,69.25790996,90,60
287,3,69.93790355,90,70
288,3,69.41614261,90,80
289,3,77.50773298,90,90
290,3,92.62534308,90,100
291,3,48.22246972,100,10
292,3,60.58147175,100,20
293,3,66.2729439,100,30
294,3,59.11884508,100,40
295,3,73.33757262,100,50
296,3,83.93031357,100,60
297,3,73.42612528,100,70
298,3,75.81430116,100,80
299,3,88.14149699,100,90
300,3,81.26121543,100,100
301,4,26.35843692,10,10
302,4,28.00377538,10,20
303,4,33.9641015,10,30
304,4,23.15885617,10,40
305,4,42.09703676,10,50
306,4,44.98166482,10,60
307,4,34.53065769,10,70
308,4,39.68017728,10,80
309,4,47.23449665,10,90
310,4,62.49839801,10,100
311,4,31.59463685,20,10
312,4,27.4626108,20,20
313,4,28.23792742,20,30
314,4,25.12026751,20,40
315,4,41.98618563,20,50
316,4,48.09173985,20,60
317,4,46.79555244,20,70
318,4,56.419231,20,80
319,4,54.06027807,20,90
320,4,63.65366218,20,100
321,4,20.35060853,30,10
322,4,20.52686923,30,20
323,4,34.23149672,30,30
324,4,33.11303338,30,40
325,4,50.37065204,30,50
326,4,48.162883,30,60
327,4,44.82923073,30,70
328,4,63.33836834,30,80
329,4,62.04579913,30,90
330,4,61.44922173,30,100
331,4,32.10555943,40,10
332,4,27.13248122,40,20
333,4,41.32875778,40,30
334,4,46.0597192,40,40
335,4,52.18363687,40,50
336,4,57.08995687,40,60
337,4,48.55899905,40,70
338,4,51.18883275,40,80
339,4,71.41893093,40,90
340,4,60.8128374,40,100
341,4,31.09326644,50,10
342,4,47.87387106,50,20
343,4,44.41861707,50,30
344,4,49.41819143,50,40
345,4,41.55035501,50,50
346,4,47.39224125,50,60
347,4,52.06014857,50,70
348,4,69.28176004,50,80
349,4,69.88257852,50,90
350,4,66.29745944,50,100
351,4,34.58102668,60,10
352,4,51.63308284,60,20
353,4,38.18714967,60,30
354,4,49.56439545,60,40
355,4,46.18508455,60,50
356,4,61.96767462,60,60
357,4,68.1504921,60,70
358,4,62.37939131,60,80
359,4,68.52290252,60,90
360,4,74.21126692,60,100
361,4,35.47436794,70,10
362,4,37.50920059,70,20
363,4,58.60464676,70,30
364,4,48.46315296,70,40
365,4,52.63877205,70,50
366,4,67.46393998,70,60
367,4,59.38979358,70,70
368,4,69.41656922,70,80
369,4,71.78526928,70,90
370,4,79.47097971,70,100
371,4,51.75590481,80,10
372,4,49.70943259,80,20
373,4,49.26195687,80,30
374,4,49.24793415,80,40
375,4,67.44124841,80,50
376,4,69.82076453,80,60
377,4,60.03363264,80,70
378,4,77.59115185,80,80
379,4,84.19529085,80,90
380,4,84.94269803,80,100
381,4,46.63072789,90,10
382,4,59.43503356,90,20
383,4,67.71859025,90,30
384,4,54.32998788,90,40
385,4,59.00018596,90,50
386,4,72.67127431,90,60
387,4,75.67606033,90,70
388,4,83.99712069,90,80
389,4,75.72011529,90,90
390,4,85.98208683,90,100
391,4,45.94496151,100,10
392,4,66.49570571,100,20
393,4,63.45369243,100,30
394,4,69.03606894,100,40
395,4,68.9135765,100,50
396,4,82.21829345,100,60
397,4,74.56378614,100,70
398,4,86.69883016,100,80
399,4,93.63205705,100,90
400,4,81.45987967,100,100
401,5,23.75369609,10,10
402,5,16.8587289,10,20
403,5,29.88245139,10,30
404,5,38.98619534,10,40
405,5,34.92163361,10,50
406,5,31.32950785,10,60
407,5,33.13963452,10,70
408,5,46.1048634,10,80
409,5,53.69778935,10,90
410,5,62.96171623,10,100
411,5,21.04644689,20,10
412,5,22.93228358,20,20
413,5,25.47039478,20,30
414,5,29.29814947,20,40
415,5,31.58152807,20,50
416,5,41.37486663,20,60
417,5,51.40954013,20,70
418,5,56.39525619,20,80
419,5,59.81435928,20,90
420,5,55.03823922,20,100
421,5,34.86002502,30,10
422,5,27.10269375,30,20
423,5,41.63973014,30,30
424,5,34.41995213,30,40
425,5,50.60483582,30,50
426,5,42.13433439,30,60
427,5,42.4254611,30,70
428,5,44.57908765,30,80
429,5,62.14889912,30,90
430,5,52.01276355,30,100
431,5,32.37333706,40,10
432,5,30.87659326,40,20
433,5,40.50197429,40,30
434,5,38.0939359,40,40
435,5,55.69967952,40,50
436,5,40.20406585,40,60
437,5,59.44793836,40,70
438,5,52.50642065,40,80
439,5,62.19538807,40,90
440,5,64.01146941,40,100
441,5,35.18007867,50,10
442,5,42.48414548,50,20
443,5,42.55542256,50,30
444,5,49.31036583,50,40
445,5,48.79783058,50,50
446,5,51.63549527,50,60
447,5,55.99561954,50,70
448,5,57.84507781,50,80
449,5,64.03489707,50,90
450,5,66.95675117,50,100
451,5,35.68993981,60,10
452,5,36.75052163,60,20
453,5,37.25090095,60,30
454,5,49.38892722,60,40
455,5,58.55884393,60,50
456,5,65.76435332,60,60
457,5,68.66707282,60,70
458,5,73.1571527,60,80
459,5,72.4304748,60,90
460,5,69.22694813,60,100
461,5,41.34695783,70,10
462,5,48.37937135,70,20
463,5,48.74659069,70,30
464,5,52.39868466,70,40
465,5,48.98632858,70,50
466,5,53.5672688,70,60
467,5,56.78046391,70,70
468,5,61.61288206,70,80
469,5,82.82547506,70,90
470,5,76.53889791,70,100
471,5,43.00580048,80,10
472,5,55.85698983,80,20
473,5,44.02649105,80,30
474,5,56.66508732,80,40
475,5,64.82254233,80,50
476,5,59.87634631,80,60
477,5,69.10320949,80,70
478,5,67.48631338,80,80
479,5,81.26194535,80,90
480,5,81.65914382,80,100
481,5,55.93269231,90,10
482,5,45.64404172,90,20
483,5,48.0451604,90,30
484,5,60.08014457,90,40
485,5,66.25856078,90,50
486,5,64.22844687,90,60
487,5,66.83936168,90,70
488,5,69.28105999,90,80
489,5,86.08677385,90,90
490,5,95.31555356,90,100
491,5,50.93946481,100,10
492,5,58.29183476,100,20
493,5,52.88955072,100,30
494,5,65.57272761,100,40
495,5,78.95213732,100,50
496,5,83.98431444,100,60
497,5,82.30355201,100,70
498,5,85.19716753,100,80
499,5,79.42703486,100,90
500,5,87.0601335,100,100
501,6,24.52585741,10,10
502,6,31.00877032,10,20
503,6,33.73106149,10,30
504,6,37.6402378,10,40
505,6,32.61251147,10,50
506,6,35.87140985,10,60
507,6,48.43786857,10,70
508,6,52.17867063,10,80
509,6,52.36122983,10,90
510,6,52.69310295,10,100
511,6,30.4657871,20,10
512,6,33.19212098,20,20
513,6,29.81129913,20,30
514,6,40.60858452,20,40
515,6,34.96828539,20,50
516,6,46.00750022,20,60
517,6,55.38752292,20,70
518,6,56.27140549,20,80
519,6,46.54644975,20,90
520,6,67.12583009,20,100
521,6,31.11945358,30,10
522,6,33.81383258,30,20
523,6,39.28519523,30,30
524,6,39.11053842,30,40
525,6,50.0591623,30,50
526,6,37.03756089,30,60
527,6,52.21631101,30,70
528,6,46.63225835,30,80
529,6,50.18737773,30,90
530,6,68.54892814,30,100
531,6,33.8637226,40,10
532,6,35.71071781,40,20
533,6,38.31583942,40,30
534,6,48.74897139,40,40
535,6,50.4066179,40,50
536,6,44.75132607,40,60
537,6,59.21443932,40,70
538,6,51.73013372,40,80
539,6,57.71843547,40,90
540,6,74.17241425,40,100
541,6,35.61403333,50,10
542,6,46.72890991,50,20
543,6,38.96513134,50,30
544,6,45.87506532,50,40
545,6,43.37062337,50,50
546,6,56.29104394,50,60
547,6,53.40943855,50,70
548,6,61.84821259,50,80
549,6,60.67210897,50,90
550,6,79.65668699,50,100
551,6,42.86760373,60,10
552,6,32.37368724,60,20
553,6,43.10605968,60,30
554,6,53.52071512,60,40
555,6,44.61305307,60,50
556,6,66.96724041,60,60
557,6,66.43670088,60,70
558,6,69.37158352,60,80
559,6,61.21336601,60,90
560,6,69.63557106,60,100
561,6,47.61447948,70,10
562,6,52.12345595,70,20
563,6,53.60571563,70,30
564,6,52.13516261,70,40
565,6,55.43377349,70,50
566,6,71.42070993,70,60
567,6,71.78268418,70,70
568,6,71.58191797,70,80
569,6,66.83722452,70,90
570,6,87.10624324,70,100
571,6,40.51239857,80,10
572,6,49.70566402,80,20
573,6,56.06771412,80,30
574,6,51.80298546,80,40
575,6,64.8119569,80,50
576,6,59.34705903,80,60
577,6,72.02705264,80,70
578,6,81.07233398,80,80
579,6,87.48512179,80,90
580,6,85.19802728,80,100
581,6,56.27324999,90,10
582,6,60.74746937,90,20
583,6,48.70672724,90,30
584,6,60.79493667,90,40
585,6,75.25909234,90,50
586,6,65.59658086,90,60
587,6,72.86732004,90,70
588,6,83.98224305,90,80
589,6,72.95778845,90,90
590,6,85.81503966,90,100
591,6,60.02323913,100,10
592,6,54.47803448,100,20
593,6,62.27125229,100,30
594,6,74.76860724,100,40
595,6,74.19596663,100,50
596,6,69.46764777,100,60
597,6,73.85194767,100,70
598,6,90.76386959,100,80
599,6,85.53328563,100,90
600,6,81.05756961,100,100
601,7,27.06745677,10,10
602,7,12.97080028,10,20
603,7,22.71092601,10,30
604,7,34.59584845,10,40
605,7,38.92763906,10,50
606,7,38.43437505,10,60
607,7,36.24920188,10,70
608,7,43.84718,10,80
609,7,57.75012709,10,90
610,7,47.7878742,10,100
611,7,31.37312518,20,10
612,7,28.70836728,20,20
613,7,29.96907614,20,30
614,7,40.65817658,20,40
615,7,35.32395474,20,50
616,7,37.71506156,20,60
617,7,42.22007374,20,70
618,7,41.05110574,20,80
619,7,53.9660787,20,90
620,7,52.50043277,20,100
621,7,20.26782185,30,10
622,7,36.45910335,30,20
623,7,40.90373381,30,30
624,7,34.87692537,30,40
625,7,49.53494126,30,50
626,7,49.20886664,30,60
627,7,40.68721811,30,70
628,7,48.60125961,30,80
629,7,58.09456741,30,90
630,7,59.78695684,30,100
631,7,32.78271172,40,10
632,7,38.51971082,40,20
633,7,46.08331696,40,30
634,7,48.9669431,40,40
635,7,49.64867069,40,50
636,7,47.86790639,40,60
637,7,60.42007079,40,70
638,7,58.7441626,40,80
639,7,56.67457652,40,90
640,7,64.08737689,40,100
641,7,36.16875809,50,10
642,7,29.94339002,50,20
643,7,43.67707578,50,30
644,7,45.41676851,50,40
645,7,49.66207229,50,50
646,7,52.8130711,50,60
647,7,66.8462403,50,70
648,7,58.49917123,50,80
649,7,73.48038479,50,90
650,7,70.09166992,50,100
651,7,42.28533814,60,10
652,7,45.68909106,60,20
653,7,43.41200021,60,30
654,7,57.60703028,60,40
655,7,57.69919779,60,50
656,7,54.37493895,60,60
657,7,70.41436752,60,70
658,7,66.64824715,60,80
659,7,68.44445603,60,90
660,7,67.67248992,60,100
661,7,33.32102025,70,10
662,7,44.4748955,70,20
663,7,46.86156709,70,30
664,7,52.78740681,70,40
665,7,65.21658561,70,50
666,7,64.74185272,70,60
667,7,68.93919448,70,70
668,7,77.20638575,70,80
669,7,77.43999454,70,90
670,7,77.06562494,70,100
671,7,54.69136104,80,10
672,7,45.26904347,80,20
673,7,60.56725284,80,30
674,7,60.80888802,80,40
675,7,54.4780474,80,50
676,7,69.1611579,80,60
677,7,72.15774513,80,70
678,7,74.13374937,80,80
679,7,82.87111567,80,90
680,7,77.97172343,80,100
681,7,54.03930477,90,10
682,7,58.39416121,90,20
683,7,67.43466233,90,30
684,7,65.06852279,90,40
685,7,56.62479078,90,50
686,7,69.89246547,90,60
687,7,72.06844609,90,70
688,7,74.39460588,90,80
689,7,83.62206813,90,90
690,7,85.67914484,90,100
691,7,52.21734963,100,10
692,7,52.56777877,100,20
693,7,60.35429211,100,30
694,7,60.22944453,100,40
695,7,63.20118649,100,50
696,7,77.85185593,100,60
697,7,70.94047644,100,70
698,7,74.59525755,100,80
699,7,83.17913648,100,90
700,7,85.23038722,100,100
701,8,26.86434777,10,10
702,8,15.91648399,10,20
703,8,34.38420401,10,30
704,8,23.20019659,10,40
705,8,27.68831326,10,50
706,8,40.95633686,10,60
707,8,35.79826953,10,70
708,8,41.61365752,10,80
709,8,44.10922814,10,90
710,8,61.64188206,10,100
711,8,23.11806417,20,10
712,8,24.88695621,20,20
713,8,25.31919539,20,30
714,8,30.94688125,20,40
715,8,36.17558711,20,50
716,8,46.24167806,20,60
717,8,47.4292451,20,70
718,8,42.89876112,20,80
719,8,63.85992978,20,90
720,8,54.83787282,20,100
721,8,16.27929389,30,10
722,8,29.1715356,30,20
723,8,35.20323091,30,30
724,8,37.77036272,30,40
725,8,48.63898235,30,50
726,8,39.46949329,30,60
727,8,56.72752388,30,70
728,8,51.98970173,30,80
729,8,65.76356326,30,90
730,8,56.94130775,30,100
731,8,25.38458057,40,10
732,8,39.90295161,40,20
733,8,40.00772904,40,30
734,8,39.93307103,40,40
735,8,45.52631611,40,50
736,8,43.763516,40,60
737,8,51.93195262,40,70
738,8,59.70998539,40,80
739,8,52.7477026,40,90
740,8,57.57657181,40,100
741,8,37.85637087,50,10
742,8,37.87414229,50,20
743,8,45.65540559,50,30
744,8,36.68490191,50,40
745,8,50.67586905,50,50
746,8,49.93840144,50,60
747,8,57.55300136,50,70
748,8,64.43289318,50,80
749,8,75.70645356,50,90
750,8,63.78329529,50,100
751,8,44.69082148,60,10
752,8,43.00756409,60,20
753,8,42.01499328,60,30
754,8,44.59730937,60,40
755,8,56.29883326,60,50
756,8,66.79342276,60,60
757,8,69.72944653,60,70
758,8,70.84189409,60,80
759,8,72.19046157,60,90
760,8,78.4581914,60,100
761,8,42.58806064,70,10
762,8,42.29191959,70,20
763,8,48.26924419,70,30
764,8,45.43222333,70,40
765,8,55.72361707,70,50
766,8,54.38726463,70,60
767,8,73.26000977,70,70
768,8,76.88215841,70,80
769,8,66.19481233,70,90
770,8,81.28142146,70,100
771,8,51.47640274,80,10
772,8,59.98923681,80,20
773,8,54.28996983,80,30
774,8,54.81485405,80,40
775,8,52.1635629,80,50
776,8,66.231581,80,60
777,8,68.46186114,80,70
778,8,83.6234494,80,80
779,8,82.01518438,80,90
780,8,79.45703497,80,100
781,8,57.66167435,90,10
782,8,47.77369454,90,20
783,8,52.95263529,90,30
784,8,59.66918534,90,40
