id,system_id,dependent_variable,independent_variable_1,independent_variable_2
1,1,16.35188406,10,10
2,1,27.72771129,10,20
3,1,16.41370238,10,30
4,1,32.10710806,10,40
5,1,29.80764471,10,50
6,1,32.74185443,10,60
7,1,46.34839349,10,70
8,1,47.54322325,10,80
9,1,58.04961143,10,90
10,1,48.15154545,10,100
11,1,19.55052095,20,10
12,1,33.42203556,20,20
13,1,31.40667048,20,30
14,1,30.13564857,20,40
15,1,30.84522468,20,50
16,1,45.7962082,20,60
17,1,45.22625249,20,70
18,1,52.15288753,20,80
19,1,53.51844956,20,90
20,1,50.08159645,20,100
21,1,29.62485115,30,10
22,1,28.15986335,30,20
23,1,26.59176285,30,30
24,1,43.67350645,30,40
25,1,49.13257334,30,50
26,1,44.65830431,30,60
27,1,49.22227783,30,70
28,1,59.79802767,30,80
29,1,67.63682806,30,90
30,1,68.42558438,30,100
31,1,39.30439154,40,10
32,1,24.0934027,40,20
33,1,33.53958551,40,30
34,1,44.19817877,40,40
35,1,54.48037883,40,50
36,1,47.43404843,40,60
37,1,55.26739226,40,70
38,1,48.6515691,40,80
39,1,54.41540384,40,90
40,1,71.32790603,40,100
41,1,31.80843302,50,10
42,1,43.40738152,50,20
43,1,43.90743332,50,30
44,1,50.43638744,50,40
45,1,58.59806309,50,50
46,1,56.23740094,50,60
47,1,51.94591777,50,70
48,1,67.42044749,50,80
49,1,65.58041182,50,90
50,1,71.67962376,50,100
51,1,29.99587928,60,10
52,1,34.47121239,60,20
53,1,38.44454074,60,30
54,1,43.66487891,60,40
55,1,50.17937067,60,50
56,1,53.75218498,60,60
57,1,63.44707456,60,70
58,1,58.72657912,60,80
59,1,78.90964609,60,90
60,1,70.97295874,60,100
61,1,51.64740724,70,10
62,1,39.97397791,70,20
63,1,56.41614575,70,30
64,1,53.28206906,70,40
65,1,63.3098466,70,50
66,1,71.19065515,70,60
67,1,57.61317976,70,70
68,1,75.93049697,70,80
69,1,78.78960206,70,90
70,1,82.32620142,70,100
71,1,53.95310549,80,10
72,1,58.09239622,80,20
73,1,51.17304569,80,30
74,1,57.29071117,80,40
75,1,62.01156765,80,50
76,1,70.04634997,80,60
77,1,67.19702038,80,70
78,1,74.81728749,80,80
79,1,86.72909204,80,90
80,1,88.89725706,80,100
81,1,40.74326708,90,10
82,1,60.31212175,90,20
83,1,67.14800209,90,30
84,1,58.58583313,90,40
85,1,62.95310435,90,50
86,1,68.16691492,90,60
87,1,76.9648705,90,70
88,1,85.95225224,90,80
89,1,79.94845962,90,90
90,1,81.26995673,90,100
91,1,50.0317941,100,10
92,1,64.95471636,100,20
93,1,64.9645247,100,30
94,1,75.50698987,100,40
95,1,68.21316772,100,50
96,1,65.60294462,100,60
97,1,69.41452278,100,70
98,1,83.98968567,100,80
99,1,79.34983668,100,90
100,1,92.72596758,100,100
101,2,25.10557159,10,10
102,2,22.17128017,10,20
103,2,34.11496261,10,30
104,2,28.3821457,10,40
105,2,25.74779316,10,50
106,2,33.12071351,10,60
107,2,40.15862748,10,70
108,2,39.3937378,10,80
109,2,54.88418904,10,90
110,2,44.46330013,10,100
111,2,21.53902435,20,10
112,2,29.14285622,20,20
113,2,33.02582869,20,30
114,2,41.06708379,20,40
115,2,28.28395634,20,50
116,2,34.90551196,20,60
117,2,55.40397811,20,70
118,2,48.80866042,20,80
119,2,61.25497395,20,90
120,2,58.49884501,20,100
121,2,20.7706181,30,10
122,2,28.70863002,30,20
123,2,39.29529149,30,30
124,2,46.31429153,30,40
125,2,40.75066096,30,50
126,2,43.22477106,30,60
127,2,43.74607759,30,70
128,2,51.29264583,30,80
129,2,60.57613171,30,90
130,2,63.38365525,30,100
131,2,33.7539147,40,10
132,2,25.88743469,40,20
133,2,29.99183496,40,30
134,2,48.4911319,40,40
135,2,36.91019276,40,50
136,2,44.85819589,40,60
