id,system_id,dependent_variable,independent_variable_1,independent_variable_2
1,1,49.91725862,10,10
2,1,44.50488207,10,20
3,1,36.43346149,10,30
4,1,32.89968896,10,40
5,1,28.04361726,10,50
6,1,43.51169201,10,60
7,1,43.78054976,10,70
8,1,48.54231841,10,80
9,1,51.5031828,10,90
10,1,74.9335021,10,100
11,1,51.37176919,20,10
12,1,31.57065725,20,20
13,1,23.96566805,20,30
14,1,35.39789666,20,40
15,1,15.66319816,20,50
16,1,28.79661606,20,60
17,1,29.67998643,20,70
18,1,36.08850786,20,80
19,1,45.20574881,20,90
20,1,48.77639562,20,100
21,1,40.24152215,30,10
22,1,35.32217069,30,20
23,1,14.82822831,30,30
24,1,12.50052225,30,40
25,1,11.39640186,30,50
26,1,19.42073679,30,60
27,1,26.13599817,30,70
28,1,29.98608621,30,80
29,1,39.50898823,30,90
30,1,46.94025249,30,100
31,1,34.31174231,40,10
32,1,32.1787038,40,20
33,1,16.20197414,40,30
34,1,15.52927632,40,40
35,1,4.216361133,40,50
36,1,8.348712015,40,60
37,1,14.00184084,40,70
38,1,25.36071464,40,80
39,1,36.14301776,40,90
40,1,48.24275792,40,100
41,1,21.94474181,50,10
42,1,21.83728685,50,20
43,1,15.05167889,50,30
44,1,17.61588097,50,40
45,1,10.82437651,50,50
46,1,2.290957786,50,60
47,1,16.43168793,50,70
48,1,24.928707,50,80
49,1,22.59314609,50,90
50,1,51.27908668,50,100
51,1,35.07548437,60,10
52,1,25.2032136,60,20
53,1,23.04434225,60,30
54,1,4.172418587,60,40
55,1,15.5632033,60,50
56,1,12.20810475,60,60
57,1,16.28361442,60,70
58,1,16.19811741,60,80
59,1,34.27121696,60,90
60,1,44.3443177,60,100
61,1,29.43445526,70,10
62,1,29.88725138,70,20
63,1,16.41720724,70,30
64,1,26.34179864,70,40
65,1,23.57770058,70,50
66,1,22.34433573,70,60
67,1,17.20602173,70,70
68,1,36.63604988,70,80
69,1,44.24070175,70,90
70,1,57.27559993,70,100
71,1,38.63556366,80,10
72,1,36.13239177,80,20
73,1,35.12678921,80,30
74,1,22.83435311,80,40
75,1,20.26473455,80,50
76,1,23.38770746,80,60
77,1,22.15291334,80,70
78,1,30.07319925,80,80
79,1,53.4270955,80,90
80,1,64.24206382,80,100
81,1,53.57948376,90,10
82,1,51.30932794,90,20
83,1,44.37350321,90,30
84,1,27.23009169,90,40
85,1,37.34171743,90,50
86,1,38.8690183,90,60
87,1,40.36898426,90,70
88,1,44.50284122,90,80
89,1,46.14907076,90,90
90,1,60.09729784,90,100
91,1,78.78841909,100,10
92,1,55.02076769,100,20
93,1,55.39854169,100,30
94,1,45.35958281,100,40
95,1,53.60144435,100,50
96,1,53.11067758,100,60
97,1,47.02610628,100,70
98,1,54.67228223,100,80
99,1,76.53946409,100,90
100,1,76.95555816,100,100
