id,system_id,dependent_variable,independent_variable_1
1,1,76.93840489,1
2,1,78.1317605,2
3,1,65.1999278,3
4,1,61.81073068,4
5,1,73.38238638,5
6,1,61.75902461,6
7,1,56.18312252,7
8,1,61.73468583,8
9,1,62.14839931,9
10,1,55.47654865,10
11,1,41.68229909,11
12,1,48.82866817,12
13,1,53.63349413,13
14,1,41.12458449,14
15,1,41.9354674,15
16,1,32.46388081,16
17,1,29.7882285,17
18,1,46.87498638,18
19,1,28.03552501,19
20,1,44.00848557,20
21,1,28.04747883,21
22,1,30.77519786,22
23,1,39.18559486,23
24,1,44.11808553,24
25,1,31.04710133,25
26,1,33.46926607,26
27,1,37.60642123,27
28,1,39.63870122,28
29,1,28.14298194,29
30,1,32.73849118,30
31,1,38.91627434,31
32,1,41.24615283,32
33,1,31.32715448,33
34,1,36.17235204,34
35,1,35.60586399,35
36,1,38.021628,36
37,1,25.38830963,37
38,1,29.36417815,38
39,1,41.6698181,39
40,1,38.6894054,40
41,1,30.17140148,41
42,1,40.53619112,42
43,1,38.8169276,43
44,1,37.6920614,44
45,1,41.66939715,45
46,1,31.92756964,46
47,1,38.93917652,47
48,1,33.78619461,48
49,1,29.68777799,49
50,1,40.24589232,50
51,1,23.81447974,51
52,1,29.64318966,52
53,1,36.38538342,53
54,1,30.80188408,54
55,1,33.62822558,55
56,1,23.58784756,56
57,1,33.22071932,57
58,1,23.70743083,58
59,1,16.16301047,59
60,1,15.09109716,60
61,1,26.62721335,61
62,1,23.24638226,62
63,1,29.63233966,63
64,1,28.94895301,64
65,1,25.2245651,65
66,1,25.4132936,66
67,1,16.18697625,67
68,1,12.77186997,68
69,1,18.86846584,69
70,1,10.47465085,70
71,1,11.44568082,71
72,1,9.214786665,72
73,1,20.74919116,73
74,1,15.55023148,74
75,1,4.25257998,75
76,1,16.72747638,76
77,1,10.84824632,77
78,1,4.126289023,78
79,1,19.16332239,79
80,1,2.592641131,80
81,1,10.12731248,81
82,1,7.101394284,82
83,1,21.6663609,83
84,1,18.00223041,84
85,1,7.358125206,85
86,1,11.62435716,86
87,1,12.60890231,87
88,1,25.37785135,88
89,1,16.92754664,89
90,1,23.15757756,90
91,1,24.72201478,91
92,1,24.40823081,92
93,1,23.10389094,93
94,1,33.27151791,94
95,1,22.56985126,95
96,1,36.57689412,96
97,1,28.80409546,97
98,1,35.63142821,98
99,1,34.71174726,99
100,1,54.84213758,100
101,2,89.63849068,1
102,2,69.46696944,2
103,2,81.37638738,3
104,2,67.75652367,4
105,2,71.86347846,5
106,2,64.97632475,6
107,2,56.49280686,7
108,2,62.3758781,8
109,2,61.91496161,9
110,2,50.59579922,10
111,2,58.80734382,11
112,2,37.2508469,12
113,2,39.02221775,13
114,2,47.75325328,14
115,2,37.32582382,15
116,2,47.98482798,16
117,2,47.35658621,17
118,2,44.08314833,18
119,2,42.36255824,19
120,2,31.62457353,20
121,2,30.49232371,21
122,2,27.53730379,22
123,2,42.67149701,23
124,2,31.66236223,24
125,2,41.4573529,25
126,2,39.98423581,26
127,2,25.24221032,27
128,2,36.96032946,28
129,2,39.79878307,29
130,2,35.34646653,30
131,2,34.60008893,31
132,2,25.57193199,32
133,2,25.47695799,33
134,2,36.14015606,34
135,2,28.00481277,35
136,2,28.49672317,36
137,2,33.7068768,37
138,2,38.98438573,38
139,2,32.87500721,39
140,2,34.25122595,40
141,2,26.22068071,41
142,2,27.98968953,42
143,2,39.50717923,43
144,2,40.6594442,44
145,2,36.57233513,45
146,2,26.21586751,46
147,2,25.62109007,47
148,2,40.85342698,48
149,2,38.49189659,49
150,2,30.53119165,50
151,2,27.82364846,51
152,2,36.40579857,52
153,2,28.64732523,53
154,2,28.26816944,54
155,2,32.31473985,55
156,2,18.08373891,56
157,2,33.60571008,57
158,2,28.48663513,58
159,2,31.98329045,59
160,2,18.27813619,60
161,2,16.71076441,61
162,2,21.81478113,62
163,2,27.10510773,63
164,2,24.21795573,64
165,2,17.05239383,65
166,2,14.10069329,66
167,2,29.34995305,67
168,2,21.36883246,68
169,2,20.05541275,69
170,2,10.96387816,70
171,2,25.19600713,71
172,2,19.96200306,72
173,2,16.33026821,73
174,2,4.62629005,74
175,2,7.149700679,75
176,2,12.28219286,76
177,2,11.78633742,77
178,2,5.256763885,78
179,2,10.67416307,79
180,2,7.132630203,80
181,2,7.548760142,81
182,2,22.00181187,82
183,2,14.50086138,83
184,2,14.34118801,84
185,2,12.79320179,85
186,2,12.61783163,86
187,2,6.004020155,87
188,2,11.26518097,88
189,2,12.09697049,89
190,2,22.06034144,90
191,2,13.60882028,91
192,2,18.35955199,92
193,2,17.1353068,93
194,2,34.62659651,94
195,2,24.38528549,95
196,2,30.54617588,96
197,2,45.17364179,97
198,2,34.30467802,98
199,2,35.79163652,99
200,2,54.43223869,100
201,3,85.06115065,1
202,3,75.39965323,2
203,3,70.10534236,3
204,3,73.89449136,4
205,3,64.28714934,5
206,3,67.3789585,6
207,3,63.16737502,7
208,3,52.42678791,8
209,3,61.2371588,9
210,3,50.89152638,10
211,3,39.91970542,11
212,3,52.31043649,12
213,3,41.88618902,13
214,3,42.57324649,14
215,3,34.19574916,15
216,3,33.13285339,16
217,3,39.36166913,17
218,3,42.20103306,18
219,3,32.68794852,19
220,3,35.86103637,20
221,3,42.36405667,21
222,3,41.26475189,22
223,3,34.3297452,23
224,3,35.19308245,24
225,3,33.39711888,25
226,3,40.21770254,26
227,3,34.42608043,27
228,3,31.22801929,28
229,3,39.48837373,29
230,3,36.05647671,30
231,3,42.01545007,31
232,3,28.56673625,32
233,3,26.5235685,33
234,3,42.4649115,34
235,3,35.38974639,35
236,3,26.67194801,36
237,3,27.96609352,37
238,3,29.20418882,38
239,3,41.00923315,39
240,3,38.92604109,40
241,3,23.64118,41
242,3,32.87142351,42
243,3,28.70871017,43
244,3,37.56363158,44
245,3,35.30162067,45
246,3,22.35897348,46
247,3,30.56271813,47
248,3,39.04624496,48
249,3,30.65309162,49
250,3,24.83425508,50
251,3,29.64785802,51
252,3,22.19764689,52
253,3,26.1650527,53
254,3,29.78543027,54
255,3,26.86817353,55
256,3,35.92077786,56
257,3,19.93216169,57
258,3,36.34627188,58
259,3,25.13506701,59
260,3,30.18732489,60
261,3,27.83340639,61
262,3,29.29849669,62
263,3,12.77451271,63
264,3,23.22077934,64
265,3,26.24987881,65
266,3,20.61606932,66
267,3,21.60944418,67
268,3,12.90694943,68
269,3,18.9332568,69
270,3,26.01319228,70
271,3,22.48050861,71
272,3,11.7095075,72
273,3,24.53316671,73
274,3,20.68865662,74
275,3,20.24154714,75
276,3,21.46093324,76
277,3,21.80928635,77
278,3,2.781308502,78
279,3,5.894056792,79
280,3,13.95447799,80
281,3,8.02165008,81
282,3,9.194429399,82
283,3,18.35008915,83
284,3,12.50754711,84
285,3,12.8688095,85
286,3,12.91886879,86
287,3,21.92009784,87
288,3,10.41128186,88
289,3,19.20509307,89
290,3,15.68779594,90
291,3,12.00097433,91
292,3,27.34147674,92
293,3,27.19836025,93
294,3,24.82571634,94
295,3,19.94684399,95
296,3,38.69900346,96
297,3,38.38899309,97
298,3,29.7487727,98
299,3,46.74678469,99
300,3,48.14581478,100
301,4,87.93402028,1
302,4,71.12931287,2
303,4,83.26075045,3
304,4,71.27463425,4
305,4,66.54426849,5
306,4,60.33411652,6
307,4,57.10046753,7
308,4,47.22809681,8
309,4,52.18111395,9
310,4,42.9422709,10
311,4,48.40551719,11
312,4,37.6032249,12
313,4,37.89973479,13
314,4,37.90825144,14
315,4,39.8934175,15
316,4,36.13759072,16
317,4,42.1723817,17
318,4,30.90244357,18
319,4,39.45113293,19
320,4,41.04147757,20
321,4,30.33976649,21
322,4,42.04693168,22
323,4,40.75362233,23
324,4,34.33944032,24
325,4,26.95151736,25
326,4,27.34324142,26
327,4,25.30779952,27
328,4,32.2139685,28
329,4,35.42264008,29
330,4,37.19552111,30
331,4,34.05905118,31
332,4,27.51340186,32
333,4,37.40235414,33
334,4,35.320961,34
335,4,24.80344907,35
336,4,33.07048625,36
337,4,25.74990848,37
338,4,30.12633222,38
339,4,37.60581912,39
340,4,26.68766678,40
341,4,25.56702033,41
342,4,30.35834609,42
343,4,31.08667327,43
344,4,37.73545946,44
345,4,22.74192386,45
346,4,27.50416114,46
347,4,35.26580317,47
348,4,37.98677042,48
349,4,32.86979825,49
350,4,21.21868015,50
351,4,32.33895078,51
352,4,34.9024648,52
353,4,38.09029436,53
354,4,34.22513098,54
355,4,30.30662385,55
356,4,20.17420121,56
357,4,25.3804846,57
358,4,20.23657123,58
359,4,16.16317085,59
360,4,25.87022495,60
361,4,23.85095613,61
362,4,28.33671148,62
363,4,27.60831443,63
364,4,19.89367108,64
365,4,27.07999243,65
366,4,13.86765564,66
367,4,17.6033822,67
368,4,17.50425902,68
369,4,8.237026133,69
370,4,21.89729547,70
371,4,21.82534294,71
372,4,11.38581702,72
373,4,7.111881425,73
374,4,13.61049381,74
375,4,7.765327726,75
376,4,14.16816356,76
377,4,3.251203768,77
378,4,7.183798765,78
379,4,21.53251146,79
380,4,11.84007408,80
381,4,2.710947321,81
382,4,20.11151893,82
383,4,16.58684753,83
384,4,13.07168209,84
385,4,14.05792231,85
386,4,17.75866497,86
387,4,10.06506795,87
388,4,10.46153432,88
389,4,10.3436528,89
390,4,22.02818627,90
391,4,28.49737192,91
392,4,13.22873593,92
393,4,15.33652483,93
394,4,32.81946762,94
395,4,27.09025839,95
396,4,33.90331713,96
397,4,29.28988592,97
398,4,45.88718837,98
399,4,47.08551147,99
400,4,54.58447215,100
401,5,91.11641422,1
402,5,81.69598346,2
403,5,83.78028805,3
404,5,76.7486853,4
405,5,65.4205364,5
406,5,68.57843471,6
407,5,69.24944715,7
408,5,57.30921331,8
409,5,60.74788869,9
410,5,41.56771911,10
411,5,57.03334222,11
412,5,42.68862058,12
413,5,37.36176011,13
414,5,40.17164864,14
415,5,39.35250794,15
416,5,39.24113322,16
417,5,32.83267129,17
418,5,32.03323818,18
419,5,27.6149026,19
420,5,40.18459715,20
421,5,34.58744275,21
422,5,29.07932307,22
423,5,32.09042087,23
424,5,39.32999584,24
425,5,26.18314454,25
426,5,38.95332402,26
427,5,37.83316863,27
428,5,29.79419162,28
429,5,37.07104689,29
430,5,40.81165735,30
431,5,33.45945749,31
432,5,26.32665453,32
433,5,26.16863529,33
434,5,28.50702177,34
435,5,39.42003079,35
436,5,29.80919778,36
437,5,37.65559222,37
438,5,42.63552509,38
439,5,26.13913563,39
440,5,42.17910331,40
441,5,33.34180985,41
442,5,34.71674321,42
443,5,30.44791205,43
444,5,24.37322849,44
445,5,40.1335023,45
446,5,41.07649035,46
447,5,41.15232743,47
448,5,28.08315195,48
449,5,37.88829504,49
450,5,31.81676251,50
451,5,30.35794178,51
452,5,29.52392438,52
453,5,39.48097133,53
454,5,21.07318199,54
455,5,20.57076406,55
456,5,34.51025625,56
457,5,32.72639886,57
458,5,29.55340482,58
459,5,25.38702546,59
460,5,27.11712014,60
461,5,19.24213599,61
462,5,26.12726304,62
463,5,29.85514016,63
464,5,17.32716297,64
465,5,30.4240688,65
466,5,18.60786981,66
467,5,21.77592353,67
468,5,24.15104354,68
469,5,10.69381013,69
470,5,7.400456073,70
471,5,25.12999064,71
472,5,14.09888975,72
473,5,24.65375317,73
474,5,12.46333739,74
475,5,4.367972332,75
476,5,18.10920106,76
477,5,3.871070442,77
478,5,4.423719499,78
479,5,9.288661905,79
480,5,20.38908212,80
481,5,19.02156104,81
482,5,18.2713972,82
483,5,5.063611113,83
484,5,11.15199364,84
485,5,14.72267957,85
486,5,7.054483825,86
487,5,9.301501313,87
488,5,9.545613472,88
489,5,16.47736718,89
490,5,24.52525839,90
491,5,10.35230432,91
492,5,24.24123127,92
493,5,23.2864264,93
494,5,29.88178847,94
495,5,19.62888217,95
496,5,25.64134513,96
497,5,41.50928999,97
498,5,41.67887212,98
499,5,43.93596478,99
500,5,40.13696789,100
501,6,87.97458723,1
502,6,86.55036936,2
503,6,66.35813894,3
504,6,70.22882352,4
505,6,75.3867161,5
506,6,69.76417902,6
507,6,55.76209139,7
508,6,47.37121166,8
509,6,56.86039684,9
510,6,57.72808063,10
511,6,53.34031268,11
512,6,37.87281038,12
513,6,42.41310706,13
514,6,49.52664561,14
515,6,50.51800688,15
516,6,36.38941139,16
517,6,38.79653499,17
518,6,45.05570769,18
519,6,34.43036727,19
520,6,40.76672245,20
521,6,39.3829521,21
522,6,35.06770347,22
523,6,31.22294827,23
524,6,35.65769357,24
525,6,42.14176302,25
526,6,25.78326795,26
527,6,29.43931775,27
528,6,39.04129646,28
529,6,24.42730467,29
530,6,40.94896042,30
531,6,41.01816496,31
532,6,32.70120769,32
533,6,38.43731292,33
534,6,37.31407056,34
535,6,35.82787638,35
536,6,42.83609772,36
537,6,41.00528687,37
538,6,29.45344135,38
539,6,25.77773574,39
540,6,25.60860636,40
541,6,28.81137281,41
542,6,28.29180889,42
543,6,38.82672607,43
544,6,32.37583852,44
545,6,27.54469487,45
546,6,25.5145835,46
547,6,35.4928111,47
548,6,27.46693599,48
549,6,34.36961065,49
550,6,27.58872123,50
551,6,33.84938671,51
552,6,22.01157623,52
553,6,28.49722461,53
554,6,25.86873776,54
555,6,26.07513849,55
556,6,23.66197774,56
557,6,29.56792161,57
558,6,21.04957439,58
559,6,20.46171242,59
560,6,23.9837671,60
561,6,22.14723996,61
562,6,14.44253953,62
563,6,31.22619714,63
564,6,27.45914318,64
565,6,24.41309508,65
566,6,23.27494534,66
567,6,10.11111704,67
568,6,13.40853136,68
569,6,27.08406515,69
570,6,11.14108779,70
571,6,6.731919366,71
572,6,8.063026531,72
573,6,17.88967699,73
574,6,18.71215198,74
575,6,8.044667696,75
576,6,11.36882723,76
577,6,10.7696083,77
578,6,3.227960101,78
579,6,5.024077743,79
580,6,20.19091001,80
581,6,7.11206331,81
582,6,21.72141298,82
583,6,12.49566374,83
584,6,14.22044713,84
585,6,15.10875546,85
586,6,3.893803616,86
587,6,8.97402548,87
588,6,10.58858499,88
589,6,7.592442162,89
590,6,16.62115931,90
591,6,28.26641985,91
592,6,18.09936164,92
593,6,33.76038629,93
594,6,34.64201034,94
595,6,22.17631783,95
596,6,32.1545183,96
597,6,36.0530525,97
598,6,38.88164703,98
599,6,38.1531655,99
600,6,41.92106202,100
601,7,77.69063562,1
602,7,83.31801741,2
603,7,79.09222429,3
604,7,76.02635145,4
605,7,67.00598795,5
606,7,62.27644228,6
607,7,55.15272446,7
608,7,60.72942517,8
609,7,57.17798518,9
610,7,41.92519977,10
611,7,53.39096373,11
612,7,41.7367518,12
613,7,35.65156459,13
614,7,40.95813369,14
615,7,47.98532494,15
616,7,33.24440743,16
617,7,36.50194472,17
618,7,32.05002486,18
619,7,32.60062934,19
620,7,38.82981819,20
621,7,42.38908521,21
622,7,31.58981234,22
623,7,29.06975977,23
624,7,35.89056544,24
625,7,41.16326418,25
626,7,26.36205465,26
627,7,38.02860225,27
628,7,28.87432858,28
629,7,36.39118886,29
630,7,35.81397064,30
631,7,43.36166758,31
632,7,42.11819415,32
633,7,32.02680757,33
634,7,23.75606363,34
635,7,30.21008482,35
636,7,36.45891999,36
637,7,43.02469354,37
638,7,29.28873704,38
639,7,42.20370156,39
640,7,28.29334596,40
641,7,32.12567401,41
642,7,37.64016291,42
643,7,29.48432322,43
644,7,32.90133056,44
645,7,31.96716752,45
646,7,37.17720688,46
647,7,40.38285486,47
648,7,30.60589951,48
649,7,26.84944503,49
650,7,21.43121088,50
651,7,36.94761521,51
652,7,38.10248881,52
653,7,36.56605539,53
654,7,38.34221934,54
655,7,27.61303665,55
656,7,35.85790739,56
657,7,28.3603263,57
658,7,22.94943459,58
659,7,31.68719304,59
660,7,26.83221085,60
661,7,20.43244044,61
662,7,27.55194025,62
663,7,29.43418867,63
664,7,20.18268052,64
665,7,25.44633079,65
666,7,18.56291409,66
667,7,21.74569911,67
668,7,18.15189529,68
669,7,18.6899863,69
670,7,22.83835807,70
671,7,14.72840442,71
672,7,16.08167283,72
673,7,22.59062562,73
674,7,16.38296617,74
675,7,13.29786262,75
676,7,18.04738235,76
677,7,3.301507664,77
678,7,4.928046909,78
679,7,4.669951515,79
680,7,21.46284927,80
681,7,12.56926511,81
682,7,10.28411497,82
683,7,8.178367799,83
684,7,12.55220223,84
685,7,6.248537052,85
686,7,4.140783438,86
687,7,23.64414196,87
688,7,19.89853201,88
689,7,26.86948988,89
690,7,27.74158143,90
691,7,16.05839591,91
692,7,24.31690626,92
693,7,29.63463429,93
694,7,24.30760457,94
695,7,22.39581137,95
696,7,42.13385307,96
697,7,35.22794144,97
698,7,48.9344775,98
699,7,40.77303014,99
700,7,47.92294449,100
701,8,77.31267641,1
702,8,72.9103313,2
703,8,79.09805574,3
704,8,72.49114229,4
705,8,56.41051788,5
706,8,67.16462705,6
707,8,67.91083548,7
708,8,56.31387699,8
709,8,45.04624944,9
710,8,47.69609686,10
711,8,40.59823737,11
712,8,50.28399581,12
713,8,49.86646067,13
714,8,50.28455446,14
715,8,50.64337605,15
716,8,33.11182356,16
717,8,31.01799879,17
718,8,40.79042445,18
719,8,32.15605716,19
720,8,34.7036728,20
721,8,27.84650918,21
722,8,39.53659296,22
723,8,30.18092687,23
724,8,29.71774186,24
725,8,43.08244896,25
726,8,29.7184919,26
727,8,26.44887327,27
728,8,37.77861583,28
729,8,32.97705578,29
730,8,43.17213246,30
731,8,23.81757792,31
732,8,24.6360781,32
733,8,40.0280189,33
734,8,32.93785085,34
735,8,43.16135938,35
736,8,37.87034155,36
737,8,29.00645097,37
738,8,36.75631737,38
739,8,31.42111156,39
740,8,37.26688995,40
741,8,27.88897896,41
742,8,25.0229295,42
743,8,36.792325,43
744,8,31.96138404,44
745,8,24.76884316,45
746,8,37.18057856,46
747,8,25.32308117,47
748,8,29.40244249,48
749,8,39.60316985,49
750,8,22.1393424,50
751,8,32.60321294,51
752,8,30.47343827,52
753,8,32.69886047,53
754,8,23.99248707,54
755,8,34.37574118,55
756,8,31.06849122,56
757,8,18.48348559,57
758,8,20.659441,58
759,8,21.61430077,59
760,8,24.01276968,60
761,8,14.97406029,61
762,8,19.58583039,62
763,8,17.93831113,63
764,8,13.73739395,64
765,8,20.04544261,65
766,8,28.09719881,66
767,8,17.66469915,67
768,8,21.61368362,68
769,8,26.62902138,69
770,8,11.46305688,70
771,8,17.4865764,71
